NODE=[HOST_e8d809bd94] | JOB=fx-adamw-3e-4-s0 4682783
ARGS: --optimizer AdamW --alpha0 3e-4 --seed 0 --num-epochs 100 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --save-directory cluster/Account1/metaopt/runs/fx --run-name fx_adamw_3e-4_s0
ENV: AUGMENT=1 BETA_CLIP=none HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 27.87 %, Test Accuracy: 43.19 %
Epoch 1, Train Accuracy: 48.28 %, Test Accuracy: 53.38 %
Epoch 2, Train Accuracy: 58.08 %, Test Accuracy: 60.02 %
Epoch 3, Train Accuracy: 64.53 %, Test Accuracy: 67.29 %
Epoch 4, Train Accuracy: 70.11 %, Test Accuracy: 73.10 %
Epoch 5, Train Accuracy: 74.30 %, Test Accuracy: 74.90 %
Epoch 6, Train Accuracy: 77.12 %, Test Accuracy: 78.33 %
Epoch 7, Train Accuracy: 79.55 %, Test Accuracy: 78.90 %
Epoch 8, Train Accuracy: 80.92 %, Test Accuracy: 79.01 %
Epoch 9, Train Accuracy: 82.63 %, Test Accuracy: 80.30 %
Epoch 10, Train Accuracy: 83.87 %, Test Accuracy: 82.52 %
Epoch 11, Train Accuracy: 84.73 %, Test Accuracy: 82.85 %
Epoch 12, Train Accuracy: 85.77 %, Test Accuracy: 82.55 %
Epoch 13, Train Accuracy: 86.40 %, Test Accuracy: 83.68 %
Epoch 14, Train Accuracy: 87.15 %, Test Accuracy: 82.34 %
Epoch 15, Train Accuracy: 88.03 %, Test Accuracy: 83.45 %
Epoch 16, Train Accuracy: 88.49 %, Test Accuracy: 86.69 %
Epoch 17, Train Accuracy: 88.91 %, Test Accuracy: 83.93 %
Epoch 18, Train Accuracy: 89.53 %, Test Accuracy: 86.46 %
Epoch 19, Train Accuracy: 89.89 %, Test Accuracy: 85.91 %
Epoch 20, Train Accuracy: 90.34 %, Test Accuracy: 86.11 %
Epoch 21, Train Accuracy: 90.99 %, Test Accuracy: 88.21 %
Epoch 22, Train Accuracy: 91.60 %, Test Accuracy: 86.77 %
Epoch 23, Train Accuracy: 92.10 %, Test Accuracy: 86.84 %
Epoch 24, Train Accuracy: 92.47 %, Test Accuracy: 88.59 %
Epoch 25, Train Accuracy: 93.00 %, Test Accuracy: 88.38 %
Epoch 26, Train Accuracy: 93.29 %, Test Accuracy: 87.58 %
Epoch 27, Train Accuracy: 93.70 %, Test Accuracy: 89.39 %
Epoch 28, Train Accuracy: 93.94 %, Test Accuracy: 89.35 %
Epoch 29, Train Accuracy: 94.32 %, Test Accuracy: 89.24 %
Epoch 30, Train Accuracy: 94.56 %, Test Accuracy: 89.85 %
Epoch 31, Train Accuracy: 95.02 %, Test Accuracy: 89.39 %
Epoch 32, Train Accuracy: 95.33 %, Test Accuracy: 90.28 %
Epoch 33, Train Accuracy: 95.43 %, Test Accuracy: 90.82 %
Epoch 34, Train Accuracy: 95.62 %, Test Accuracy: 90.13 %
Epoch 35, Train Accuracy: 95.79 %, Test Accuracy: 90.44 %
Epoch 36, Train Accuracy: 95.76 %, Test Accuracy: 90.63 %
Epoch 37, Train Accuracy: 96.27 %, Test Accuracy: 89.93 %
Epoch 38, Train Accuracy: 96.09 %, Test Accuracy: 90.84 %
Epoch 39, Train Accuracy: 96.48 %, Test Accuracy: 91.28 %
Epoch 40, Train Accuracy: 96.55 %, Test Accuracy: 90.67 %
Epoch 41, Train Accuracy: 96.76 %, Test Accuracy: 91.06 %
Epoch 42, Train Accuracy: 96.57 %, Test Accuracy: 90.02 %
Epoch 43, Train Accuracy: 96.92 %, Test Accuracy: 91.11 %
Epoch 44, Train Accuracy: 97.14 %, Test Accuracy: 91.03 %
Epoch 45, Train Accuracy: 97.23 %, Test Accuracy: 91.61 %
Epoch 46, Train Accuracy: 97.10 %, Test Accuracy: 91.78 %
Epoch 47, Train Accuracy: 97.45 %, Test Accuracy: 91.11 %
Epoch 48, Train Accuracy: 97.40 %, Test Accuracy: 90.93 %
Epoch 49, Train Accuracy: 97.57 %, Test Accuracy: 91.56 %
Epoch 50, Train Accuracy: 97.41 %, Test Accuracy: 90.93 %
Epoch 51, Train Accuracy: 97.82 %, Test Accuracy: 90.95 %
Epoch 52, Train Accuracy: 97.68 %, Test Accuracy: 90.75 %
Epoch 53, Train Accuracy: 97.73 %, Test Accuracy: 90.46 %
Epoch 54, Train Accuracy: 97.86 %, Test Accuracy: 91.50 %
Epoch 55, Train Accuracy: 97.98 %, Test Accuracy: 91.55 %
Epoch 56, Train Accuracy: 97.93 %, Test Accuracy: 91.42 %
Epoch 57, Train Accuracy: 97.92 %, Test Accuracy: 91.42 %
Epoch 58, Train Accuracy: 98.00 %, Test Accuracy: 90.77 %
Epoch 59, Train Accuracy: 97.97 %, Test Accuracy: 90.72 %
Epoch 60, Train Accuracy: 98.11 %, Test Accuracy: 90.55 %
Epoch 61, Train Accuracy: 98.05 %, Test Accuracy: 91.32 %
Epoch 62, Train Accuracy: 98.09 %, Test Accuracy: 91.70 %
Epoch 63, Train Accuracy: 98.24 %, Test Accuracy: 91.14 %
Epoch 64, Train Accuracy: 98.17 %, Test Accuracy: 91.75 %
Epoch 65, Train Accuracy: 98.28 %, Test Accuracy: 91.52 %
Epoch 66, Train Accuracy: 98.24 %, Test Accuracy: 92.07 %
Epoch 67, Train Accuracy: 98.29 %, Test Accuracy: 91.57 %
Epoch 68, Train Accuracy: 98.29 %, Test Accuracy: 91.40 %
Epoch 69, Train Accuracy: 98.28 %, Test Accuracy: 92.31 %
Epoch 70, Train Accuracy: 98.26 %, Test Accuracy: 91.37 %
Epoch 71, Train Accuracy: 98.44 %, Test Accuracy: 91.33 %
Epoch 72, Train Accuracy: 98.45 %, Test Accuracy: 91.57 %
Epoch 73, Train Accuracy: 98.17 %, Test Accuracy: 91.88 %
Epoch 74, Train Accuracy: 98.50 %, Test Accuracy: 91.64 %
Epoch 75, Train Accuracy: 98.47 %, Test Accuracy: 92.56 %
Epoch 76, Train Accuracy: 98.49 %, Test Accuracy: 91.73 %
Epoch 77, Train Accuracy: 98.37 %, Test Accuracy: 91.59 %
Epoch 78, Train Accuracy: 98.43 %, Test Accuracy: 91.67 %
Epoch 79, Train Accuracy: 98.61 %, Test Accuracy: 91.37 %
Epoch 80, Train Accuracy: 98.44 %, Test Accuracy: 92.13 %
Epoch 81, Train Accuracy: 98.58 %, Test Accuracy: 91.41 %
Epoch 82, Train Accuracy: 98.55 %, Test Accuracy: 91.87 %
Epoch 83, Train Accuracy: 98.50 %, Test Accuracy: 91.83 %
Epoch 84, Train Accuracy: 98.69 %, Test Accuracy: 92.08 %
Epoch 85, Train Accuracy: 98.54 %, Test Accuracy: 91.72 %
Epoch 86, Train Accuracy: 98.68 %, Test Accuracy: 92.32 %
Epoch 87, Train Accuracy: 98.66 %, Test Accuracy: 91.89 %
Epoch 88, Train Accuracy: 98.59 %, Test Accuracy: 91.98 %
Epoch 89, Train Accuracy: 98.67 %, Test Accuracy: 92.26 %
Epoch 90, Train Accuracy: 98.74 %, Test Accuracy: 91.18 %
Epoch 91, Train Accuracy: 98.55 %, Test Accuracy: 92.44 %
Epoch 92, Train Accuracy: 98.60 %, Test Accuracy: 91.66 %
Epoch 93, Train Accuracy: 98.56 %, Test Accuracy: 92.25 %
Epoch 94, Train Accuracy: 98.61 %, Test Accuracy: 91.86 %
Epoch 95, Train Accuracy: 98.72 %, Test Accuracy: 91.85 %
Epoch 96, Train Accuracy: 98.89 %, Test Accuracy: 91.59 %
Epoch 97, Train Accuracy: 98.67 %, Test Accuracy: 92.04 %
Epoch 98, Train Accuracy: 98.80 %, Test Accuracy: 91.51 %
Epoch 99, Train Accuracy: 98.67 %, Test Accuracy: 91.65 %
31  minutes
RUN_DONE
