NODE=[HOST_bcfd0fc19c] | JOB=fz3-c100-blk6-s0 4701795
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta fixed --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups resnet18_blocks --seed 0 --save-directory cluster/Account1/metaopt/runs/fz3 --run-name fz3-c100-blk6-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/fz3/probe_c100_blk6_s0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 


args_meta includes unnecessary attributes {'momentum_param', 'Lion_beta2', 'weight_decay', 'meta_stepsize'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.90 %, Test Accuracy: 5.08 %
Epoch 1, Train Accuracy: 6.32 %, Test Accuracy: 7.56 %
Epoch 2, Train Accuracy: 8.55 %, Test Accuracy: 9.17 %
Epoch 3, Train Accuracy: 9.96 %, Test Accuracy: 10.61 %
Epoch 4, Train Accuracy: 10.93 %, Test Accuracy: 11.76 %
Epoch 5, Train Accuracy: 11.61 %, Test Accuracy: 11.88 %
Epoch 6, Train Accuracy: 12.62 %, Test Accuracy: 12.92 %
Epoch 7, Train Accuracy: 13.47 %, Test Accuracy: 13.89 %
Epoch 8, Train Accuracy: 14.28 %, Test Accuracy: 14.38 %
Epoch 9, Train Accuracy: 14.95 %, Test Accuracy: 15.17 %
Epoch 10, Train Accuracy: 15.59 %, Test Accuracy: 16.00 %
Epoch 11, Train Accuracy: 16.29 %, Test Accuracy: 16.26 %
Epoch 12, Train Accuracy: 17.00 %, Test Accuracy: 17.34 %
Epoch 13, Train Accuracy: 17.36 %, Test Accuracy: 17.69 %
Epoch 14, Train Accuracy: 18.29 %, Test Accuracy: 18.14 %
Epoch 15, Train Accuracy: 19.07 %, Test Accuracy: 18.74 %
Epoch 16, Train Accuracy: 19.71 %, Test Accuracy: 19.26 %
Epoch 17, Train Accuracy: 20.12 %, Test Accuracy: 20.40 %
Epoch 18, Train Accuracy: 21.01 %, Test Accuracy: 21.08 %
Epoch 19, Train Accuracy: 21.66 %, Test Accuracy: 21.98 %
8  minutes
RUN_DONE
