NODE=[HOST_bcfd0fc19c] | JOB=fz3-c100-node-s1 4701807
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta fixed --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups nodewise --seed 1 --save-directory cluster/Account1/metaopt/runs/fz3 --run-name fz3-c100-node-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/fz3/probe_c100_node_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 


args_meta includes unnecessary attributes {'meta_stepsize', 'Lion_beta2', 'weight_decay', 'momentum_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.81 %, Test Accuracy: 6.08 %
Epoch 1, Train Accuracy: 6.50 %, Test Accuracy: 7.66 %
Epoch 2, Train Accuracy: 8.34 %, Test Accuracy: 9.55 %
Epoch 3, Train Accuracy: 10.15 %, Test Accuracy: 10.80 %
Epoch 4, Train Accuracy: 11.34 %, Test Accuracy: 11.83 %
Epoch 5, Train Accuracy: 12.46 %, Test Accuracy: 12.90 %
Epoch 6, Train Accuracy: 13.14 %, Test Accuracy: 13.49 %
Epoch 7, Train Accuracy: 14.00 %, Test Accuracy: 14.27 %
Epoch 8, Train Accuracy: 14.56 %, Test Accuracy: 15.23 %
Epoch 9, Train Accuracy: 15.34 %, Test Accuracy: 15.48 %
Epoch 10, Train Accuracy: 15.89 %, Test Accuracy: 15.62 %
Epoch 11, Train Accuracy: 16.35 %, Test Accuracy: 16.95 %
Epoch 12, Train Accuracy: 17.04 %, Test Accuracy: 17.21 %
Epoch 13, Train Accuracy: 17.74 %, Test Accuracy: 17.74 %
Epoch 14, Train Accuracy: 18.25 %, Test Accuracy: 18.50 %
Epoch 15, Train Accuracy: 19.07 %, Test Accuracy: 19.73 %
Epoch 16, Train Accuracy: 19.73 %, Test Accuracy: 19.49 %
Epoch 17, Train Accuracy: 20.17 %, Test Accuracy: 20.35 %
Epoch 18, Train Accuracy: 20.98 %, Test Accuracy: 21.51 %
Epoch 19, Train Accuracy: 21.58 %, Test Accuracy: 21.05 %
8  minutes
RUN_DONE
