NODE=[HOST_bcfd0fc19c] | JOB=fz3-r10-w-s1 4701801
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta fixed --dataset CIFAR10 --NN-name ResNet10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups weightwise --seed 1 --save-directory cluster/Account1/metaopt/runs/fz3 --run-name fz3-r10-w-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/fz3/probe_r10_w_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 


args_meta includes unnecessary attributes {'momentum_param', 'meta_stepsize', 'weight_decay', 'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.45 %, Test Accuracy: 27.73 %
Epoch 1, Train Accuracy: 31.77 %, Test Accuracy: 33.95 %
Epoch 2, Train Accuracy: 36.03 %, Test Accuracy: 37.09 %
Epoch 3, Train Accuracy: 39.27 %, Test Accuracy: 40.67 %
Epoch 4, Train Accuracy: 41.80 %, Test Accuracy: 43.08 %
Epoch 5, Train Accuracy: 43.89 %, Test Accuracy: 45.75 %
Epoch 6, Train Accuracy: 46.18 %, Test Accuracy: 47.04 %
Epoch 7, Train Accuracy: 47.50 %, Test Accuracy: 48.62 %
Epoch 8, Train Accuracy: 49.49 %, Test Accuracy: 51.69 %
Epoch 9, Train Accuracy: 51.69 %, Test Accuracy: 50.95 %
Epoch 10, Train Accuracy: 52.94 %, Test Accuracy: 54.14 %
Epoch 11, Train Accuracy: 54.34 %, Test Accuracy: 54.58 %
Epoch 12, Train Accuracy: 55.91 %, Test Accuracy: 56.19 %
Epoch 13, Train Accuracy: 57.13 %, Test Accuracy: 57.85 %
Epoch 14, Train Accuracy: 57.98 %, Test Accuracy: 58.20 %
Epoch 15, Train Accuracy: 59.34 %, Test Accuracy: 59.89 %
Epoch 16, Train Accuracy: 60.25 %, Test Accuracy: 59.90 %
Epoch 17, Train Accuracy: 61.18 %, Test Accuracy: 60.36 %
Epoch 18, Train Accuracy: 62.39 %, Test Accuracy: 62.14 %
Epoch 19, Train Accuracy: 63.43 %, Test Accuracy: 60.81 %
5  minutes
RUN_DONE
