NODE=[HOST_b0a55dfb8c] | JOB=g1-adamw-blk6-s0 4679166 | AUGMENT=1
ARGS: --optimizer HF --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --stepsize-groups resnet18_blocks --seed 0 --save-directory cluster/Account2/metaopt/runs/gate1 --run-name g1_adamw_blk6_s0
NVIDIA L4, 23034 MiB
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Files already downloaded and verified
Files already downloaded and verified
Epoch 0, Train Accuracy: 36.19 %, Test Accuracy: 47.20 %
Epoch 1, Train Accuracy: 51.21 %, Test Accuracy: 54.72 %
Epoch 2, Train Accuracy: 58.99 %, Test Accuracy: 59.90 %
Epoch 3, Train Accuracy: 64.73 %, Test Accuracy: 65.33 %
Epoch 4, Train Accuracy: 70.06 %, Test Accuracy: 72.69 %
Epoch 5, Train Accuracy: 74.70 %, Test Accuracy: 76.15 %
Epoch 6, Train Accuracy: 78.10 %, Test Accuracy: 79.02 %
Epoch 7, Train Accuracy: 80.77 %, Test Accuracy: 80.37 %
Epoch 8, Train Accuracy: 83.14 %, Test Accuracy: 81.77 %
Epoch 9, Train Accuracy: 84.39 %, Test Accuracy: 83.46 %
Epoch 10, Train Accuracy: 86.16 %, Test Accuracy: 83.85 %
Epoch 11, Train Accuracy: 87.25 %, Test Accuracy: 85.12 %
Epoch 12, Train Accuracy: 88.34 %, Test Accuracy: 85.62 %
Epoch 13, Train Accuracy: 89.26 %, Test Accuracy: 86.00 %
Epoch 14, Train Accuracy: 89.84 %, Test Accuracy: 86.56 %
Epoch 15, Train Accuracy: 91.03 %, Test Accuracy: 87.61 %
