NODE=[HOST_03eb56b6d1] | JOB=g1-adamw-blk6-s2 4679168 | AUGMENT=1
ARGS: --optimizer HF --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --stepsize-groups resnet18_blocks --seed 2 --save-directory cluster/Account2/metaopt/runs/gate1 --run-name g1_adamw_blk6_s2
NVIDIA L4, 23034 MiB
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Files already downloaded and verified
Files already downloaded and verified
Epoch 0, Train Accuracy: 36.62 %, Test Accuracy: 46.99 %
Epoch 1, Train Accuracy: 51.62 %, Test Accuracy: 57.30 %
Epoch 2, Train Accuracy: 59.22 %, Test Accuracy: 63.13 %
Epoch 3, Train Accuracy: 65.19 %, Test Accuracy: 65.87 %
Epoch 4, Train Accuracy: 70.41 %, Test Accuracy: 68.58 %
Epoch 5, Train Accuracy: 74.81 %, Test Accuracy: 75.08 %
Epoch 6, Train Accuracy: 78.54 %, Test Accuracy: 77.54 %
Epoch 7, Train Accuracy: 81.04 %, Test Accuracy: 78.39 %
Epoch 8, Train Accuracy: 83.20 %, Test Accuracy: 81.78 %
Epoch 9, Train Accuracy: 84.74 %, Test Accuracy: 83.63 %
Epoch 10, Train Accuracy: 86.03 %, Test Accuracy: 82.18 %
Epoch 11, Train Accuracy: 87.19 %, Test Accuracy: 82.00 %
Epoch 12, Train Accuracy: 88.11 %, Test Accuracy: 85.96 %
Epoch 13, Train Accuracy: 89.16 %, Test Accuracy: 85.46 %
Epoch 14, Train Accuracy: 90.12 %, Test Accuracy: 86.19 %
Epoch 15, Train Accuracy: 90.80 %, Test Accuracy: 85.31 %
Epoch 16, Train Accuracy: 91.55 %, Test Accuracy: 86.88 %
Epoch 17, Train Accuracy: 91.91 %, Test Accuracy: 86.17 %
Epoch 18, Train Accuracy: 92.44 %, Test Accuracy: 88.04 %
Epoch 19, Train Accuracy: 93.02 %, Test Accuracy: 87.62 %
Epoch 20, Train Accuracy: 93.37 %, Test Accuracy: 88.55 %
Epoch 21, Train Accuracy: 93.99 %, Test Accuracy: 88.54 %
Epoch 22, Train Accuracy: 94.30 %, Test Accuracy: 87.58 %
Epoch 23, Train Accuracy: 94.85 %, Test Accuracy: 89.26 %
Epoch 24, Train Accuracy: 95.05 %, Test Accuracy: 87.90 %
Epoch 25, Train Accuracy: 95.24 %, Test Accuracy: 89.41 %
Epoch 26, Train Accuracy: 95.76 %, Test Accuracy: 89.31 %
Epoch 27, Train Accuracy: 95.79 %, Test Accuracy: 88.50 %
Epoch 28, Train Accuracy: 96.02 %, Test Accuracy: 89.59 %
Epoch 29, Train Accuracy: 96.59 %, Test Accuracy: 88.90 %
Epoch 30, Train Accuracy: 96.29 %, Test Accuracy: 89.82 %
Epoch 31, Train Accuracy: 96.89 %, Test Accuracy: 89.34 %
Epoch 32, Train Accuracy: 97.02 %, Test Accuracy: 89.86 %
Epoch 33, Train Accuracy: 97.08 %, Test Accuracy: 89.86 %
Epoch 34, Train Accuracy: 97.38 %, Test Accuracy: 89.38 %
Epoch 35, Train Accuracy: 97.56 %, Test Accuracy: 90.13 %
Epoch 36, Train Accuracy: 97.56 %, Test Accuracy: 90.35 %
Epoch 37, Train Accuracy: 97.93 %, Test Accuracy: 90.29 %
