NODE=[HOST_bcfd0fc19c] | JOB=g1-sgdm-scal-s0 4679151
ARGS: --optimizer HF --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --stepsize-groups scalar --seed 0 --save-directory cluster/Account1/metaopt/runs/gate1 --run-name g1_sgdm_scal_s0
NVIDIA L4, 23034 MiB
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
Epoch 0, Train Accuracy: 12.80 %, Test Accuracy: 12.86 %
Epoch 1, Train Accuracy: 12.76 %, Test Accuracy: 12.95 %
Epoch 2, Train Accuracy: 13.01 %, Test Accuracy: 13.19 %
Epoch 3, Train Accuracy: 13.46 %, Test Accuracy: 13.49 %
Epoch 4, Train Accuracy: 13.66 %, Test Accuracy: 13.73 %
Epoch 5, Train Accuracy: 14.52 %, Test Accuracy: 14.50 %
Epoch 6, Train Accuracy: 15.75 %, Test Accuracy: 15.51 %
Epoch 7, Train Accuracy: 17.64 %, Test Accuracy: 17.85 %
Epoch 8, Train Accuracy: 20.20 %, Test Accuracy: 20.98 %
Epoch 9, Train Accuracy: 23.03 %, Test Accuracy: 24.14 %
Epoch 10, Train Accuracy: 26.52 %, Test Accuracy: 28.11 %
Epoch 11, Train Accuracy: 30.21 %, Test Accuracy: 32.89 %
Epoch 12, Train Accuracy: 33.92 %, Test Accuracy: 35.70 %
Epoch 13, Train Accuracy: 37.47 %, Test Accuracy: 39.83 %
Epoch 14, Train Accuracy: 41.87 %, Test Accuracy: 45.15 %
Epoch 15, Train Accuracy: 47.72 %, Test Accuracy: 51.75 %
Epoch 16, Train Accuracy: 53.61 %, Test Accuracy: 55.65 %
Epoch 17, Train Accuracy: 59.92 %, Test Accuracy: 62.29 %
Epoch 18, Train Accuracy: 65.80 %, Test Accuracy: 66.64 %
Epoch 19, Train Accuracy: 70.35 %, Test Accuracy: 70.76 %
Epoch 20, Train Accuracy: 72.93 %, Test Accuracy: 73.69 %
Epoch 21, Train Accuracy: 75.93 %, Test Accuracy: 76.26 %
Epoch 22, Train Accuracy: 77.21 %, Test Accuracy: 77.91 %
Epoch 23, Train Accuracy: 78.33 %, Test Accuracy: 79.22 %
Epoch 24, Train Accuracy: 79.96 %, Test Accuracy: 79.37 %
Epoch 25, Train Accuracy: 80.59 %, Test Accuracy: 80.38 %
Epoch 26, Train Accuracy: 81.97 %, Test Accuracy: 81.51 %
Epoch 27, Train Accuracy: 82.58 %, Test Accuracy: 82.40 %
Epoch 28, Train Accuracy: 83.52 %, Test Accuracy: 82.67 %
Epoch 29, Train Accuracy: 84.01 %, Test Accuracy: 82.59 %
Epoch 30, Train Accuracy: 84.75 %, Test Accuracy: 82.87 %
Epoch 31, Train Accuracy: 85.34 %, Test Accuracy: 83.82 %
Epoch 32, Train Accuracy: 85.80 %, Test Accuracy: 84.29 %
Epoch 33, Train Accuracy: 86.16 %, Test Accuracy: 84.80 %
Epoch 34, Train Accuracy: 86.32 %, Test Accuracy: 84.30 %
Epoch 35, Train Accuracy: 87.04 %, Test Accuracy: 84.64 %
Epoch 36, Train Accuracy: 87.09 %, Test Accuracy: 84.60 %
Epoch 37, Train Accuracy: 87.40 %, Test Accuracy: 84.50 %
Epoch 38, Train Accuracy: 87.85 %, Test Accuracy: 85.21 %
Epoch 39, Train Accuracy: 88.08 %, Test Accuracy: 85.42 %
Epoch 40, Train Accuracy: 88.22 %, Test Accuracy: 85.74 %
Epoch 41, Train Accuracy: 88.47 %, Test Accuracy: 85.63 %
Epoch 42, Train Accuracy: 88.69 %, Test Accuracy: 86.04 %
Epoch 43, Train Accuracy: 88.67 %, Test Accuracy: 85.72 %
Epoch 44, Train Accuracy: 88.88 %, Test Accuracy: 86.43 %
Epoch 45, Train Accuracy: 89.34 %, Test Accuracy: 86.08 %
Epoch 46, Train Accuracy: 89.33 %, Test Accuracy: 86.62 %
Epoch 47, Train Accuracy: 89.61 %, Test Accuracy: 86.47 %
Epoch 48, Train Accuracy: 89.67 %, Test Accuracy: 86.26 %
Epoch 49, Train Accuracy: 90.12 %, Test Accuracy: 86.62 %
Epoch 50, Train Accuracy: 90.04 %, Test Accuracy: 86.65 %
Epoch 51, Train Accuracy: 90.34 %, Test Accuracy: 86.93 %
Epoch 52, Train Accuracy: 90.47 %, Test Accuracy: 87.14 %
Epoch 53, Train Accuracy: 90.45 %, Test Accuracy: 86.83 %
Epoch 54, Train Accuracy: 90.72 %, Test Accuracy: 87.14 %
Epoch 55, Train Accuracy: 90.72 %, Test Accuracy: 86.97 %
Epoch 56, Train Accuracy: 90.94 %, Test Accuracy: 87.00 %
Epoch 57, Train Accuracy: 91.10 %, Test Accuracy: 87.13 %
Epoch 58, Train Accuracy: 91.08 %, Test Accuracy: 87.09 %
Epoch 59, Train Accuracy: 90.96 %, Test Accuracy: 87.04 %
Epoch 60, Train Accuracy: 91.36 %, Test Accuracy: 87.42 %
Epoch 61, Train Accuracy: 91.51 %, Test Accuracy: 87.04 %
Epoch 62, Train Accuracy: 91.57 %, Test Accuracy: 87.27 %
Epoch 63, Train Accuracy: 91.68 %, Test Accuracy: 87.22 %
Epoch 64, Train Accuracy: 91.72 %, Test Accuracy: 87.48 %
Epoch 65, Train Accuracy: 91.65 %, Test Accuracy: 87.30 %
Epoch 66, Train Accuracy: 91.77 %, Test Accuracy: 87.42 %
Epoch 67, Train Accuracy: 91.91 %, Test Accuracy: 87.40 %
Epoch 68, Train Accuracy: 92.14 %, Test Accuracy: 87.64 %
Epoch 69, Train Accuracy: 92.09 %, Test Accuracy: 87.68 %
Epoch 70, Train Accuracy: 92.27 %, Test Accuracy: 87.92 %
Epoch 71, Train Accuracy: 92.25 %, Test Accuracy: 87.79 %
Epoch 72, Train Accuracy: 92.38 %, Test Accuracy: 87.55 %
Epoch 73, Train Accuracy: 92.22 %, Test Accuracy: 87.43 %
Epoch 74, Train Accuracy: 92.43 %, Test Accuracy: 87.73 %
Epoch 75, Train Accuracy: 92.56 %, Test Accuracy: 87.70 %
Epoch 76, Train Accuracy: 92.49 %, Test Accuracy: 87.73 %
Epoch 77, Train Accuracy: 92.53 %, Test Accuracy: 87.71 %
Epoch 78, Train Accuracy: 92.32 %, Test Accuracy: 87.36 %
Epoch 79, Train Accuracy: 92.62 %, Test Accuracy: 87.90 %
Epoch 80, Train Accuracy: 92.89 %, Test Accuracy: 87.53 %
Epoch 81, Train Accuracy: 92.58 %, Test Accuracy: 88.18 %
Epoch 82, Train Accuracy: 92.74 %, Test Accuracy: 87.87 %
Epoch 83, Train Accuracy: 92.94 %, Test Accuracy: 87.94 %
Epoch 84, Train Accuracy: 93.05 %, Test Accuracy: 88.08 %
Epoch 85, Train Accuracy: 92.92 %, Test Accuracy: 87.84 %
Epoch 86, Train Accuracy: 92.88 %, Test Accuracy: 87.79 %
Epoch 87, Train Accuracy: 93.11 %, Test Accuracy: 87.64 %
Epoch 88, Train Accuracy: 93.11 %, Test Accuracy: 87.74 %
Epoch 89, Train Accuracy: 93.17 %, Test Accuracy: 87.83 %
Epoch 90, Train Accuracy: 93.25 %, Test Accuracy: 87.89 %
Epoch 91, Train Accuracy: 93.27 %, Test Accuracy: 87.96 %
Epoch 92, Train Accuracy: 93.28 %, Test Accuracy: 87.86 %
Epoch 93, Train Accuracy: 93.34 %, Test Accuracy: 87.93 %
Epoch 94, Train Accuracy: 93.34 %, Test Accuracy: 87.86 %
Epoch 95, Train Accuracy: 93.49 %, Test Accuracy: 88.27 %
Epoch 96, Train Accuracy: 93.44 %, Test Accuracy: 88.02 %
Epoch 97, Train Accuracy: 93.55 %, Test Accuracy: 87.96 %
Epoch 98, Train Accuracy: 93.51 %, Test Accuracy: 87.97 %
Epoch 99, Train Accuracy: 93.57 %, Test Accuracy: 88.00 %
42  minutes
RUN_DONE
