NODE=[HOST_3c1b003035] | JOB=g1-sgdm-weight-s1 4679161
ARGS: --optimizer HF --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --stepsize-groups weightwise --seed 1 --save-directory cluster/Account1/metaopt/runs/gate1 --run-name g1_sgdm_weight_s1
NVIDIA GeForce RTX 2080 Ti, 11264 MiB
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
Epoch 0, Train Accuracy: 9.66 %, Test Accuracy: 9.81 %
Epoch 1, Train Accuracy: 9.51 %, Test Accuracy: 9.85 %
Epoch 2, Train Accuracy: 9.54 %, Test Accuracy: 9.82 %
Epoch 3, Train Accuracy: 9.73 %, Test Accuracy: 9.94 %
Epoch 4, Train Accuracy: 10.20 %, Test Accuracy: 10.54 %
Epoch 5, Train Accuracy: 11.52 %, Test Accuracy: 12.59 %
Epoch 6, Train Accuracy: 14.46 %, Test Accuracy: 16.48 %
Epoch 7, Train Accuracy: 17.18 %, Test Accuracy: 20.28 %
Epoch 8, Train Accuracy: 19.85 %, Test Accuracy: 21.87 %
Epoch 9, Train Accuracy: 21.25 %, Test Accuracy: 22.47 %
Epoch 10, Train Accuracy: 22.85 %, Test Accuracy: 23.45 %
Epoch 11, Train Accuracy: 24.62 %, Test Accuracy: 25.32 %
Epoch 12, Train Accuracy: 26.17 %, Test Accuracy: 26.89 %
Epoch 13, Train Accuracy: 28.88 %, Test Accuracy: 29.46 %
Epoch 14, Train Accuracy: 31.98 %, Test Accuracy: 32.89 %
Epoch 15, Train Accuracy: 33.69 %, Test Accuracy: 35.52 %
Epoch 16, Train Accuracy: 35.43 %, Test Accuracy: 38.19 %
Epoch 17, Train Accuracy: 37.30 %, Test Accuracy: 40.21 %
Epoch 18, Train Accuracy: 38.86 %, Test Accuracy: 41.70 %
Epoch 19, Train Accuracy: 40.83 %, Test Accuracy: 43.20 %
Epoch 20, Train Accuracy: 42.06 %, Test Accuracy: 44.35 %
Epoch 21, Train Accuracy: 43.56 %, Test Accuracy: 45.63 %
Epoch 22, Train Accuracy: 45.16 %, Test Accuracy: 46.75 %
Epoch 23, Train Accuracy: 46.01 %, Test Accuracy: 47.84 %
