NODE=[HOST_b0a55dfb8c] | JOB=g2-mAdam-layer-s1 4679382 | AUGMENT=1
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account2/metaopt/runs/gate2 --run-name g2_mAdam_layer_s1
NVIDIA L4, 23034 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 41.43 %, Test Accuracy: 50.95 %
Epoch 1, Train Accuracy: 60.77 %, Test Accuracy: 65.02 %
Epoch 2, Train Accuracy: 70.50 %, Test Accuracy: 69.78 %
Epoch 3, Train Accuracy: 76.54 %, Test Accuracy: 78.11 %
Epoch 4, Train Accuracy: 80.00 %, Test Accuracy: 78.33 %
Epoch 5, Train Accuracy: 82.22 %, Test Accuracy: 82.98 %
Epoch 6, Train Accuracy: 84.72 %, Test Accuracy: 82.70 %
Epoch 7, Train Accuracy: 86.46 %, Test Accuracy: 85.06 %
Epoch 8, Train Accuracy: 87.54 %, Test Accuracy: 82.43 %
Epoch 9, Train Accuracy: 88.57 %, Test Accuracy: 86.18 %
Epoch 10, Train Accuracy: 89.64 %, Test Accuracy: 86.89 %
Epoch 11, Train Accuracy: 90.47 %, Test Accuracy: 87.38 %
Epoch 12, Train Accuracy: 91.12 %, Test Accuracy: 86.82 %
Epoch 13, Train Accuracy: 91.97 %, Test Accuracy: 87.37 %
Epoch 14, Train Accuracy: 92.83 %, Test Accuracy: 88.22 %
Epoch 15, Train Accuracy: 93.25 %, Test Accuracy: 88.46 %
Epoch 16, Train Accuracy: 93.85 %, Test Accuracy: 89.03 %
Epoch 17, Train Accuracy: 94.26 %, Test Accuracy: 88.67 %
Epoch 18, Train Accuracy: 94.51 %, Test Accuracy: 89.33 %
Epoch 19, Train Accuracy: 94.98 %, Test Accuracy: 88.92 %
Epoch 20, Train Accuracy: 95.39 %, Test Accuracy: 89.18 %
Epoch 21, Train Accuracy: 95.80 %, Test Accuracy: 89.41 %
Epoch 22, Train Accuracy: 96.09 %, Test Accuracy: 89.91 %
Epoch 23, Train Accuracy: 96.27 %, Test Accuracy: 90.12 %
Epoch 24, Train Accuracy: 96.60 %, Test Accuracy: 90.04 %
Epoch 25, Train Accuracy: 96.77 %, Test Accuracy: 89.86 %
Epoch 26, Train Accuracy: 97.26 %, Test Accuracy: 90.24 %
Epoch 27, Train Accuracy: 97.47 %, Test Accuracy: 90.17 %
Epoch 28, Train Accuracy: 97.66 %, Test Accuracy: 90.61 %
Epoch 29, Train Accuracy: 97.84 %, Test Accuracy: 90.48 %
Epoch 30, Train Accuracy: 98.16 %, Test Accuracy: 89.65 %
Epoch 31, Train Accuracy: 98.04 %, Test Accuracy: 90.55 %
Epoch 32, Train Accuracy: 98.14 %, Test Accuracy: 90.07 %
Epoch 33, Train Accuracy: 98.34 %, Test Accuracy: 89.92 %
Epoch 34, Train Accuracy: 98.32 %, Test Accuracy: 90.55 %
