NODE=[HOST_bcfd0fc19c] | JOB=g3-sgdmAdam-blk6-s0 4679439
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --stepsize-groups resnet18_blocks --seed 0 --save-directory cluster/Account1/metaopt/runs/gate3 --run-name g3_sgdmAdam_blk6_s0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 


args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 15.38 %, Test Accuracy: 23.91 %
Epoch 1, Train Accuracy: 40.54 %, Test Accuracy: 48.45 %
Epoch 2, Train Accuracy: 53.34 %, Test Accuracy: 55.66 %
Epoch 3, Train Accuracy: 60.95 %, Test Accuracy: 63.31 %
Epoch 4, Train Accuracy: 66.21 %, Test Accuracy: 67.53 %
Epoch 5, Train Accuracy: 69.94 %, Test Accuracy: 71.32 %
Epoch 6, Train Accuracy: 73.52 %, Test Accuracy: 75.56 %
Epoch 7, Train Accuracy: 76.33 %, Test Accuracy: 76.50 %
Epoch 8, Train Accuracy: 78.54 %, Test Accuracy: 78.82 %
Epoch 9, Train Accuracy: 80.60 %, Test Accuracy: 80.07 %
Epoch 10, Train Accuracy: 82.07 %, Test Accuracy: 80.31 %
Epoch 11, Train Accuracy: 83.48 %, Test Accuracy: 82.64 %
Epoch 12, Train Accuracy: 84.29 %, Test Accuracy: 83.74 %
Epoch 13, Train Accuracy: 85.64 %, Test Accuracy: 84.45 %
Epoch 14, Train Accuracy: 86.99 %, Test Accuracy: 85.18 %
Epoch 15, Train Accuracy: 87.86 %, Test Accuracy: 85.72 %
Epoch 16, Train Accuracy: 89.00 %, Test Accuracy: 86.87 %
Epoch 17, Train Accuracy: 89.60 %, Test Accuracy: 87.31 %
