NODE=[HOST_2f2f29d9e1] | JOB=g3-sgdmAdam-blk6-s1 4679440
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --stepsize-groups resnet18_blocks --seed 1 --save-directory cluster/Account1/metaopt/runs/gate3 --run-name g3_sgdmAdam_blk6_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 


args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 13.08 %, Test Accuracy: 22.41 %
Epoch 1, Train Accuracy: 40.54 %, Test Accuracy: 49.27 %
Epoch 2, Train Accuracy: 52.92 %, Test Accuracy: 55.70 %
Epoch 3, Train Accuracy: 60.41 %, Test Accuracy: 60.83 %
Epoch 4, Train Accuracy: 65.80 %, Test Accuracy: 67.00 %
Epoch 5, Train Accuracy: 70.49 %, Test Accuracy: 71.37 %
Epoch 6, Train Accuracy: 74.06 %, Test Accuracy: 72.86 %
Epoch 7, Train Accuracy: 76.96 %, Test Accuracy: 76.78 %
Epoch 8, Train Accuracy: 78.96 %, Test Accuracy: 78.63 %
Epoch 9, Train Accuracy: 80.60 %, Test Accuracy: 80.40 %
Epoch 10, Train Accuracy: 82.23 %, Test Accuracy: 82.20 %
Epoch 11, Train Accuracy: 83.47 %, Test Accuracy: 81.77 %
Epoch 12, Train Accuracy: 84.70 %, Test Accuracy: 84.05 %
Epoch 13, Train Accuracy: 85.86 %, Test Accuracy: 84.56 %
Epoch 14, Train Accuracy: 86.74 %, Test Accuracy: 84.73 %
Epoch 15, Train Accuracy: 88.00 %, Test Accuracy: 85.02 %
Epoch 16, Train Accuracy: 88.90 %, Test Accuracy: 85.63 %
