NODE=[HOST_03eb56b6d1] | JOB=g3-sgdmAdam-layer-s2 4679444
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account1/metaopt/runs/gate3 --run-name g3_sgdmAdam_layer_s2
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 


args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.07 %, Test Accuracy: 19.80 %
Epoch 1, Train Accuracy: 39.04 %, Test Accuracy: 48.77 %
Epoch 2, Train Accuracy: 53.71 %, Test Accuracy: 58.75 %
Epoch 3, Train Accuracy: 62.18 %, Test Accuracy: 66.44 %
Epoch 4, Train Accuracy: 67.58 %, Test Accuracy: 70.33 %
Epoch 5, Train Accuracy: 71.71 %, Test Accuracy: 73.07 %
Epoch 6, Train Accuracy: 75.80 %, Test Accuracy: 75.67 %
Epoch 7, Train Accuracy: 78.14 %, Test Accuracy: 78.79 %
Epoch 8, Train Accuracy: 80.56 %, Test Accuracy: 79.81 %
Epoch 9, Train Accuracy: 81.99 %, Test Accuracy: 81.94 %
Epoch 10, Train Accuracy: 83.58 %, Test Accuracy: 82.75 %
Epoch 11, Train Accuracy: 84.93 %, Test Accuracy: 83.04 %
Epoch 12, Train Accuracy: 86.02 %, Test Accuracy: 83.69 %
Epoch 13, Train Accuracy: 86.79 %, Test Accuracy: 84.25 %
Epoch 14, Train Accuracy: 87.73 %, Test Accuracy: 84.88 %
Epoch 15, Train Accuracy: 88.46 %, Test Accuracy: 85.27 %
Epoch 16, Train Accuracy: 89.49 %, Test Accuracy: 86.19 %
Epoch 17, Train Accuracy: 89.73 %, Test Accuracy: 85.58 %
Epoch 18, Train Accuracy: 90.46 %, Test Accuracy: 86.27 %
Epoch 19, Train Accuracy: 90.88 %, Test Accuracy: 86.90 %
Epoch 20, Train Accuracy: 91.59 %, Test Accuracy: 86.67 %
Epoch 21, Train Accuracy: 92.17 %, Test Accuracy: 86.93 %
Epoch 22, Train Accuracy: 92.46 %, Test Accuracy: 86.50 %
Epoch 23, Train Accuracy: 92.84 %, Test Accuracy: 88.36 %
Epoch 24, Train Accuracy: 93.45 %, Test Accuracy: 87.18 %
Epoch 25, Train Accuracy: 93.56 %, Test Accuracy: 87.70 %
Epoch 26, Train Accuracy: 94.12 %, Test Accuracy: 88.49 %
Epoch 27, Train Accuracy: 94.64 %, Test Accuracy: 87.36 %
Epoch 28, Train Accuracy: 94.54 %, Test Accuracy: 87.81 %
Epoch 29, Train Accuracy: 95.11 %, Test Accuracy: 88.28 %
Epoch 30, Train Accuracy: 95.17 %, Test Accuracy: 88.45 %
Epoch 31, Train Accuracy: 95.53 %, Test Accuracy: 88.34 %
Epoch 32, Train Accuracy: 95.86 %, Test Accuracy: 88.96 %
Epoch 33, Train Accuracy: 96.28 %, Test Accuracy: 89.01 %
Epoch 34, Train Accuracy: 96.37 %, Test Accuracy: 88.22 %
Epoch 35, Train Accuracy: 96.40 %, Test Accuracy: 89.07 %
Epoch 36, Train Accuracy: 96.83 %, Test Accuracy: 88.86 %
Epoch 37, Train Accuracy: 96.85 %, Test Accuracy: 88.24 %
Epoch 38, Train Accuracy: 96.96 %, Test Accuracy: 89.11 %
Epoch 39, Train Accuracy: 97.21 %, Test Accuracy: 88.84 %
Epoch 40, Train Accuracy: 97.36 %, Test Accuracy: 89.30 %
Epoch 41, Train Accuracy: 97.32 %, Test Accuracy: 89.15 %
Epoch 42, Train Accuracy: 97.62 %, Test Accuracy: 89.49 %
Epoch 43, Train Accuracy: 97.85 %, Test Accuracy: 89.03 %
Epoch 44, Train Accuracy: 97.89 %, Test Accuracy: 89.41 %
Epoch 45, Train Accuracy: 98.05 %, Test Accuracy: 89.90 %
Epoch 46, Train Accuracy: 98.03 %, Test Accuracy: 89.46 %
Epoch 47, Train Accuracy: 98.09 %, Test Accuracy: 88.91 %
Epoch 48, Train Accuracy: 98.40 %, Test Accuracy: 89.66 %
Epoch 49, Train Accuracy: 98.53 %, Test Accuracy: 89.61 %
Epoch 50, Train Accuracy: 98.56 %, Test Accuracy: 89.54 %
Epoch 51, Train Accuracy: 98.36 %, Test Accuracy: 89.41 %
Epoch 52, Train Accuracy: 98.69 %, Test Accuracy: 89.92 %
Epoch 53, Train Accuracy: 98.68 %, Test Accuracy: 89.07 %
Epoch 54, Train Accuracy: 98.74 %, Test Accuracy: 89.32 %
Epoch 55, Train Accuracy: 98.83 %, Test Accuracy: 89.46 %
Epoch 56, Train Accuracy: 98.87 %, Test Accuracy: 89.65 %
Epoch 57, Train Accuracy: 98.76 %, Test Accuracy: 89.62 %
Epoch 58, Train Accuracy: 98.93 %, Test Accuracy: 89.64 %
Epoch 59, Train Accuracy: 98.98 %, Test Accuracy: 89.83 %
Epoch 60, Train Accuracy: 99.09 %, Test Accuracy: 89.74 %
Epoch 61, Train Accuracy: 99.12 %, Test Accuracy: 89.92 %
Epoch 62, Train Accuracy: 99.15 %, Test Accuracy: 89.91 %
Epoch 63, Train Accuracy: 99.17 %, Test Accuracy: 89.54 %
Epoch 64, Train Accuracy: 99.13 %, Test Accuracy: 89.84 %
Epoch 65, Train Accuracy: 99.15 %, Test Accuracy: 90.13 %
Epoch 66, Train Accuracy: 99.31 %, Test Accuracy: 89.76 %
Epoch 67, Train Accuracy: 99.35 %, Test Accuracy: 89.80 %
Epoch 68, Train Accuracy: 99.33 %, Test Accuracy: 89.85 %
Epoch 69, Train Accuracy: 99.16 %, Test Accuracy: 89.83 %
Epoch 70, Train Accuracy: 99.36 %, Test Accuracy: 90.27 %
Epoch 71, Train Accuracy: 99.38 %, Test Accuracy: 89.84 %
Epoch 72, Train Accuracy: 99.37 %, Test Accuracy: 89.94 %
Epoch 73, Train Accuracy: 99.45 %, Test Accuracy: 89.91 %
Epoch 74, Train Accuracy: 99.47 %, Test Accuracy: 90.33 %
Epoch 75, Train Accuracy: 99.44 %, Test Accuracy: 90.09 %
Epoch 76, Train Accuracy: 99.49 %, Test Accuracy: 90.11 %
Epoch 77, Train Accuracy: 99.52 %, Test Accuracy: 89.97 %
Epoch 78, Train Accuracy: 99.49 %, Test Accuracy: 89.88 %
Epoch 79, Train Accuracy: 99.62 %, Test Accuracy: 90.13 %
Epoch 80, Train Accuracy: 99.56 %, Test Accuracy: 90.23 %
Epoch 81, Train Accuracy: 99.42 %, Test Accuracy: 89.99 %
Epoch 82, Train Accuracy: 99.58 %, Test Accuracy: 90.05 %
Epoch 83, Train Accuracy: 99.65 %, Test Accuracy: 89.93 %
Epoch 84, Train Accuracy: 99.55 %, Test Accuracy: 90.15 %
Epoch 85, Train Accuracy: 99.59 %, Test Accuracy: 90.23 %
Epoch 86, Train Accuracy: 99.63 %, Test Accuracy: 89.79 %
Epoch 87, Train Accuracy: 99.63 %, Test Accuracy: 89.87 %
Epoch 88, Train Accuracy: 99.66 %, Test Accuracy: 89.89 %
Epoch 89, Train Accuracy: 99.68 %, Test Accuracy: 89.84 %
Epoch 90, Train Accuracy: 99.63 %, Test Accuracy: 90.14 %
Epoch 91, Train Accuracy: 99.67 %, Test Accuracy: 90.37 %
Epoch 92, Train Accuracy: 99.69 %, Test Accuracy: 90.41 %
Epoch 93, Train Accuracy: 99.75 %, Test Accuracy: 90.06 %
Epoch 94, Train Accuracy: 99.76 %, Test Accuracy: 90.49 %
Epoch 95, Train Accuracy: 99.74 %, Test Accuracy: 90.27 %
Epoch 96, Train Accuracy: 99.67 %, Test Accuracy: 90.40 %
Epoch 97, Train Accuracy: 99.71 %, Test Accuracy: 90.27 %
Epoch 98, Train Accuracy: 99.68 %, Test Accuracy: 90.53 %
Epoch 99, Train Accuracy: 99.74 %, Test Accuracy: 90.12 %
31  minutes
RUN_DONE
