NODE=[HOST_2f2f29d9e1] | JOB=g3b-chW1-s171 5080802 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk771 --seed 171 --save-directory cluster/Account2/metaopt/runs/g3b --run-name g3b-chW1-s171
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/g3b/probe_g3b-chW1-s171 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.59 %, Test Accuracy: 4.77 %
Epoch 1, Train Accuracy: 6.30 %, Test Accuracy: 7.83 %
Epoch 2, Train Accuracy: 9.11 %, Test Accuracy: 10.07 %
Epoch 3, Train Accuracy: 10.69 %, Test Accuracy: 11.34 %
Epoch 4, Train Accuracy: 11.79 %, Test Accuracy: 12.89 %
Epoch 5, Train Accuracy: 12.96 %, Test Accuracy: 13.90 %
Epoch 6, Train Accuracy: 14.04 %, Test Accuracy: 14.43 %
Epoch 7, Train Accuracy: 14.89 %, Test Accuracy: 15.61 %
Epoch 8, Train Accuracy: 15.96 %, Test Accuracy: 16.22 %
Epoch 9, Train Accuracy: 16.89 %, Test Accuracy: 17.79 %
Epoch 10, Train Accuracy: 18.09 %, Test Accuracy: 18.66 %
Epoch 11, Train Accuracy: 19.24 %, Test Accuracy: 19.61 %
Epoch 12, Train Accuracy: 20.47 %, Test Accuracy: 21.73 %
Epoch 13, Train Accuracy: 22.32 %, Test Accuracy: 23.38 %
Epoch 14, Train Accuracy: 23.75 %, Test Accuracy: 25.85 %
Epoch 15, Train Accuracy: 25.82 %, Test Accuracy: 24.87 %
Epoch 16, Train Accuracy: 27.48 %, Test Accuracy: 27.70 %
Epoch 17, Train Accuracy: 28.80 %, Test Accuracy: 30.14 %
Epoch 18, Train Accuracy: 30.97 %, Test Accuracy: 29.90 %
Epoch 19, Train Accuracy: 33.12 %, Test Accuracy: 32.95 %
Epoch 20, Train Accuracy: 35.09 %, Test Accuracy: 32.19 %
Epoch 21, Train Accuracy: 37.14 %, Test Accuracy: 36.32 %
Epoch 22, Train Accuracy: 38.93 %, Test Accuracy: 40.60 %
Epoch 23, Train Accuracy: 41.36 %, Test Accuracy: 42.18 %
Epoch 24, Train Accuracy: 43.88 %, Test Accuracy: 42.44 %
Epoch 25, Train Accuracy: 45.93 %, Test Accuracy: 45.86 %
Epoch 26, Train Accuracy: 47.83 %, Test Accuracy: 45.47 %
Epoch 27, Train Accuracy: 49.43 %, Test Accuracy: 47.07 %
Epoch 28, Train Accuracy: 51.56 %, Test Accuracy: 50.83 %
Epoch 29, Train Accuracy: 53.28 %, Test Accuracy: 51.23 %
Epoch 30, Train Accuracy: 54.76 %, Test Accuracy: 50.98 %
Epoch 31, Train Accuracy: 56.23 %, Test Accuracy: 53.60 %
Epoch 32, Train Accuracy: 57.73 %, Test Accuracy: 53.86 %
Epoch 33, Train Accuracy: 58.86 %, Test Accuracy: 55.58 %
Epoch 34, Train Accuracy: 60.42 %, Test Accuracy: 55.75 %
Epoch 35, Train Accuracy: 61.75 %, Test Accuracy: 57.11 %
Epoch 36, Train Accuracy: 62.80 %, Test Accuracy: 56.65 %
Epoch 37, Train Accuracy: 63.81 %, Test Accuracy: 59.32 %
