NODE=[HOST_7b4dd78541] | JOB=g3b-k01W1-s170 5080800 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups scalar --seed 170 --save-directory cluster/Account2/metaopt/runs/g3b --run-name g3b-k01W1-s170
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/g3b/probe_g3b-k01W1-s170 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.19 %, Test Accuracy: 4.36 %
Epoch 1, Train Accuracy: 6.19 %, Test Accuracy: 7.44 %
Epoch 2, Train Accuracy: 8.48 %, Test Accuracy: 9.78 %
Epoch 3, Train Accuracy: 10.33 %, Test Accuracy: 11.12 %
Epoch 4, Train Accuracy: 11.97 %, Test Accuracy: 12.75 %
Epoch 5, Train Accuracy: 12.97 %, Test Accuracy: 13.62 %
Epoch 6, Train Accuracy: 14.03 %, Test Accuracy: 15.01 %
Epoch 7, Train Accuracy: 15.13 %, Test Accuracy: 15.93 %
Epoch 8, Train Accuracy: 15.94 %, Test Accuracy: 16.96 %
Epoch 9, Train Accuracy: 16.93 %, Test Accuracy: 17.28 %
Epoch 10, Train Accuracy: 17.73 %, Test Accuracy: 17.98 %
Epoch 11, Train Accuracy: 18.62 %, Test Accuracy: 19.10 %
Epoch 12, Train Accuracy: 19.57 %, Test Accuracy: 19.46 %
Epoch 13, Train Accuracy: 20.43 %, Test Accuracy: 20.46 %
Epoch 14, Train Accuracy: 21.36 %, Test Accuracy: 21.79 %
Epoch 15, Train Accuracy: 22.10 %, Test Accuracy: 22.29 %
Epoch 16, Train Accuracy: 22.66 %, Test Accuracy: 22.22 %
Epoch 17, Train Accuracy: 23.46 %, Test Accuracy: 23.98 %
Epoch 18, Train Accuracy: 24.20 %, Test Accuracy: 24.82 %
Epoch 19, Train Accuracy: 25.07 %, Test Accuracy: 24.62 %
Epoch 20, Train Accuracy: 24.99 %, Test Accuracy: 24.82 %
Epoch 21, Train Accuracy: 25.98 %, Test Accuracy: 25.65 %
Epoch 22, Train Accuracy: 26.42 %, Test Accuracy: 26.54 %
Epoch 23, Train Accuracy: 26.94 %, Test Accuracy: 27.35 %
Epoch 24, Train Accuracy: 27.86 %, Test Accuracy: 26.83 %
Epoch 25, Train Accuracy: 28.31 %, Test Accuracy: 28.09 %
Epoch 26, Train Accuracy: 28.63 %, Test Accuracy: 28.92 %
Epoch 27, Train Accuracy: 29.34 %, Test Accuracy: 28.22 %
Epoch 28, Train Accuracy: 29.56 %, Test Accuracy: 29.63 %
Epoch 29, Train Accuracy: 30.27 %, Test Accuracy: 29.03 %
Epoch 30, Train Accuracy: 30.46 %, Test Accuracy: 29.75 %
Epoch 31, Train Accuracy: 30.78 %, Test Accuracy: 30.81 %
Epoch 32, Train Accuracy: 30.95 %, Test Accuracy: 29.76 %
Epoch 33, Train Accuracy: 31.39 %, Test Accuracy: 30.93 %
Epoch 34, Train Accuracy: 31.69 %, Test Accuracy: 30.22 %
Epoch 35, Train Accuracy: 32.24 %, Test Accuracy: 31.45 %
Epoch 36, Train Accuracy: 32.58 %, Test Accuracy: 31.42 %
Epoch 37, Train Accuracy: 32.64 %, Test Accuracy: 31.92 %
Epoch 38, Train Accuracy: 33.08 %, Test Accuracy: 32.36 %
Epoch 39, Train Accuracy: 33.50 %, Test Accuracy: 32.51 %
Epoch 40, Train Accuracy: 33.40 %, Test Accuracy: 32.72 %
Epoch 41, Train Accuracy: 34.04 %, Test Accuracy: 33.03 %
Epoch 42, Train Accuracy: 34.06 %, Test Accuracy: 33.38 %
Epoch 43, Train Accuracy: 34.33 %, Test Accuracy: 32.42 %
Epoch 44, Train Accuracy: 34.70 %, Test Accuracy: 33.72 %
Epoch 45, Train Accuracy: 34.84 %, Test Accuracy: 33.62 %
Epoch 46, Train Accuracy: 35.09 %, Test Accuracy: 34.06 %
Epoch 47, Train Accuracy: 35.26 %, Test Accuracy: 34.00 %
Epoch 48, Train Accuracy: 35.58 %, Test Accuracy: 33.89 %
Epoch 49, Train Accuracy: 35.51 %, Test Accuracy: 34.20 %
Epoch 50, Train Accuracy: 35.89 %, Test Accuracy: 34.40 %
Epoch 51, Train Accuracy: 36.09 %, Test Accuracy: 34.38 %
Epoch 52, Train Accuracy: 36.28 %, Test Accuracy: 34.14 %
Epoch 53, Train Accuracy: 36.30 %, Test Accuracy: 34.99 %
Epoch 54, Train Accuracy: 36.54 %, Test Accuracy: 34.57 %
Epoch 55, Train Accuracy: 36.62 %, Test Accuracy: 34.86 %
Epoch 56, Train Accuracy: 37.01 %, Test Accuracy: 34.96 %
Epoch 57, Train Accuracy: 37.10 %, Test Accuracy: 34.68 %
Epoch 58, Train Accuracy: 37.22 %, Test Accuracy: 35.14 %
Epoch 59, Train Accuracy: 37.41 %, Test Accuracy: 35.05 %
Epoch 60, Train Accuracy: 37.52 %, Test Accuracy: 35.37 %
Epoch 61, Train Accuracy: 37.44 %, Test Accuracy: 35.20 %
Epoch 62, Train Accuracy: 37.83 %, Test Accuracy: 35.40 %
Epoch 63, Train Accuracy: 37.68 %, Test Accuracy: 35.55 %
Epoch 64, Train Accuracy: 37.92 %, Test Accuracy: 35.41 %
Epoch 65, Train Accuracy: 38.04 %, Test Accuracy: 35.62 %
Epoch 66, Train Accuracy: 38.13 %, Test Accuracy: 35.51 %
Epoch 67, Train Accuracy: 38.12 %, Test Accuracy: 35.92 %
Epoch 68, Train Accuracy: 38.36 %, Test Accuracy: 35.70 %
Epoch 69, Train Accuracy: 38.42 %, Test Accuracy: 35.80 %
Epoch 70, Train Accuracy: 38.56 %, Test Accuracy: 35.99 %
Epoch 71, Train Accuracy: 38.69 %, Test Accuracy: 35.66 %
Epoch 72, Train Accuracy: 38.60 %, Test Accuracy: 35.60 %
Epoch 73, Train Accuracy: 38.81 %, Test Accuracy: 36.25 %
Epoch 74, Train Accuracy: 38.79 %, Test Accuracy: 35.85 %
Epoch 75, Train Accuracy: 39.02 %, Test Accuracy: 36.12 %
Epoch 76, Train Accuracy: 39.02 %, Test Accuracy: 36.17 %
Epoch 77, Train Accuracy: 38.79 %, Test Accuracy: 35.80 %
Epoch 78, Train Accuracy: 38.97 %, Test Accuracy: 35.99 %
Epoch 79, Train Accuracy: 39.05 %, Test Accuracy: 35.97 %
Epoch 80, Train Accuracy: 39.23 %, Test Accuracy: 36.02 %
Epoch 81, Train Accuracy: 39.23 %, Test Accuracy: 35.70 %
Epoch 82, Train Accuracy: 39.25 %, Test Accuracy: 36.55 %
