NODE=[HOST_6dc36997e3] | JOB=g3m-n1d-s6 4776276
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet34 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups nodewise1d --seed 6 --save-directory cluster/Account1/metaopt/runs/g3m --run-name g3m-n1d-s6
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/g3m/probe_n1d_g3m_s6
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.15 %, Test Accuracy: 29.39 %
Epoch 1, Train Accuracy: 33.82 %, Test Accuracy: 38.47 %
Epoch 2, Train Accuracy: 40.56 %, Test Accuracy: 44.16 %
Epoch 3, Train Accuracy: 45.46 %, Test Accuracy: 48.82 %
Epoch 4, Train Accuracy: 50.07 %, Test Accuracy: 53.17 %
Epoch 5, Train Accuracy: 54.24 %, Test Accuracy: 57.73 %
Epoch 6, Train Accuracy: 58.22 %, Test Accuracy: 59.60 %
Epoch 7, Train Accuracy: 62.04 %, Test Accuracy: 63.77 %
Epoch 8, Train Accuracy: 65.18 %, Test Accuracy: 66.42 %
Epoch 9, Train Accuracy: 67.81 %, Test Accuracy: 67.84 %
Epoch 10, Train Accuracy: 70.39 %, Test Accuracy: 71.16 %
Epoch 11, Train Accuracy: 72.71 %, Test Accuracy: 72.76 %
Epoch 12, Train Accuracy: 75.35 %, Test Accuracy: 75.95 %
Epoch 13, Train Accuracy: 77.17 %, Test Accuracy: 75.23 %
Epoch 14, Train Accuracy: 78.78 %, Test Accuracy: 75.42 %
Epoch 15, Train Accuracy: 79.73 %, Test Accuracy: 77.76 %
Epoch 16, Train Accuracy: 81.64 %, Test Accuracy: 80.44 %
Epoch 17, Train Accuracy: 82.60 %, Test Accuracy: 80.27 %
Epoch 18, Train Accuracy: 83.30 %, Test Accuracy: 81.53 %
Epoch 19, Train Accuracy: 84.39 %, Test Accuracy: 82.69 %
Epoch 20, Train Accuracy: 85.21 %, Test Accuracy: 82.25 %
Epoch 21, Train Accuracy: 85.73 %, Test Accuracy: 83.52 %
Epoch 22, Train Accuracy: 86.07 %, Test Accuracy: 83.35 %
Epoch 23, Train Accuracy: 86.80 %, Test Accuracy: 83.88 %
Epoch 24, Train Accuracy: 87.48 %, Test Accuracy: 83.60 %
Epoch 25, Train Accuracy: 88.11 %, Test Accuracy: 84.50 %
Epoch 26, Train Accuracy: 88.60 %, Test Accuracy: 85.61 %
Epoch 27, Train Accuracy: 88.82 %, Test Accuracy: 85.87 %
Epoch 28, Train Accuracy: 89.44 %, Test Accuracy: 85.74 %
Epoch 29, Train Accuracy: 89.92 %, Test Accuracy: 86.55 %
Epoch 30, Train Accuracy: 89.94 %, Test Accuracy: 86.54 %
Epoch 31, Train Accuracy: 90.34 %, Test Accuracy: 85.56 %
Epoch 32, Train Accuracy: 90.68 %, Test Accuracy: 86.67 %
Epoch 33, Train Accuracy: 90.20 %, Test Accuracy: 87.68 %
Epoch 34, Train Accuracy: 91.36 %, Test Accuracy: 86.69 %
Epoch 35, Train Accuracy: 91.15 %, Test Accuracy: 84.81 %
Epoch 36, Train Accuracy: 91.91 %, Test Accuracy: 88.06 %
Epoch 37, Train Accuracy: 91.90 %, Test Accuracy: 87.18 %
Epoch 38, Train Accuracy: 91.54 %, Test Accuracy: 87.41 %
Epoch 39, Train Accuracy: 92.52 %, Test Accuracy: 88.18 %
Epoch 40, Train Accuracy: 92.63 %, Test Accuracy: 86.91 %
Epoch 41, Train Accuracy: 92.78 %, Test Accuracy: 88.90 %
Epoch 42, Train Accuracy: 93.02 %, Test Accuracy: 89.01 %
Epoch 43, Train Accuracy: 93.12 %, Test Accuracy: 88.85 %
Epoch 44, Train Accuracy: 93.26 %, Test Accuracy: 88.12 %
Epoch 45, Train Accuracy: 93.38 %, Test Accuracy: 87.93 %
Epoch 46, Train Accuracy: 93.43 %, Test Accuracy: 88.82 %
Epoch 47, Train Accuracy: 93.54 %, Test Accuracy: 87.70 %
Epoch 48, Train Accuracy: 94.27 %, Test Accuracy: 89.19 %
Epoch 49, Train Accuracy: 94.09 %, Test Accuracy: 88.25 %
Epoch 50, Train Accuracy: 94.07 %, Test Accuracy: 89.91 %
Epoch 51, Train Accuracy: 94.46 %, Test Accuracy: 89.61 %
Epoch 52, Train Accuracy: 94.72 %, Test Accuracy: 89.94 %
Epoch 53, Train Accuracy: 94.22 %, Test Accuracy: 90.61 %
Epoch 54, Train Accuracy: 94.83 %, Test Accuracy: 91.05 %
Epoch 55, Train Accuracy: 95.31 %, Test Accuracy: 89.74 %
Epoch 56, Train Accuracy: 95.05 %, Test Accuracy: 89.99 %
Epoch 57, Train Accuracy: 95.61 %, Test Accuracy: 90.06 %
Epoch 58, Train Accuracy: 95.70 %, Test Accuracy: 90.78 %
Epoch 59, Train Accuracy: 95.85 %, Test Accuracy: 89.99 %
Epoch 60, Train Accuracy: 95.62 %, Test Accuracy: 90.12 %
Epoch 61, Train Accuracy: 96.17 %, Test Accuracy: 89.81 %
Epoch 62, Train Accuracy: 95.94 %, Test Accuracy: 91.06 %
Epoch 63, Train Accuracy: 96.60 %, Test Accuracy: 90.80 %
Epoch 64, Train Accuracy: 96.76 %, Test Accuracy: 90.71 %
Epoch 65, Train Accuracy: 96.51 %, Test Accuracy: 90.81 %
Epoch 66, Train Accuracy: 96.64 %, Test Accuracy: 89.41 %
Epoch 67, Train Accuracy: 96.54 %, Test Accuracy: 91.02 %
Epoch 68, Train Accuracy: 96.86 %, Test Accuracy: 90.64 %
Epoch 69, Train Accuracy: 96.84 %, Test Accuracy: 90.05 %
Epoch 70, Train Accuracy: 97.18 %, Test Accuracy: 90.78 %
Epoch 71, Train Accuracy: 97.11 %, Test Accuracy: 90.57 %
Epoch 72, Train Accuracy: 97.27 %, Test Accuracy: 90.76 %
Epoch 73, Train Accuracy: 97.14 %, Test Accuracy: 91.08 %
Epoch 74, Train Accuracy: 97.38 %, Test Accuracy: 91.54 %
Epoch 75, Train Accuracy: 97.49 %, Test Accuracy: 91.42 %
Epoch 76, Train Accuracy: 97.32 %, Test Accuracy: 90.84 %
Epoch 77, Train Accuracy: 97.54 %, Test Accuracy: 91.27 %
Epoch 78, Train Accuracy: 97.65 %, Test Accuracy: 91.95 %
Epoch 79, Train Accuracy: 97.87 %, Test Accuracy: 91.67 %
Epoch 80, Train Accuracy: 97.53 %, Test Accuracy: 90.94 %
Epoch 81, Train Accuracy: 97.76 %, Test Accuracy: 90.73 %
Epoch 82, Train Accuracy: 97.87 %, Test Accuracy: 91.47 %
Epoch 83, Train Accuracy: 97.90 %, Test Accuracy: 91.90 %
Epoch 84, Train Accuracy: 98.06 %, Test Accuracy: 91.13 %
Epoch 85, Train Accuracy: 97.59 %, Test Accuracy: 91.42 %
Epoch 86, Train Accuracy: 97.67 %, Test Accuracy: 91.81 %
Epoch 87, Train Accuracy: 98.20 %, Test Accuracy: 91.87 %
Epoch 88, Train Accuracy: 98.38 %, Test Accuracy: 92.33 %
Epoch 89, Train Accuracy: 98.26 %, Test Accuracy: 92.25 %
Epoch 90, Train Accuracy: 98.08 %, Test Accuracy: 91.40 %
Epoch 91, Train Accuracy: 98.12 %, Test Accuracy: 92.57 %
Epoch 92, Train Accuracy: 97.96 %, Test Accuracy: 91.60 %
Epoch 93, Train Accuracy: 98.42 %, Test Accuracy: 92.24 %
Epoch 94, Train Accuracy: 98.50 %, Test Accuracy: 91.39 %
Epoch 95, Train Accuracy: 98.36 %, Test Accuracy: 92.08 %
Epoch 96, Train Accuracy: 98.70 %, Test Accuracy: 92.15 %
Epoch 97, Train Accuracy: 98.34 %, Test Accuracy: 91.49 %
Epoch 98, Train Accuracy: 98.46 %, Test Accuracy: 92.01 %
Epoch 99, Train Accuracy: 98.52 %, Test Accuracy: 92.47 %
83  minutes
RUN_DONE
