NODE=[HOST_fd0c0ddbe6] | JOB=g3m-n1d-s8 4776284
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet34 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups nodewise1d --seed 8 --save-directory cluster/Account1/metaopt/runs/g3m --run-name g3m-n1d-s8
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/g3m/probe_n1d_g3m_s8
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.11 %, Test Accuracy: 31.39 %
Epoch 1, Train Accuracy: 33.53 %, Test Accuracy: 39.42 %
Epoch 2, Train Accuracy: 40.09 %, Test Accuracy: 44.26 %
Epoch 3, Train Accuracy: 45.56 %, Test Accuracy: 48.15 %
Epoch 4, Train Accuracy: 49.92 %, Test Accuracy: 53.09 %
Epoch 5, Train Accuracy: 54.61 %, Test Accuracy: 57.46 %
Epoch 6, Train Accuracy: 58.55 %, Test Accuracy: 60.70 %
Epoch 7, Train Accuracy: 62.28 %, Test Accuracy: 63.39 %
Epoch 8, Train Accuracy: 65.21 %, Test Accuracy: 65.19 %
Epoch 9, Train Accuracy: 67.62 %, Test Accuracy: 67.03 %
Epoch 10, Train Accuracy: 70.70 %, Test Accuracy: 70.60 %
Epoch 11, Train Accuracy: 72.73 %, Test Accuracy: 74.21 %
Epoch 12, Train Accuracy: 75.30 %, Test Accuracy: 74.71 %
Epoch 13, Train Accuracy: 77.32 %, Test Accuracy: 77.19 %
Epoch 14, Train Accuracy: 78.31 %, Test Accuracy: 78.05 %
Epoch 15, Train Accuracy: 80.39 %, Test Accuracy: 79.69 %
Epoch 16, Train Accuracy: 81.42 %, Test Accuracy: 79.16 %
Epoch 17, Train Accuracy: 82.69 %, Test Accuracy: 81.04 %
Epoch 18, Train Accuracy: 83.64 %, Test Accuracy: 81.82 %
Epoch 19, Train Accuracy: 84.13 %, Test Accuracy: 83.53 %
Epoch 20, Train Accuracy: 85.05 %, Test Accuracy: 83.14 %
Epoch 21, Train Accuracy: 85.80 %, Test Accuracy: 82.52 %
Epoch 22, Train Accuracy: 86.70 %, Test Accuracy: 81.42 %
Epoch 23, Train Accuracy: 86.93 %, Test Accuracy: 83.82 %
Epoch 24, Train Accuracy: 87.28 %, Test Accuracy: 84.36 %
Epoch 25, Train Accuracy: 87.73 %, Test Accuracy: 85.32 %
Epoch 26, Train Accuracy: 88.36 %, Test Accuracy: 85.50 %
Epoch 27, Train Accuracy: 88.86 %, Test Accuracy: 86.16 %
Epoch 28, Train Accuracy: 88.95 %, Test Accuracy: 85.96 %
Epoch 29, Train Accuracy: 89.38 %, Test Accuracy: 86.11 %
Epoch 30, Train Accuracy: 89.62 %, Test Accuracy: 87.54 %
Epoch 31, Train Accuracy: 90.06 %, Test Accuracy: 87.24 %
Epoch 32, Train Accuracy: 91.21 %, Test Accuracy: 87.10 %
Epoch 33, Train Accuracy: 90.77 %, Test Accuracy: 87.12 %
Epoch 34, Train Accuracy: 90.73 %, Test Accuracy: 87.28 %
Epoch 35, Train Accuracy: 91.43 %, Test Accuracy: 87.81 %
Epoch 36, Train Accuracy: 91.37 %, Test Accuracy: 89.04 %
Epoch 37, Train Accuracy: 91.51 %, Test Accuracy: 86.38 %
Epoch 38, Train Accuracy: 92.31 %, Test Accuracy: 88.66 %
