NODE=[HOST_2f2f29d9e1] | JOB=g4m-r0-m3e2-s1 4885909
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-2 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/g4m --run-name g4m-r0-m3e2-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/g4m/probe_0_3e2_g4m_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 15.69 %, Test Accuracy: 32.21 %
Epoch 1, Train Accuracy: 40.70 %, Test Accuracy: 48.76 %
Epoch 2, Train Accuracy: 51.20 %, Test Accuracy: 54.86 %
Epoch 3, Train Accuracy: 61.02 %, Test Accuracy: 56.80 %
Epoch 4, Train Accuracy: 63.23 %, Test Accuracy: 58.96 %
Epoch 5, Train Accuracy: 62.27 %, Test Accuracy: 63.85 %
Epoch 6, Train Accuracy: 71.62 %, Test Accuracy: 76.58 %
Epoch 7, Train Accuracy: 78.14 %, Test Accuracy: 79.68 %
Epoch 8, Train Accuracy: 81.13 %, Test Accuracy: 83.86 %
Epoch 9, Train Accuracy: 83.75 %, Test Accuracy: 84.68 %
Epoch 10, Train Accuracy: 84.90 %, Test Accuracy: 85.30 %
Epoch 11, Train Accuracy: 85.79 %, Test Accuracy: 85.78 %
Epoch 12, Train Accuracy: 86.19 %, Test Accuracy: 86.27 %
Epoch 13, Train Accuracy: 86.84 %, Test Accuracy: 86.20 %
Epoch 14, Train Accuracy: 87.02 %, Test Accuracy: 86.57 %
Epoch 15, Train Accuracy: 87.70 %, Test Accuracy: 86.81 %
Epoch 16, Train Accuracy: 87.79 %, Test Accuracy: 87.30 %
Epoch 17, Train Accuracy: 88.24 %, Test Accuracy: 86.13 %
Epoch 18, Train Accuracy: 88.66 %, Test Accuracy: 86.92 %
Epoch 19, Train Accuracy: 88.89 %, Test Accuracy: 87.56 %
Epoch 20, Train Accuracy: 89.26 %, Test Accuracy: 87.91 %
Epoch 21, Train Accuracy: 89.49 %, Test Accuracy: 88.17 %
Epoch 22, Train Accuracy: 89.56 %, Test Accuracy: 88.15 %
Epoch 23, Train Accuracy: 90.02 %, Test Accuracy: 87.68 %
Epoch 24, Train Accuracy: 90.20 %, Test Accuracy: 88.23 %
Epoch 25, Train Accuracy: 90.51 %, Test Accuracy: 88.32 %
Epoch 26, Train Accuracy: 90.73 %, Test Accuracy: 88.46 %
Epoch 27, Train Accuracy: 90.79 %, Test Accuracy: 88.84 %
Epoch 28, Train Accuracy: 91.01 %, Test Accuracy: 88.79 %
Epoch 29, Train Accuracy: 91.38 %, Test Accuracy: 88.52 %
Epoch 30, Train Accuracy: 91.60 %, Test Accuracy: 88.93 %
Epoch 31, Train Accuracy: 91.58 %, Test Accuracy: 89.06 %
Epoch 32, Train Accuracy: 91.72 %, Test Accuracy: 89.23 %
Epoch 33, Train Accuracy: 92.03 %, Test Accuracy: 89.15 %
Epoch 34, Train Accuracy: 92.00 %, Test Accuracy: 89.16 %
Epoch 35, Train Accuracy: 92.54 %, Test Accuracy: 88.80 %
Epoch 36, Train Accuracy: 92.32 %, Test Accuracy: 88.97 %
Epoch 37, Train Accuracy: 92.49 %, Test Accuracy: 88.96 %
Epoch 38, Train Accuracy: 92.54 %, Test Accuracy: 89.49 %
Epoch 39, Train Accuracy: 92.80 %, Test Accuracy: 89.20 %
Epoch 40, Train Accuracy: 92.76 %, Test Accuracy: 89.27 %
Epoch 41, Train Accuracy: 93.13 %, Test Accuracy: 89.63 %
Epoch 42, Train Accuracy: 93.18 %, Test Accuracy: 89.73 %
Epoch 43, Train Accuracy: 93.15 %, Test Accuracy: 89.54 %
Epoch 44, Train Accuracy: 93.19 %, Test Accuracy: 89.66 %
Epoch 45, Train Accuracy: 93.17 %, Test Accuracy: 89.47 %
Epoch 46, Train Accuracy: 93.61 %, Test Accuracy: 89.22 %
Epoch 47, Train Accuracy: 93.61 %, Test Accuracy: 89.54 %
Epoch 48, Train Accuracy: 93.72 %, Test Accuracy: 90.03 %
Epoch 49, Train Accuracy: 93.70 %, Test Accuracy: 89.97 %
Epoch 50, Train Accuracy: 93.90 %, Test Accuracy: 89.59 %
Epoch 51, Train Accuracy: 93.97 %, Test Accuracy: 89.84 %
Epoch 52, Train Accuracy: 94.07 %, Test Accuracy: 89.29 %
Epoch 53, Train Accuracy: 94.16 %, Test Accuracy: 90.20 %
Epoch 54, Train Accuracy: 94.10 %, Test Accuracy: 90.01 %
Epoch 55, Train Accuracy: 94.43 %, Test Accuracy: 89.49 %
Epoch 56, Train Accuracy: 94.25 %, Test Accuracy: 89.51 %
Epoch 57, Train Accuracy: 94.63 %, Test Accuracy: 90.10 %
Epoch 58, Train Accuracy: 94.43 %, Test Accuracy: 90.06 %
Epoch 59, Train Accuracy: 94.56 %, Test Accuracy: 89.67 %
Epoch 60, Train Accuracy: 94.65 %, Test Accuracy: 90.37 %
Epoch 61, Train Accuracy: 94.57 %, Test Accuracy: 90.13 %
Epoch 62, Train Accuracy: 94.86 %, Test Accuracy: 89.69 %
Epoch 63, Train Accuracy: 94.56 %, Test Accuracy: 90.24 %
Epoch 64, Train Accuracy: 94.88 %, Test Accuracy: 89.33 %
Epoch 65, Train Accuracy: 94.98 %, Test Accuracy: 90.48 %
Epoch 66, Train Accuracy: 95.04 %, Test Accuracy: 90.48 %
Epoch 67, Train Accuracy: 94.97 %, Test Accuracy: 90.42 %
Epoch 68, Train Accuracy: 95.16 %, Test Accuracy: 90.12 %
Epoch 69, Train Accuracy: 95.22 %, Test Accuracy: 90.25 %
Epoch 70, Train Accuracy: 95.35 %, Test Accuracy: 90.26 %
Epoch 71, Train Accuracy: 95.19 %, Test Accuracy: 90.21 %
Epoch 72, Train Accuracy: 95.43 %, Test Accuracy: 89.99 %
Epoch 73, Train Accuracy: 95.37 %, Test Accuracy: 89.98 %
Epoch 74, Train Accuracy: 95.34 %, Test Accuracy: 90.00 %
Epoch 75, Train Accuracy: 95.29 %, Test Accuracy: 90.25 %
Epoch 76, Train Accuracy: 95.48 %, Test Accuracy: 89.98 %
