NODE=[HOST_e8d809bd94] | JOB=g4m-r006-m3e3-s1 4885913
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/g4m --run-name g4m-r006-m3e3-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/g4m/probe_006_3e3_g4m_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.66 %, Test Accuracy: 9.83 %
Epoch 1, Train Accuracy: 9.50 %, Test Accuracy: 9.86 %
Epoch 2, Train Accuracy: 10.39 %, Test Accuracy: 12.07 %
Epoch 3, Train Accuracy: 16.37 %, Test Accuracy: 21.28 %
Epoch 4, Train Accuracy: 22.88 %, Test Accuracy: 26.25 %
Epoch 5, Train Accuracy: 31.23 %, Test Accuracy: 36.94 %
Epoch 6, Train Accuracy: 41.54 %, Test Accuracy: 47.75 %
Epoch 7, Train Accuracy: 50.45 %, Test Accuracy: 52.72 %
Epoch 8, Train Accuracy: 58.16 %, Test Accuracy: 62.81 %
Epoch 9, Train Accuracy: 66.64 %, Test Accuracy: 69.59 %
Epoch 10, Train Accuracy: 71.43 %, Test Accuracy: 71.08 %
Epoch 11, Train Accuracy: 76.10 %, Test Accuracy: 75.67 %
Epoch 12, Train Accuracy: 79.06 %, Test Accuracy: 77.50 %
Epoch 13, Train Accuracy: 80.78 %, Test Accuracy: 79.64 %
Epoch 14, Train Accuracy: 82.76 %, Test Accuracy: 82.60 %
Epoch 15, Train Accuracy: 85.08 %, Test Accuracy: 83.92 %
Epoch 16, Train Accuracy: 86.35 %, Test Accuracy: 85.04 %
Epoch 17, Train Accuracy: 87.82 %, Test Accuracy: 85.78 %
Epoch 18, Train Accuracy: 88.36 %, Test Accuracy: 85.73 %
Epoch 19, Train Accuracy: 89.95 %, Test Accuracy: 87.48 %
Epoch 20, Train Accuracy: 90.85 %, Test Accuracy: 87.99 %
Epoch 21, Train Accuracy: 91.63 %, Test Accuracy: 89.19 %
Epoch 22, Train Accuracy: 92.24 %, Test Accuracy: 89.02 %
Epoch 23, Train Accuracy: 92.89 %, Test Accuracy: 89.24 %
Epoch 24, Train Accuracy: 93.48 %, Test Accuracy: 89.28 %
Epoch 25, Train Accuracy: 94.02 %, Test Accuracy: 89.90 %
Epoch 26, Train Accuracy: 94.55 %, Test Accuracy: 89.57 %
Epoch 27, Train Accuracy: 94.74 %, Test Accuracy: 89.96 %
Epoch 28, Train Accuracy: 95.29 %, Test Accuracy: 90.80 %
Epoch 29, Train Accuracy: 95.42 %, Test Accuracy: 90.33 %
Epoch 30, Train Accuracy: 96.02 %, Test Accuracy: 90.66 %
Epoch 31, Train Accuracy: 96.11 %, Test Accuracy: 91.01 %
Epoch 32, Train Accuracy: 96.50 %, Test Accuracy: 91.36 %
Epoch 33, Train Accuracy: 97.04 %, Test Accuracy: 90.95 %
Epoch 34, Train Accuracy: 96.86 %, Test Accuracy: 90.79 %
Epoch 35, Train Accuracy: 97.44 %, Test Accuracy: 90.89 %
Epoch 36, Train Accuracy: 97.47 %, Test Accuracy: 90.49 %
Epoch 37, Train Accuracy: 97.86 %, Test Accuracy: 90.78 %
Epoch 38, Train Accuracy: 97.79 %, Test Accuracy: 90.60 %
Epoch 39, Train Accuracy: 97.90 %, Test Accuracy: 91.14 %
Epoch 40, Train Accuracy: 97.98 %, Test Accuracy: 91.13 %
Epoch 41, Train Accuracy: 98.02 %, Test Accuracy: 91.61 %
Epoch 42, Train Accuracy: 98.25 %, Test Accuracy: 91.61 %
Epoch 43, Train Accuracy: 98.47 %, Test Accuracy: 91.54 %
Epoch 44, Train Accuracy: 98.52 %, Test Accuracy: 91.74 %
Epoch 45, Train Accuracy: 98.57 %, Test Accuracy: 91.79 %
Epoch 46, Train Accuracy: 98.68 %, Test Accuracy: 91.28 %
Epoch 47, Train Accuracy: 98.76 %, Test Accuracy: 91.80 %
Epoch 48, Train Accuracy: 98.78 %, Test Accuracy: 90.81 %
Epoch 49, Train Accuracy: 98.89 %, Test Accuracy: 91.72 %
Epoch 50, Train Accuracy: 99.09 %, Test Accuracy: 91.66 %
Epoch 51, Train Accuracy: 98.91 %, Test Accuracy: 91.09 %
Epoch 52, Train Accuracy: 99.08 %, Test Accuracy: 91.72 %
Epoch 53, Train Accuracy: 98.98 %, Test Accuracy: 91.47 %
Epoch 54, Train Accuracy: 99.23 %, Test Accuracy: 91.59 %
Epoch 55, Train Accuracy: 99.18 %, Test Accuracy: 92.01 %
Epoch 56, Train Accuracy: 99.28 %, Test Accuracy: 91.94 %
Epoch 57, Train Accuracy: 99.33 %, Test Accuracy: 91.79 %
Epoch 58, Train Accuracy: 99.19 %, Test Accuracy: 91.84 %
Epoch 59, Train Accuracy: 99.35 %, Test Accuracy: 91.73 %
Epoch 60, Train Accuracy: 99.39 %, Test Accuracy: 92.13 %
Epoch 61, Train Accuracy: 99.37 %, Test Accuracy: 91.50 %
Epoch 62, Train Accuracy: 99.38 %, Test Accuracy: 91.76 %
Epoch 63, Train Accuracy: 99.43 %, Test Accuracy: 91.15 %
Epoch 64, Train Accuracy: 99.38 %, Test Accuracy: 91.88 %
Epoch 65, Train Accuracy: 99.39 %, Test Accuracy: 91.67 %
Epoch 66, Train Accuracy: 99.35 %, Test Accuracy: 92.16 %
Epoch 67, Train Accuracy: 99.46 %, Test Accuracy: 91.95 %
Epoch 68, Train Accuracy: 99.38 %, Test Accuracy: 91.53 %
Epoch 69, Train Accuracy: 99.43 %, Test Accuracy: 91.91 %
Epoch 70, Train Accuracy: 99.51 %, Test Accuracy: 91.59 %
Epoch 71, Train Accuracy: 99.41 %, Test Accuracy: 91.82 %
Epoch 72, Train Accuracy: 99.42 %, Test Accuracy: 91.98 %
Epoch 73, Train Accuracy: 99.49 %, Test Accuracy: 91.93 %
Epoch 74, Train Accuracy: 99.54 %, Test Accuracy: 91.78 %
Epoch 75, Train Accuracy: 99.55 %, Test Accuracy: 91.59 %
Epoch 76, Train Accuracy: 99.46 %, Test Accuracy: 92.07 %
Epoch 77, Train Accuracy: 99.51 %, Test Accuracy: 91.17 %
Epoch 78, Train Accuracy: 99.45 %, Test Accuracy: 91.64 %
Epoch 79, Train Accuracy: 99.49 %, Test Accuracy: 91.76 %
Epoch 80, Train Accuracy: 99.63 %, Test Accuracy: 92.05 %
Epoch 81, Train Accuracy: 99.70 %, Test Accuracy: 92.35 %
Epoch 82, Train Accuracy: 99.66 %, Test Accuracy: 92.22 %
Epoch 83, Train Accuracy: 99.62 %, Test Accuracy: 91.87 %
Epoch 84, Train Accuracy: 99.65 %, Test Accuracy: 91.95 %
Epoch 85, Train Accuracy: 99.72 %, Test Accuracy: 91.83 %
Epoch 86, Train Accuracy: 99.75 %, Test Accuracy: 92.01 %
Epoch 87, Train Accuracy: 99.75 %, Test Accuracy: 92.19 %
Epoch 88, Train Accuracy: 99.74 %, Test Accuracy: 91.94 %
Epoch 89, Train Accuracy: 99.71 %, Test Accuracy: 91.62 %
Epoch 90, Train Accuracy: 99.65 %, Test Accuracy: 91.96 %
Epoch 91, Train Accuracy: 99.74 %, Test Accuracy: 92.07 %
Epoch 92, Train Accuracy: 99.71 %, Test Accuracy: 91.82 %
Epoch 93, Train Accuracy: 99.76 %, Test Accuracy: 92.03 %
Epoch 94, Train Accuracy: 99.77 %, Test Accuracy: 92.05 %
Epoch 95, Train Accuracy: 99.68 %, Test Accuracy: 92.22 %
Epoch 96, Train Accuracy: 99.68 %, Test Accuracy: 91.90 %
Epoch 97, Train Accuracy: 99.72 %, Test Accuracy: 91.99 %
Epoch 98, Train Accuracy: 99.72 %, Test Accuracy: 91.86 %
Epoch 99, Train Accuracy: 99.72 %, Test Accuracy: 91.80 %
34  minutes
RUN_DONE
