NODE=[HOST_e223b82d71] | JOB=g4m-r02-m1e3-s2 4885942
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account1/metaopt/runs/g4m --run-name g4m-r02-m1e3-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.2 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/g4m/probe_02_1e3_g4m_s2
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.03 %, Test Accuracy: 10.17 %
Epoch 1, Train Accuracy: 9.98 %, Test Accuracy: 10.23 %
Epoch 2, Train Accuracy: 10.10 %, Test Accuracy: 10.29 %
Epoch 3, Train Accuracy: 10.07 %, Test Accuracy: 10.55 %
Epoch 4, Train Accuracy: 10.62 %, Test Accuracy: 10.63 %
Epoch 5, Train Accuracy: 11.07 %, Test Accuracy: 11.28 %
Epoch 6, Train Accuracy: 12.51 %, Test Accuracy: 12.83 %
Epoch 7, Train Accuracy: 14.44 %, Test Accuracy: 15.35 %
Epoch 8, Train Accuracy: 16.42 %, Test Accuracy: 17.53 %
Epoch 9, Train Accuracy: 19.22 %, Test Accuracy: 20.62 %
Epoch 10, Train Accuracy: 22.27 %, Test Accuracy: 23.04 %
Epoch 11, Train Accuracy: 24.80 %, Test Accuracy: 25.92 %
Epoch 12, Train Accuracy: 28.08 %, Test Accuracy: 29.86 %
Epoch 13, Train Accuracy: 31.97 %, Test Accuracy: 34.38 %
Epoch 14, Train Accuracy: 35.85 %, Test Accuracy: 38.59 %
Epoch 15, Train Accuracy: 39.50 %, Test Accuracy: 42.29 %
Epoch 16, Train Accuracy: 43.46 %, Test Accuracy: 46.23 %
Epoch 17, Train Accuracy: 48.46 %, Test Accuracy: 51.03 %
Epoch 18, Train Accuracy: 52.31 %, Test Accuracy: 54.85 %
Epoch 19, Train Accuracy: 57.89 %, Test Accuracy: 60.55 %
Epoch 20, Train Accuracy: 62.32 %, Test Accuracy: 63.95 %
Epoch 21, Train Accuracy: 67.03 %, Test Accuracy: 69.08 %
Epoch 22, Train Accuracy: 70.86 %, Test Accuracy: 71.71 %
Epoch 23, Train Accuracy: 74.82 %, Test Accuracy: 74.37 %
Epoch 24, Train Accuracy: 77.72 %, Test Accuracy: 77.77 %
Epoch 25, Train Accuracy: 79.68 %, Test Accuracy: 79.66 %
Epoch 26, Train Accuracy: 81.65 %, Test Accuracy: 81.14 %
Epoch 27, Train Accuracy: 83.39 %, Test Accuracy: 79.48 %
Epoch 28, Train Accuracy: 84.83 %, Test Accuracy: 84.60 %
Epoch 29, Train Accuracy: 86.01 %, Test Accuracy: 83.89 %
Epoch 30, Train Accuracy: 87.14 %, Test Accuracy: 83.64 %
Epoch 31, Train Accuracy: 88.18 %, Test Accuracy: 86.30 %
Epoch 32, Train Accuracy: 89.24 %, Test Accuracy: 86.15 %
