NODE=[HOST_b0a55dfb8c] | JOB=g4m-r02-m3e3-s1 4885919
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/g4m --run-name g4m-r02-m3e3-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.2 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/g4m/probe_02_3e3_g4m_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.66 %, Test Accuracy: 9.84 %
Epoch 1, Train Accuracy: 9.52 %, Test Accuracy: 9.85 %
Epoch 2, Train Accuracy: 10.54 %, Test Accuracy: 12.49 %
Epoch 3, Train Accuracy: 16.88 %, Test Accuracy: 21.43 %
Epoch 4, Train Accuracy: 23.47 %, Test Accuracy: 27.19 %
Epoch 5, Train Accuracy: 32.44 %, Test Accuracy: 38.64 %
Epoch 6, Train Accuracy: 43.13 %, Test Accuracy: 50.30 %
Epoch 7, Train Accuracy: 52.77 %, Test Accuracy: 57.23 %
Epoch 8, Train Accuracy: 61.71 %, Test Accuracy: 66.60 %
Epoch 9, Train Accuracy: 69.05 %, Test Accuracy: 69.41 %
Epoch 10, Train Accuracy: 73.62 %, Test Accuracy: 75.58 %
Epoch 11, Train Accuracy: 77.09 %, Test Accuracy: 77.93 %
Epoch 12, Train Accuracy: 79.65 %, Test Accuracy: 80.16 %
Epoch 13, Train Accuracy: 81.76 %, Test Accuracy: 81.44 %
Epoch 14, Train Accuracy: 83.45 %, Test Accuracy: 81.63 %
Epoch 15, Train Accuracy: 84.81 %, Test Accuracy: 84.01 %
Epoch 16, Train Accuracy: 86.01 %, Test Accuracy: 83.44 %
Epoch 17, Train Accuracy: 87.46 %, Test Accuracy: 85.11 %
Epoch 18, Train Accuracy: 87.79 %, Test Accuracy: 84.72 %
