NODE=[HOST_e8d809bd94] | JOB=g4m-r1-m1e2-s2 4885950
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-2 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account1/metaopt/runs/g4m --run-name g4m-r1-m1e2-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=1 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/g4m/probe_1_1e2_g4m_s2
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.15 %, Test Accuracy: 11.53 %
Epoch 1, Train Accuracy: 23.51 %, Test Accuracy: 38.71 %
Epoch 2, Train Accuracy: 46.48 %, Test Accuracy: 53.49 %
Epoch 3, Train Accuracy: 57.27 %, Test Accuracy: 61.08 %
Epoch 4, Train Accuracy: 63.76 %, Test Accuracy: 66.85 %
Epoch 5, Train Accuracy: 68.34 %, Test Accuracy: 68.86 %
Epoch 6, Train Accuracy: 72.55 %, Test Accuracy: 75.58 %
Epoch 7, Train Accuracy: 75.91 %, Test Accuracy: 77.42 %
Epoch 8, Train Accuracy: 78.78 %, Test Accuracy: 78.69 %
Epoch 9, Train Accuracy: 80.83 %, Test Accuracy: 81.33 %
Epoch 10, Train Accuracy: 82.15 %, Test Accuracy: 81.89 %
Epoch 11, Train Accuracy: 83.82 %, Test Accuracy: 81.60 %
Epoch 12, Train Accuracy: 85.41 %, Test Accuracy: 83.79 %
Epoch 13, Train Accuracy: 86.18 %, Test Accuracy: 84.90 %
Epoch 14, Train Accuracy: 87.19 %, Test Accuracy: 85.00 %
Epoch 15, Train Accuracy: 88.15 %, Test Accuracy: 86.13 %
Epoch 16, Train Accuracy: 88.53 %, Test Accuracy: 86.09 %
Epoch 17, Train Accuracy: 89.43 %, Test Accuracy: 85.63 %
Epoch 18, Train Accuracy: 90.17 %, Test Accuracy: 85.86 %
Epoch 19, Train Accuracy: 90.59 %, Test Accuracy: 86.59 %
Epoch 20, Train Accuracy: 91.30 %, Test Accuracy: 86.92 %
Epoch 21, Train Accuracy: 91.69 %, Test Accuracy: 86.67 %
Epoch 22, Train Accuracy: 92.44 %, Test Accuracy: 86.26 %
Epoch 23, Train Accuracy: 92.67 %, Test Accuracy: 87.91 %
Epoch 24, Train Accuracy: 93.10 %, Test Accuracy: 87.27 %
Epoch 25, Train Accuracy: 93.42 %, Test Accuracy: 87.75 %
Epoch 26, Train Accuracy: 93.35 %, Test Accuracy: 88.43 %
Epoch 27, Train Accuracy: 94.39 %, Test Accuracy: 88.15 %
Epoch 28, Train Accuracy: 94.59 %, Test Accuracy: 88.29 %
Epoch 29, Train Accuracy: 95.12 %, Test Accuracy: 87.40 %
Epoch 30, Train Accuracy: 95.03 %, Test Accuracy: 89.43 %
Epoch 31, Train Accuracy: 95.74 %, Test Accuracy: 89.03 %
Epoch 32, Train Accuracy: 95.55 %, Test Accuracy: 89.44 %
Epoch 33, Train Accuracy: 95.90 %, Test Accuracy: 89.09 %
Epoch 34, Train Accuracy: 95.94 %, Test Accuracy: 89.09 %
Epoch 35, Train Accuracy: 96.55 %, Test Accuracy: 88.77 %
Epoch 36, Train Accuracy: 96.54 %, Test Accuracy: 89.49 %
Epoch 37, Train Accuracy: 97.03 %, Test Accuracy: 89.01 %
Epoch 38, Train Accuracy: 96.86 %, Test Accuracy: 89.62 %
Epoch 39, Train Accuracy: 97.27 %, Test Accuracy: 88.64 %
Epoch 40, Train Accuracy: 97.25 %, Test Accuracy: 88.89 %
Epoch 41, Train Accuracy: 97.32 %, Test Accuracy: 89.22 %
Epoch 42, Train Accuracy: 97.55 %, Test Accuracy: 89.42 %
Epoch 43, Train Accuracy: 97.68 %, Test Accuracy: 89.80 %
Epoch 44, Train Accuracy: 97.89 %, Test Accuracy: 89.17 %
Epoch 45, Train Accuracy: 98.07 %, Test Accuracy: 89.15 %
Epoch 46, Train Accuracy: 97.87 %, Test Accuracy: 89.57 %
Epoch 47, Train Accuracy: 98.13 %, Test Accuracy: 89.42 %
Epoch 48, Train Accuracy: 98.34 %, Test Accuracy: 89.39 %
Epoch 49, Train Accuracy: 98.41 %, Test Accuracy: 89.53 %
Epoch 50, Train Accuracy: 98.04 %, Test Accuracy: 89.92 %
Epoch 51, Train Accuracy: 98.59 %, Test Accuracy: 89.79 %
Epoch 52, Train Accuracy: 98.52 %, Test Accuracy: 90.11 %
Epoch 53, Train Accuracy: 98.48 %, Test Accuracy: 89.80 %
Epoch 54, Train Accuracy: 98.86 %, Test Accuracy: 89.59 %
Epoch 55, Train Accuracy: 98.79 %, Test Accuracy: 89.98 %
Epoch 56, Train Accuracy: 98.86 %, Test Accuracy: 89.70 %
Epoch 57, Train Accuracy: 98.61 %, Test Accuracy: 89.90 %
Epoch 58, Train Accuracy: 98.85 %, Test Accuracy: 89.50 %
Epoch 59, Train Accuracy: 99.04 %, Test Accuracy: 90.39 %
Epoch 60, Train Accuracy: 99.11 %, Test Accuracy: 90.04 %
Epoch 61, Train Accuracy: 99.11 %, Test Accuracy: 89.87 %
Epoch 62, Train Accuracy: 99.02 %, Test Accuracy: 90.26 %
Epoch 63, Train Accuracy: 99.12 %, Test Accuracy: 90.69 %
Epoch 64, Train Accuracy: 99.14 %, Test Accuracy: 90.29 %
Epoch 65, Train Accuracy: 99.14 %, Test Accuracy: 90.45 %
Epoch 66, Train Accuracy: 99.23 %, Test Accuracy: 90.52 %
Epoch 67, Train Accuracy: 99.38 %, Test Accuracy: 89.70 %
Epoch 68, Train Accuracy: 99.13 %, Test Accuracy: 90.09 %
Epoch 69, Train Accuracy: 99.26 %, Test Accuracy: 90.31 %
Epoch 70, Train Accuracy: 99.46 %, Test Accuracy: 90.44 %
Epoch 71, Train Accuracy: 99.35 %, Test Accuracy: 90.16 %
Epoch 72, Train Accuracy: 99.47 %, Test Accuracy: 90.49 %
Epoch 73, Train Accuracy: 99.39 %, Test Accuracy: 90.38 %
Epoch 74, Train Accuracy: 99.40 %, Test Accuracy: 90.25 %
Epoch 75, Train Accuracy: 99.41 %, Test Accuracy: 90.64 %
Epoch 76, Train Accuracy: 99.56 %, Test Accuracy: 90.46 %
Epoch 77, Train Accuracy: 99.41 %, Test Accuracy: 90.33 %
Epoch 78, Train Accuracy: 99.51 %, Test Accuracy: 90.50 %
Epoch 79, Train Accuracy: 99.59 %, Test Accuracy: 90.57 %
Epoch 80, Train Accuracy: 99.46 %, Test Accuracy: 90.42 %
Epoch 81, Train Accuracy: 99.51 %, Test Accuracy: 90.34 %
Epoch 82, Train Accuracy: 99.51 %, Test Accuracy: 90.52 %
Epoch 83, Train Accuracy: 99.64 %, Test Accuracy: 90.28 %
Epoch 84, Train Accuracy: 99.49 %, Test Accuracy: 90.39 %
Epoch 85, Train Accuracy: 99.65 %, Test Accuracy: 90.47 %
Epoch 86, Train Accuracy: 99.61 %, Test Accuracy: 90.81 %
Epoch 87, Train Accuracy: 99.51 %, Test Accuracy: 90.21 %
Epoch 88, Train Accuracy: 99.61 %, Test Accuracy: 90.48 %
Epoch 89, Train Accuracy: 99.52 %, Test Accuracy: 90.55 %
Epoch 90, Train Accuracy: 99.60 %, Test Accuracy: 90.25 %
Epoch 91, Train Accuracy: 99.54 %, Test Accuracy: 90.24 %
Epoch 92, Train Accuracy: 99.67 %, Test Accuracy: 90.25 %
Epoch 93, Train Accuracy: 99.45 %, Test Accuracy: 91.01 %
Epoch 94, Train Accuracy: 99.71 %, Test Accuracy: 90.15 %
Epoch 95, Train Accuracy: 99.58 %, Test Accuracy: 90.75 %
Epoch 96, Train Accuracy: 99.78 %, Test Accuracy: 90.74 %
Epoch 97, Train Accuracy: 99.73 %, Test Accuracy: 90.79 %
Epoch 98, Train Accuracy: 99.62 %, Test Accuracy: 90.61 %
Epoch 99, Train Accuracy: 99.80 %, Test Accuracy: 90.52 %
34  minutes
RUN_DONE
