NODE=[HOST_f0845cc956] | JOB=g4m-r1-m1e4-s1 4885922
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/g4m --run-name g4m-r1-m1e4-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=1 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/g4m/probe_1_1e4_g4m_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.66 %, Test Accuracy: 9.81 %
Epoch 1, Train Accuracy: 9.53 %, Test Accuracy: 9.80 %
Epoch 2, Train Accuracy: 9.49 %, Test Accuracy: 9.76 %
Epoch 3, Train Accuracy: 9.68 %, Test Accuracy: 9.78 %
Epoch 4, Train Accuracy: 9.64 %, Test Accuracy: 9.83 %
Epoch 5, Train Accuracy: 9.59 %, Test Accuracy: 9.85 %
Epoch 6, Train Accuracy: 9.60 %, Test Accuracy: 9.83 %
Epoch 7, Train Accuracy: 9.53 %, Test Accuracy: 9.84 %
Epoch 8, Train Accuracy: 9.63 %, Test Accuracy: 9.86 %
Epoch 9, Train Accuracy: 9.58 %, Test Accuracy: 9.84 %
Epoch 10, Train Accuracy: 9.74 %, Test Accuracy: 9.81 %
Epoch 11, Train Accuracy: 9.92 %, Test Accuracy: 10.04 %
Epoch 12, Train Accuracy: 10.07 %, Test Accuracy: 10.01 %
Epoch 13, Train Accuracy: 10.11 %, Test Accuracy: 10.18 %
Epoch 14, Train Accuracy: 10.37 %, Test Accuracy: 10.24 %
Epoch 15, Train Accuracy: 10.51 %, Test Accuracy: 10.51 %
Epoch 16, Train Accuracy: 10.88 %, Test Accuracy: 10.81 %
Epoch 17, Train Accuracy: 10.99 %, Test Accuracy: 10.94 %
Epoch 18, Train Accuracy: 11.40 %, Test Accuracy: 11.20 %
Epoch 19, Train Accuracy: 11.65 %, Test Accuracy: 11.46 %
Epoch 20, Train Accuracy: 11.90 %, Test Accuracy: 11.75 %
Epoch 21, Train Accuracy: 12.41 %, Test Accuracy: 12.20 %
Epoch 22, Train Accuracy: 12.56 %, Test Accuracy: 12.70 %
Epoch 23, Train Accuracy: 13.10 %, Test Accuracy: 13.21 %
Epoch 24, Train Accuracy: 13.52 %, Test Accuracy: 13.46 %
Epoch 25, Train Accuracy: 14.09 %, Test Accuracy: 14.03 %
Epoch 26, Train Accuracy: 14.36 %, Test Accuracy: 14.60 %
Epoch 27, Train Accuracy: 14.67 %, Test Accuracy: 15.15 %
Epoch 28, Train Accuracy: 15.29 %, Test Accuracy: 15.45 %
Epoch 29, Train Accuracy: 15.67 %, Test Accuracy: 16.11 %
Epoch 30, Train Accuracy: 16.08 %, Test Accuracy: 16.68 %
Epoch 31, Train Accuracy: 16.44 %, Test Accuracy: 17.21 %
Epoch 32, Train Accuracy: 17.26 %, Test Accuracy: 17.91 %
Epoch 33, Train Accuracy: 17.22 %, Test Accuracy: 18.55 %
Epoch 34, Train Accuracy: 18.07 %, Test Accuracy: 19.22 %
Epoch 35, Train Accuracy: 18.05 %, Test Accuracy: 19.66 %
Epoch 36, Train Accuracy: 18.63 %, Test Accuracy: 19.91 %
Epoch 37, Train Accuracy: 19.44 %, Test Accuracy: 20.48 %
Epoch 38, Train Accuracy: 19.47 %, Test Accuracy: 20.83 %
Epoch 39, Train Accuracy: 19.76 %, Test Accuracy: 20.99 %
Epoch 40, Train Accuracy: 20.11 %, Test Accuracy: 21.47 %
Epoch 41, Train Accuracy: 20.32 %, Test Accuracy: 21.33 %
Epoch 42, Train Accuracy: 20.98 %, Test Accuracy: 21.61 %
Epoch 43, Train Accuracy: 21.07 %, Test Accuracy: 21.80 %
Epoch 44, Train Accuracy: 21.37 %, Test Accuracy: 22.04 %
Epoch 45, Train Accuracy: 21.71 %, Test Accuracy: 22.11 %
Epoch 46, Train Accuracy: 21.82 %, Test Accuracy: 22.64 %
Epoch 47, Train Accuracy: 21.99 %, Test Accuracy: 22.81 %
Epoch 48, Train Accuracy: 22.76 %, Test Accuracy: 23.05 %
Epoch 49, Train Accuracy: 22.67 %, Test Accuracy: 23.29 %
Epoch 50, Train Accuracy: 23.11 %, Test Accuracy: 23.57 %
Epoch 51, Train Accuracy: 23.28 %, Test Accuracy: 23.95 %
Epoch 52, Train Accuracy: 23.47 %, Test Accuracy: 24.11 %
Epoch 53, Train Accuracy: 24.11 %, Test Accuracy: 24.60 %
Epoch 54, Train Accuracy: 24.21 %, Test Accuracy: 24.59 %
Epoch 55, Train Accuracy: 24.71 %, Test Accuracy: 24.81 %
Epoch 56, Train Accuracy: 24.84 %, Test Accuracy: 25.19 %
Epoch 57, Train Accuracy: 25.11 %, Test Accuracy: 25.64 %
Epoch 58, Train Accuracy: 25.64 %, Test Accuracy: 25.83 %
Epoch 59, Train Accuracy: 25.83 %, Test Accuracy: 25.92 %
Epoch 60, Train Accuracy: 26.43 %, Test Accuracy: 26.13 %
Epoch 61, Train Accuracy: 26.71 %, Test Accuracy: 26.35 %
Epoch 62, Train Accuracy: 27.34 %, Test Accuracy: 27.06 %
Epoch 63, Train Accuracy: 27.43 %, Test Accuracy: 27.21 %
Epoch 64, Train Accuracy: 28.10 %, Test Accuracy: 27.89 %
Epoch 65, Train Accuracy: 28.50 %, Test Accuracy: 28.30 %
Epoch 66, Train Accuracy: 28.75 %, Test Accuracy: 28.66 %
