NODE=[HOST_af5f3a3791] | JOB=g0b-scal-s2 4651337
ARGS: --optimizer HF --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 01:20:00 --save-directory cluster/Account1/metaopt/runs/gate0b --stepsize-groups scalar --seed 2 --run-name gate0b_scal_s2
NVIDIA A100 80GB PCIe, 81920 MiB
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Files already downloaded and verified
Files already downloaded and verified
Epoch 0, Train Accuracy: 40.88 %, Test Accuracy: 51.20 %
Epoch 1, Train Accuracy: 59.12 %, Test Accuracy: 56.53 %
Epoch 2, Train Accuracy: 69.55 %, Test Accuracy: 63.61 %
Epoch 3, Train Accuracy: 79.46 %, Test Accuracy: 62.85 %
Epoch 4, Train Accuracy: 91.55 %, Test Accuracy: 60.06 %
Epoch 5, Train Accuracy: 96.43 %, Test Accuracy: 62.87 %
Epoch 6, Train Accuracy: 98.26 %, Test Accuracy: 64.64 %
Epoch 7, Train Accuracy: 99.17 %, Test Accuracy: 62.70 %
Epoch 8, Train Accuracy: 98.67 %, Test Accuracy: 65.40 %
Epoch 9, Train Accuracy: 99.82 %, Test Accuracy: 66.20 %
Epoch 10, Train Accuracy: 98.88 %, Test Accuracy: 60.82 %
Epoch 11, Train Accuracy: 97.05 %, Test Accuracy: 65.59 %
Epoch 12, Train Accuracy: 99.81 %, Test Accuracy: 67.74 %
Epoch 13, Train Accuracy: 99.98 %, Test Accuracy: 68.05 %
Epoch 14, Train Accuracy: 99.78 %, Test Accuracy: 62.83 %
Epoch 15, Train Accuracy: 98.81 %, Test Accuracy: 66.58 %
Epoch 16, Train Accuracy: 99.88 %, Test Accuracy: 67.37 %
Epoch 17, Train Accuracy: 99.99 %, Test Accuracy: 67.50 %
Epoch 18, Train Accuracy: 99.99 %, Test Accuracy: 67.71 %
Epoch 19, Train Accuracy: 97.19 %, Test Accuracy: 62.00 %
Epoch 20, Train Accuracy: 98.31 %, Test Accuracy: 67.57 %
Epoch 21, Train Accuracy: 99.90 %, Test Accuracy: 68.60 %
Epoch 22, Train Accuracy: 99.98 %, Test Accuracy: 68.81 %
Epoch 23, Train Accuracy: 99.99 %, Test Accuracy: 68.80 %
Epoch 24, Train Accuracy: 99.05 %, Test Accuracy: 62.33 %
Epoch 25, Train Accuracy: 98.55 %, Test Accuracy: 66.87 %
Epoch 26, Train Accuracy: 99.94 %, Test Accuracy: 68.39 %
Epoch 27, Train Accuracy: 99.99 %, Test Accuracy: 68.40 %
Epoch 28, Train Accuracy: 100.00 %, Test Accuracy: 68.40 %
Epoch 29, Train Accuracy: 99.99 %, Test Accuracy: 67.96 %
Epoch 30, Train Accuracy: 99.65 %, Test Accuracy: 67.10 %
Epoch 31, Train Accuracy: 99.93 %, Test Accuracy: 68.15 %
Epoch 32, Train Accuracy: 100.00 %, Test Accuracy: 68.44 %
Epoch 33, Train Accuracy: 99.98 %, Test Accuracy: 68.39 %
Epoch 34, Train Accuracy: 100.00 %, Test Accuracy: 68.72 %
Epoch 35, Train Accuracy: 99.06 %, Test Accuracy: 63.44 %
Epoch 36, Train Accuracy: 99.24 %, Test Accuracy: 68.21 %
Epoch 37, Train Accuracy: 99.97 %, Test Accuracy: 68.65 %
Epoch 38, Train Accuracy: 99.99 %, Test Accuracy: 68.50 %
Epoch 39, Train Accuracy: 99.99 %, Test Accuracy: 68.75 %
Epoch 40, Train Accuracy: 100.00 %, Test Accuracy: 68.75 %
Epoch 41, Train Accuracy: 100.00 %, Test Accuracy: 68.57 %
Epoch 42, Train Accuracy: 99.50 %, Test Accuracy: 66.82 %
Epoch 43, Train Accuracy: 99.84 %, Test Accuracy: 68.37 %
Epoch 44, Train Accuracy: 99.99 %, Test Accuracy: 68.58 %
Epoch 45, Train Accuracy: 99.99 %, Test Accuracy: 68.88 %
Epoch 46, Train Accuracy: 100.00 %, Test Accuracy: 68.63 %
Epoch 47, Train Accuracy: 100.00 %, Test Accuracy: 68.69 %
Epoch 48, Train Accuracy: 99.84 %, Test Accuracy: 66.03 %
Epoch 49, Train Accuracy: 99.88 %, Test Accuracy: 68.71 %
Epoch 50, Train Accuracy: 99.98 %, Test Accuracy: 68.81 %
Epoch 51, Train Accuracy: 100.00 %, Test Accuracy: 68.75 %
Epoch 52, Train Accuracy: 100.00 %, Test Accuracy: 68.86 %
Epoch 53, Train Accuracy: 100.00 %, Test Accuracy: 69.16 %
Epoch 54, Train Accuracy: 100.00 %, Test Accuracy: 68.51 %
Epoch 55, Train Accuracy: 99.12 %, Test Accuracy: 65.80 %
Epoch 56, Train Accuracy: 99.49 %, Test Accuracy: 68.06 %
