NODE=[HOST_2f2f29d9e1] | JOB=g0d-blk6-s2 4653445
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 02:00:00 --save-directory cluster/Account1/metaopt/runs/gate0d --stepsize-groups resnet18_blocks --seed 2 --run-name gate0d_blk6_s2
NVIDIA L4, 23034 MiB
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
Epoch 0, Train Accuracy: 10.03 %, Test Accuracy: 10.17 %
Epoch 1, Train Accuracy: 9.98 %, Test Accuracy: 10.25 %
Epoch 2, Train Accuracy: 10.13 %, Test Accuracy: 10.33 %
Epoch 3, Train Accuracy: 10.12 %, Test Accuracy: 10.56 %
Epoch 4, Train Accuracy: 10.78 %, Test Accuracy: 10.71 %
Epoch 5, Train Accuracy: 11.64 %, Test Accuracy: 11.98 %
Epoch 6, Train Accuracy: 13.59 %, Test Accuracy: 14.33 %
Epoch 7, Train Accuracy: 15.80 %, Test Accuracy: 17.36 %
Epoch 8, Train Accuracy: 18.73 %, Test Accuracy: 20.60 %
Epoch 9, Train Accuracy: 22.30 %, Test Accuracy: 23.34 %
Epoch 10, Train Accuracy: 25.50 %, Test Accuracy: 26.81 %
Epoch 11, Train Accuracy: 29.24 %, Test Accuracy: 31.95 %
Epoch 12, Train Accuracy: 34.23 %, Test Accuracy: 37.30 %
Epoch 13, Train Accuracy: 38.83 %, Test Accuracy: 41.60 %
Epoch 14, Train Accuracy: 43.65 %, Test Accuracy: 47.66 %
Epoch 15, Train Accuracy: 49.28 %, Test Accuracy: 50.58 %
Epoch 16, Train Accuracy: 55.11 %, Test Accuracy: 57.91 %
Epoch 17, Train Accuracy: 60.82 %, Test Accuracy: 61.91 %
Epoch 18, Train Accuracy: 66.19 %, Test Accuracy: 65.95 %
Epoch 19, Train Accuracy: 69.90 %, Test Accuracy: 70.71 %
Epoch 20, Train Accuracy: 73.63 %, Test Accuracy: 73.46 %
Epoch 21, Train Accuracy: 76.44 %, Test Accuracy: 75.36 %
Epoch 22, Train Accuracy: 78.36 %, Test Accuracy: 78.45 %
Epoch 23, Train Accuracy: 80.38 %, Test Accuracy: 79.39 %
Epoch 24, Train Accuracy: 81.90 %, Test Accuracy: 81.65 %
Epoch 25, Train Accuracy: 83.27 %, Test Accuracy: 82.42 %
Epoch 26, Train Accuracy: 84.24 %, Test Accuracy: 80.59 %
