NODE=[HOST_e5f7f0d5f9] | JOB=gm2-c22-s1 4832439 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk2293 --seed 1 --save-directory cluster/Account2/metaopt/runs/gm2 --run-name gm2-c22-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/gm2/probe_c22_gm2_s1
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.80 %, Test Accuracy: 6.19 %
Epoch 1, Train Accuracy: 6.55 %, Test Accuracy: 7.82 %
Epoch 2, Train Accuracy: 8.55 %, Test Accuracy: 9.94 %
Epoch 3, Train Accuracy: 10.46 %, Test Accuracy: 11.30 %
Epoch 4, Train Accuracy: 11.87 %, Test Accuracy: 12.64 %
Epoch 5, Train Accuracy: 13.13 %, Test Accuracy: 13.62 %
Epoch 6, Train Accuracy: 13.98 %, Test Accuracy: 14.71 %
Epoch 7, Train Accuracy: 14.92 %, Test Accuracy: 15.89 %
Epoch 8, Train Accuracy: 16.11 %, Test Accuracy: 17.18 %
Epoch 9, Train Accuracy: 17.22 %, Test Accuracy: 18.12 %
Epoch 10, Train Accuracy: 18.76 %, Test Accuracy: 19.12 %
Epoch 11, Train Accuracy: 20.00 %, Test Accuracy: 20.70 %
Epoch 12, Train Accuracy: 21.57 %, Test Accuracy: 23.13 %
Epoch 13, Train Accuracy: 23.37 %, Test Accuracy: 24.77 %
Epoch 14, Train Accuracy: 25.60 %, Test Accuracy: 25.65 %
Epoch 15, Train Accuracy: 27.13 %, Test Accuracy: 25.22 %
Epoch 16, Train Accuracy: 28.46 %, Test Accuracy: 29.62 %
Epoch 17, Train Accuracy: 30.59 %, Test Accuracy: 30.66 %
Epoch 18, Train Accuracy: 32.38 %, Test Accuracy: 31.74 %
Epoch 19, Train Accuracy: 34.12 %, Test Accuracy: 34.39 %
Epoch 20, Train Accuracy: 36.82 %, Test Accuracy: 35.08 %
Epoch 21, Train Accuracy: 38.71 %, Test Accuracy: 35.82 %
Epoch 22, Train Accuracy: 40.38 %, Test Accuracy: 40.63 %
Epoch 23, Train Accuracy: 42.66 %, Test Accuracy: 42.08 %
Epoch 24, Train Accuracy: 45.16 %, Test Accuracy: 43.71 %
Epoch 25, Train Accuracy: 47.11 %, Test Accuracy: 45.95 %
Epoch 26, Train Accuracy: 49.14 %, Test Accuracy: 47.51 %
Epoch 27, Train Accuracy: 51.26 %, Test Accuracy: 49.10 %
Epoch 28, Train Accuracy: 52.58 %, Test Accuracy: 50.43 %
Epoch 29, Train Accuracy: 54.76 %, Test Accuracy: 51.71 %
Epoch 30, Train Accuracy: 56.34 %, Test Accuracy: 53.60 %
Epoch 31, Train Accuracy: 57.57 %, Test Accuracy: 55.25 %
Epoch 32, Train Accuracy: 59.17 %, Test Accuracy: 55.04 %
Epoch 33, Train Accuracy: 59.79 %, Test Accuracy: 56.68 %
Epoch 34, Train Accuracy: 61.95 %, Test Accuracy: 57.29 %
Epoch 35, Train Accuracy: 62.94 %, Test Accuracy: 57.20 %
Epoch 36, Train Accuracy: 64.02 %, Test Accuracy: 58.74 %
Epoch 37, Train Accuracy: 65.29 %, Test Accuracy: 57.68 %
Epoch 38, Train Accuracy: 66.83 %, Test Accuracy: 60.12 %
Epoch 39, Train Accuracy: 67.68 %, Test Accuracy: 60.33 %
Epoch 40, Train Accuracy: 68.83 %, Test Accuracy: 60.36 %
Epoch 41, Train Accuracy: 69.39 %, Test Accuracy: 61.98 %
Epoch 42, Train Accuracy: 70.86 %, Test Accuracy: 62.11 %
Epoch 43, Train Accuracy: 71.27 %, Test Accuracy: 63.37 %
Epoch 44, Train Accuracy: 72.49 %, Test Accuracy: 63.51 %
Epoch 45, Train Accuracy: 73.33 %, Test Accuracy: 63.69 %
Epoch 46, Train Accuracy: 73.82 %, Test Accuracy: 65.46 %
Epoch 47, Train Accuracy: 75.04 %, Test Accuracy: 62.77 %
Epoch 48, Train Accuracy: 76.01 %, Test Accuracy: 65.33 %
Epoch 49, Train Accuracy: 76.29 %, Test Accuracy: 66.00 %
Epoch 50, Train Accuracy: 77.11 %, Test Accuracy: 64.90 %
Epoch 51, Train Accuracy: 78.44 %, Test Accuracy: 66.16 %
Epoch 52, Train Accuracy: 78.76 %, Test Accuracy: 67.05 %
Epoch 53, Train Accuracy: 79.92 %, Test Accuracy: 66.82 %
Epoch 54, Train Accuracy: 80.34 %, Test Accuracy: 67.06 %
Epoch 55, Train Accuracy: 80.67 %, Test Accuracy: 67.21 %
Epoch 56, Train Accuracy: 81.82 %, Test Accuracy: 66.68 %
Epoch 57, Train Accuracy: 82.32 %, Test Accuracy: 66.64 %
Epoch 58, Train Accuracy: 83.41 %, Test Accuracy: 68.49 %
Epoch 59, Train Accuracy: 84.08 %, Test Accuracy: 68.19 %
Epoch 60, Train Accuracy: 84.39 %, Test Accuracy: 68.75 %
Epoch 61, Train Accuracy: 85.25 %, Test Accuracy: 69.00 %
Epoch 62, Train Accuracy: 85.43 %, Test Accuracy: 69.04 %
Epoch 63, Train Accuracy: 86.07 %, Test Accuracy: 69.10 %
Epoch 64, Train Accuracy: 86.87 %, Test Accuracy: 69.52 %
Epoch 65, Train Accuracy: 87.11 %, Test Accuracy: 69.85 %
Epoch 66, Train Accuracy: 87.79 %, Test Accuracy: 70.24 %
Epoch 67, Train Accuracy: 88.53 %, Test Accuracy: 69.60 %
Epoch 68, Train Accuracy: 88.52 %, Test Accuracy: 69.91 %
Epoch 69, Train Accuracy: 89.37 %, Test Accuracy: 70.22 %
Epoch 70, Train Accuracy: 89.82 %, Test Accuracy: 70.40 %
Epoch 71, Train Accuracy: 90.03 %, Test Accuracy: 70.41 %
Epoch 72, Train Accuracy: 90.89 %, Test Accuracy: 70.96 %
Epoch 73, Train Accuracy: 91.12 %, Test Accuracy: 69.98 %
Epoch 74, Train Accuracy: 91.66 %, Test Accuracy: 70.57 %
Epoch 75, Train Accuracy: 91.87 %, Test Accuracy: 70.89 %
Epoch 76, Train Accuracy: 92.53 %, Test Accuracy: 71.09 %
Epoch 77, Train Accuracy: 93.05 %, Test Accuracy: 70.49 %
Epoch 78, Train Accuracy: 93.09 %, Test Accuracy: 71.03 %
Epoch 79, Train Accuracy: 93.24 %, Test Accuracy: 71.43 %
Epoch 80, Train Accuracy: 93.80 %, Test Accuracy: 70.77 %
Epoch 81, Train Accuracy: 93.73 %, Test Accuracy: 70.97 %
Epoch 82, Train Accuracy: 94.36 %, Test Accuracy: 71.86 %
Epoch 83, Train Accuracy: 94.32 %, Test Accuracy: 71.55 %
Epoch 84, Train Accuracy: 94.93 %, Test Accuracy: 70.96 %
Epoch 85, Train Accuracy: 94.83 %, Test Accuracy: 71.02 %
Epoch 86, Train Accuracy: 95.00 %, Test Accuracy: 71.58 %
Epoch 87, Train Accuracy: 95.39 %, Test Accuracy: 71.68 %
Epoch 88, Train Accuracy: 95.83 %, Test Accuracy: 72.14 %
Epoch 89, Train Accuracy: 95.91 %, Test Accuracy: 71.73 %
Epoch 90, Train Accuracy: 96.01 %, Test Accuracy: 71.84 %
Epoch 91, Train Accuracy: 96.25 %, Test Accuracy: 71.90 %
Epoch 92, Train Accuracy: 96.21 %, Test Accuracy: 72.04 %
Epoch 93, Train Accuracy: 96.28 %, Test Accuracy: 71.66 %
Epoch 94, Train Accuracy: 96.65 %, Test Accuracy: 71.72 %
Epoch 95, Train Accuracy: 96.80 %, Test Accuracy: 72.12 %
Epoch 96, Train Accuracy: 97.00 %, Test Accuracy: 72.57 %
Epoch 97, Train Accuracy: 97.28 %, Test Accuracy: 72.37 %
Epoch 98, Train Accuracy: 97.09 %, Test Accuracy: 71.54 %
Epoch 99, Train Accuracy: 97.05 %, Test Accuracy: 71.78 %
116  minutes
RUN_DONE
