NODE=[HOST_e223b82d71] | JOB=gm2-n1d-s1 4832438 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups nodewise1d --seed 1 --save-directory cluster/Account2/metaopt/runs/gm2 --run-name gm2-n1d-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/gm2/probe_n1d_gm2_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.84 %, Test Accuracy: 6.22 %
Epoch 1, Train Accuracy: 6.49 %, Test Accuracy: 7.72 %
Epoch 2, Train Accuracy: 8.65 %, Test Accuracy: 10.01 %
Epoch 3, Train Accuracy: 10.50 %, Test Accuracy: 11.28 %
Epoch 4, Train Accuracy: 11.87 %, Test Accuracy: 12.50 %
Epoch 5, Train Accuracy: 13.07 %, Test Accuracy: 13.65 %
Epoch 6, Train Accuracy: 13.97 %, Test Accuracy: 14.49 %
Epoch 7, Train Accuracy: 14.99 %, Test Accuracy: 15.79 %
Epoch 8, Train Accuracy: 16.07 %, Test Accuracy: 16.98 %
Epoch 9, Train Accuracy: 17.10 %, Test Accuracy: 17.63 %
Epoch 10, Train Accuracy: 18.39 %, Test Accuracy: 18.70 %
Epoch 11, Train Accuracy: 19.72 %, Test Accuracy: 20.78 %
Epoch 12, Train Accuracy: 21.55 %, Test Accuracy: 23.19 %
Epoch 13, Train Accuracy: 23.33 %, Test Accuracy: 23.76 %
Epoch 14, Train Accuracy: 24.66 %, Test Accuracy: 24.48 %
Epoch 15, Train Accuracy: 26.66 %, Test Accuracy: 25.46 %
Epoch 16, Train Accuracy: 28.26 %, Test Accuracy: 28.20 %
Epoch 17, Train Accuracy: 30.33 %, Test Accuracy: 31.02 %
Epoch 18, Train Accuracy: 32.23 %, Test Accuracy: 31.73 %
Epoch 19, Train Accuracy: 34.05 %, Test Accuracy: 34.51 %
Epoch 20, Train Accuracy: 36.42 %, Test Accuracy: 35.04 %
Epoch 21, Train Accuracy: 38.35 %, Test Accuracy: 37.33 %
Epoch 22, Train Accuracy: 40.35 %, Test Accuracy: 41.31 %
Epoch 23, Train Accuracy: 42.92 %, Test Accuracy: 41.21 %
Epoch 24, Train Accuracy: 45.05 %, Test Accuracy: 43.65 %
Epoch 25, Train Accuracy: 46.62 %, Test Accuracy: 45.27 %
Epoch 26, Train Accuracy: 49.30 %, Test Accuracy: 48.26 %
Epoch 27, Train Accuracy: 50.92 %, Test Accuracy: 48.97 %
Epoch 28, Train Accuracy: 52.25 %, Test Accuracy: 50.27 %
Epoch 29, Train Accuracy: 54.49 %, Test Accuracy: 52.20 %
Epoch 30, Train Accuracy: 55.98 %, Test Accuracy: 52.48 %
