NODE=[HOST_15f3f0166d] | JOB=gn1-bn-ch-s1 4777309 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk777 --seed 1 --save-directory cluster/Account2/metaopt/runs/gn1 --run-name gn1-bn-ch-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/gn1/probe_bn-ch_gn1_s1
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.87 %, Test Accuracy: 29.60 %
Epoch 1, Train Accuracy: 34.82 %, Test Accuracy: 39.32 %
Epoch 2, Train Accuracy: 41.55 %, Test Accuracy: 44.69 %
Epoch 3, Train Accuracy: 45.73 %, Test Accuracy: 48.76 %
Epoch 4, Train Accuracy: 49.68 %, Test Accuracy: 52.14 %
Epoch 5, Train Accuracy: 53.47 %, Test Accuracy: 55.01 %
Epoch 6, Train Accuracy: 56.15 %, Test Accuracy: 57.50 %
Epoch 7, Train Accuracy: 59.64 %, Test Accuracy: 60.18 %
Epoch 8, Train Accuracy: 62.63 %, Test Accuracy: 62.76 %
Epoch 9, Train Accuracy: 65.26 %, Test Accuracy: 65.80 %
Epoch 10, Train Accuracy: 68.23 %, Test Accuracy: 69.02 %
Epoch 11, Train Accuracy: 70.37 %, Test Accuracy: 71.27 %
Epoch 12, Train Accuracy: 72.15 %, Test Accuracy: 72.77 %
Epoch 13, Train Accuracy: 74.52 %, Test Accuracy: 74.96 %
Epoch 14, Train Accuracy: 76.28 %, Test Accuracy: 75.49 %
Epoch 15, Train Accuracy: 78.04 %, Test Accuracy: 77.29 %
Epoch 16, Train Accuracy: 79.46 %, Test Accuracy: 78.66 %
Epoch 17, Train Accuracy: 81.03 %, Test Accuracy: 78.60 %
Epoch 18, Train Accuracy: 81.83 %, Test Accuracy: 79.65 %
Epoch 19, Train Accuracy: 82.80 %, Test Accuracy: 81.63 %
Epoch 20, Train Accuracy: 83.72 %, Test Accuracy: 81.15 %
Epoch 21, Train Accuracy: 84.54 %, Test Accuracy: 82.06 %
Epoch 22, Train Accuracy: 85.64 %, Test Accuracy: 83.64 %
Epoch 23, Train Accuracy: 85.77 %, Test Accuracy: 80.88 %
Epoch 24, Train Accuracy: 86.28 %, Test Accuracy: 84.99 %
