NODE=[HOST_2f2f29d9e1] | JOB=gp-blk6-r1-s2 4685238 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --NN-name ResNet18 --stepsize-groups resnet18_blocks --seed 2 --save-directory cluster/Account2/metaopt/runs/gp --run-name gp-blk6-r1-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.03 %, Test Accuracy: 10.17 %
Epoch 1, Train Accuracy: 9.97 %, Test Accuracy: 10.25 %
Epoch 2, Train Accuracy: 10.13 %, Test Accuracy: 10.34 %
Epoch 3, Train Accuracy: 10.12 %, Test Accuracy: 10.58 %
Epoch 4, Train Accuracy: 10.79 %, Test Accuracy: 10.71 %
Epoch 5, Train Accuracy: 11.65 %, Test Accuracy: 11.98 %
Epoch 6, Train Accuracy: 13.57 %, Test Accuracy: 14.36 %
Epoch 7, Train Accuracy: 15.78 %, Test Accuracy: 17.35 %
Epoch 8, Train Accuracy: 18.74 %, Test Accuracy: 20.62 %
Epoch 9, Train Accuracy: 22.25 %, Test Accuracy: 23.33 %
Epoch 10, Train Accuracy: 25.42 %, Test Accuracy: 26.87 %
Epoch 11, Train Accuracy: 29.25 %, Test Accuracy: 32.10 %
Epoch 12, Train Accuracy: 34.24 %, Test Accuracy: 37.22 %
Epoch 13, Train Accuracy: 38.81 %, Test Accuracy: 41.95 %
Epoch 14, Train Accuracy: 43.69 %, Test Accuracy: 47.72 %
Epoch 15, Train Accuracy: 49.20 %, Test Accuracy: 50.55 %
Epoch 16, Train Accuracy: 54.83 %, Test Accuracy: 57.61 %
Epoch 17, Train Accuracy: 60.36 %, Test Accuracy: 62.57 %
Epoch 18, Train Accuracy: 65.71 %, Test Accuracy: 65.46 %
Epoch 19, Train Accuracy: 69.61 %, Test Accuracy: 70.35 %
Epoch 20, Train Accuracy: 72.93 %, Test Accuracy: 74.19 %
Epoch 21, Train Accuracy: 76.00 %, Test Accuracy: 76.38 %
Epoch 22, Train Accuracy: 78.34 %, Test Accuracy: 78.03 %
Epoch 23, Train Accuracy: 80.10 %, Test Accuracy: 79.57 %
Epoch 24, Train Accuracy: 81.71 %, Test Accuracy: 81.03 %
Epoch 25, Train Accuracy: 82.97 %, Test Accuracy: 81.75 %
Epoch 26, Train Accuracy: 84.18 %, Test Accuracy: 82.35 %
Epoch 27, Train Accuracy: 85.28 %, Test Accuracy: 83.55 %
Epoch 28, Train Accuracy: 86.27 %, Test Accuracy: 84.14 %
Epoch 29, Train Accuracy: 86.92 %, Test Accuracy: 85.28 %
Epoch 30, Train Accuracy: 87.86 %, Test Accuracy: 84.90 %
Epoch 31, Train Accuracy: 88.19 %, Test Accuracy: 85.70 %
Epoch 32, Train Accuracy: 89.22 %, Test Accuracy: 86.53 %
Epoch 33, Train Accuracy: 89.72 %, Test Accuracy: 87.20 %
Epoch 34, Train Accuracy: 90.56 %, Test Accuracy: 87.77 %
Epoch 35, Train Accuracy: 90.89 %, Test Accuracy: 87.84 %
Epoch 36, Train Accuracy: 91.43 %, Test Accuracy: 87.83 %
Epoch 37, Train Accuracy: 92.24 %, Test Accuracy: 88.65 %
Epoch 38, Train Accuracy: 92.48 %, Test Accuracy: 88.30 %
Epoch 39, Train Accuracy: 93.18 %, Test Accuracy: 89.04 %
Epoch 40, Train Accuracy: 93.39 %, Test Accuracy: 88.89 %
Epoch 41, Train Accuracy: 93.86 %, Test Accuracy: 89.41 %
Epoch 42, Train Accuracy: 94.65 %, Test Accuracy: 89.14 %
Epoch 43, Train Accuracy: 94.81 %, Test Accuracy: 89.71 %
Epoch 44, Train Accuracy: 95.16 %, Test Accuracy: 90.16 %
Epoch 45, Train Accuracy: 95.46 %, Test Accuracy: 90.29 %
Epoch 46, Train Accuracy: 95.77 %, Test Accuracy: 90.02 %
Epoch 47, Train Accuracy: 95.85 %, Test Accuracy: 89.96 %
