NODE=[HOST_e8d809bd94] | JOB=gp-w-r003-s0 4685212 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --NN-name ResNet18 --stepsize-groups weightwise --seed 0 --save-directory cluster/Account2/metaopt/runs/gp --run-name gp-w-r003-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.03
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.79 %, Test Accuracy: 12.83 %
Epoch 1, Train Accuracy: 12.72 %, Test Accuracy: 12.87 %
Epoch 2, Train Accuracy: 12.88 %, Test Accuracy: 12.98 %
Epoch 3, Train Accuracy: 13.12 %, Test Accuracy: 13.18 %
Epoch 4, Train Accuracy: 13.01 %, Test Accuracy: 13.12 %
Epoch 5, Train Accuracy: 13.12 %, Test Accuracy: 13.38 %
Epoch 6, Train Accuracy: 13.32 %, Test Accuracy: 13.15 %
Epoch 7, Train Accuracy: 13.46 %, Test Accuracy: 13.43 %
Epoch 8, Train Accuracy: 13.51 %, Test Accuracy: 13.39 %
Epoch 9, Train Accuracy: 13.60 %, Test Accuracy: 13.41 %
Epoch 10, Train Accuracy: 13.69 %, Test Accuracy: 13.50 %
Epoch 11, Train Accuracy: 13.98 %, Test Accuracy: 13.50 %
Epoch 12, Train Accuracy: 14.11 %, Test Accuracy: 13.83 %
Epoch 13, Train Accuracy: 14.50 %, Test Accuracy: 14.00 %
Epoch 14, Train Accuracy: 14.53 %, Test Accuracy: 14.08 %
Epoch 15, Train Accuracy: 14.83 %, Test Accuracy: 14.31 %
Epoch 16, Train Accuracy: 14.89 %, Test Accuracy: 14.52 %
Epoch 17, Train Accuracy: 15.50 %, Test Accuracy: 14.73 %
Epoch 18, Train Accuracy: 15.60 %, Test Accuracy: 15.06 %
Epoch 19, Train Accuracy: 16.12 %, Test Accuracy: 15.25 %
Epoch 20, Train Accuracy: 16.59 %, Test Accuracy: 15.63 %
Epoch 21, Train Accuracy: 16.97 %, Test Accuracy: 15.94 %
Epoch 22, Train Accuracy: 17.29 %, Test Accuracy: 16.21 %
Epoch 23, Train Accuracy: 17.91 %, Test Accuracy: 16.52 %
Epoch 24, Train Accuracy: 18.28 %, Test Accuracy: 17.04 %
Epoch 25, Train Accuracy: 18.68 %, Test Accuracy: 17.66 %
Epoch 26, Train Accuracy: 19.01 %, Test Accuracy: 18.12 %
Epoch 27, Train Accuracy: 19.26 %, Test Accuracy: 18.65 %
Epoch 28, Train Accuracy: 19.94 %, Test Accuracy: 19.04 %
Epoch 29, Train Accuracy: 20.39 %, Test Accuracy: 19.35 %
Epoch 30, Train Accuracy: 21.14 %, Test Accuracy: 20.20 %
Epoch 31, Train Accuracy: 21.49 %, Test Accuracy: 20.84 %
Epoch 32, Train Accuracy: 21.98 %, Test Accuracy: 21.24 %
Epoch 33, Train Accuracy: 22.26 %, Test Accuracy: 22.11 %
Epoch 34, Train Accuracy: 23.06 %, Test Accuracy: 22.22 %
