NODE=[HOST_3c1b003035] | JOB=gp-w-r006-s1 4685216 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --NN-name ResNet18 --stepsize-groups weightwise --seed 1 --save-directory cluster/Account2/metaopt/runs/gp --run-name gp-w-r006-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.66 %, Test Accuracy: 9.82 %
Epoch 1, Train Accuracy: 9.53 %, Test Accuracy: 9.79 %
Epoch 2, Train Accuracy: 9.49 %, Test Accuracy: 9.74 %
Epoch 3, Train Accuracy: 9.66 %, Test Accuracy: 9.78 %
Epoch 4, Train Accuracy: 9.63 %, Test Accuracy: 9.82 %
Epoch 5, Train Accuracy: 9.60 %, Test Accuracy: 9.82 %
Epoch 6, Train Accuracy: 9.63 %, Test Accuracy: 9.80 %
Epoch 7, Train Accuracy: 9.59 %, Test Accuracy: 9.89 %
Epoch 8, Train Accuracy: 9.77 %, Test Accuracy: 9.90 %
Epoch 9, Train Accuracy: 9.87 %, Test Accuracy: 9.98 %
Epoch 10, Train Accuracy: 10.09 %, Test Accuracy: 10.24 %
Epoch 11, Train Accuracy: 10.53 %, Test Accuracy: 10.51 %
Epoch 12, Train Accuracy: 10.98 %, Test Accuracy: 10.94 %
Epoch 13, Train Accuracy: 11.34 %, Test Accuracy: 11.46 %
Epoch 14, Train Accuracy: 12.10 %, Test Accuracy: 11.92 %
Epoch 15, Train Accuracy: 12.61 %, Test Accuracy: 12.77 %
Epoch 16, Train Accuracy: 13.57 %, Test Accuracy: 13.67 %
Epoch 17, Train Accuracy: 14.26 %, Test Accuracy: 14.63 %
Epoch 18, Train Accuracy: 15.03 %, Test Accuracy: 15.44 %
Epoch 19, Train Accuracy: 16.08 %, Test Accuracy: 16.50 %
Epoch 20, Train Accuracy: 16.77 %, Test Accuracy: 17.69 %
Epoch 21, Train Accuracy: 17.59 %, Test Accuracy: 18.60 %
Epoch 22, Train Accuracy: 18.29 %, Test Accuracy: 19.49 %
Epoch 23, Train Accuracy: 19.21 %, Test Accuracy: 20.66 %
Epoch 24, Train Accuracy: 19.74 %, Test Accuracy: 20.71 %
Epoch 25, Train Accuracy: 20.44 %, Test Accuracy: 21.68 %
Epoch 26, Train Accuracy: 20.92 %, Test Accuracy: 22.10 %
Epoch 27, Train Accuracy: 21.50 %, Test Accuracy: 22.40 %
Epoch 28, Train Accuracy: 22.00 %, Test Accuracy: 22.64 %
Epoch 29, Train Accuracy: 22.19 %, Test Accuracy: 23.06 %
Epoch 30, Train Accuracy: 22.30 %, Test Accuracy: 23.09 %
Epoch 31, Train Accuracy: 23.02 %, Test Accuracy: 23.34 %
Epoch 32, Train Accuracy: 23.52 %, Test Accuracy: 23.53 %
Epoch 33, Train Accuracy: 23.67 %, Test Accuracy: 24.09 %
Epoch 34, Train Accuracy: 24.31 %, Test Accuracy: 24.39 %
Epoch 35, Train Accuracy: 24.75 %, Test Accuracy: 24.81 %
Epoch 36, Train Accuracy: 25.10 %, Test Accuracy: 25.21 %
Epoch 37, Train Accuracy: 25.54 %, Test Accuracy: 25.32 %
Epoch 38, Train Accuracy: 26.21 %, Test Accuracy: 26.04 %
Epoch 39, Train Accuracy: 26.43 %, Test Accuracy: 26.21 %
Epoch 40, Train Accuracy: 26.91 %, Test Accuracy: 26.75 %
Epoch 41, Train Accuracy: 27.45 %, Test Accuracy: 27.06 %
Epoch 42, Train Accuracy: 28.13 %, Test Accuracy: 27.24 %
Epoch 43, Train Accuracy: 28.40 %, Test Accuracy: 27.77 %
Epoch 44, Train Accuracy: 28.93 %, Test Accuracy: 28.42 %
Epoch 45, Train Accuracy: 29.75 %, Test Accuracy: 28.95 %
Epoch 46, Train Accuracy: 30.21 %, Test Accuracy: 29.94 %
Epoch 47, Train Accuracy: 30.58 %, Test Accuracy: 30.50 %
Epoch 48, Train Accuracy: 31.34 %, Test Accuracy: 31.01 %
Epoch 49, Train Accuracy: 31.30 %, Test Accuracy: 31.76 %
Epoch 50, Train Accuracy: 32.22 %, Test Accuracy: 32.17 %
Epoch 51, Train Accuracy: 32.63 %, Test Accuracy: 32.92 %
Epoch 52, Train Accuracy: 33.05 %, Test Accuracy: 33.37 %
Epoch 53, Train Accuracy: 33.52 %, Test Accuracy: 33.78 %
Epoch 54, Train Accuracy: 33.75 %, Test Accuracy: 34.27 %
Epoch 55, Train Accuracy: 34.35 %, Test Accuracy: 34.89 %
Epoch 56, Train Accuracy: 34.62 %, Test Accuracy: 35.84 %
Epoch 57, Train Accuracy: 35.02 %, Test Accuracy: 36.18 %
Epoch 58, Train Accuracy: 35.56 %, Test Accuracy: 36.55 %
Epoch 59, Train Accuracy: 36.02 %, Test Accuracy: 36.74 %
Epoch 60, Train Accuracy: 36.43 %, Test Accuracy: 37.23 %
