NODE=[HOST_bcfd0fc19c] | JOB=h2-w-L1e5-s0 4680699
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --alpha0 1e-6 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --stepsize-groups weightwise --seed 0 --save-directory cluster/Account1/metaopt/runs/hier2 --run-name h2-w-L1e5_s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=shrink LAM=0.00001 ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.80 %, Test Accuracy: 12.86 %
Epoch 1, Train Accuracy: 12.77 %, Test Accuracy: 12.94 %
Epoch 2, Train Accuracy: 13.03 %, Test Accuracy: 13.19 %
Epoch 3, Train Accuracy: 13.50 %, Test Accuracy: 13.53 %
Epoch 4, Train Accuracy: 13.71 %, Test Accuracy: 13.73 %
Epoch 5, Train Accuracy: 14.56 %, Test Accuracy: 14.48 %
Epoch 6, Train Accuracy: 15.65 %, Test Accuracy: 15.15 %
Epoch 7, Train Accuracy: 17.15 %, Test Accuracy: 16.93 %
Epoch 8, Train Accuracy: 19.14 %, Test Accuracy: 18.73 %
Epoch 9, Train Accuracy: 20.85 %, Test Accuracy: 20.49 %
Epoch 10, Train Accuracy: 23.03 %, Test Accuracy: 23.39 %
Epoch 11, Train Accuracy: 25.64 %, Test Accuracy: 25.89 %
Epoch 12, Train Accuracy: 27.56 %, Test Accuracy: 27.70 %
Epoch 13, Train Accuracy: 29.65 %, Test Accuracy: 29.93 %
Epoch 14, Train Accuracy: 31.56 %, Test Accuracy: 32.56 %
Epoch 15, Train Accuracy: 33.25 %, Test Accuracy: 34.64 %
Epoch 16, Train Accuracy: 34.69 %, Test Accuracy: 37.09 %
Epoch 17, Train Accuracy: 36.28 %, Test Accuracy: 38.92 %
Epoch 18, Train Accuracy: 37.95 %, Test Accuracy: 40.10 %
Epoch 19, Train Accuracy: 39.63 %, Test Accuracy: 42.00 %
Epoch 20, Train Accuracy: 40.91 %, Test Accuracy: 43.08 %
Epoch 21, Train Accuracy: 42.69 %, Test Accuracy: 44.89 %
Epoch 22, Train Accuracy: 43.75 %, Test Accuracy: 45.43 %
Epoch 23, Train Accuracy: 45.02 %, Test Accuracy: 46.45 %
Epoch 24, Train Accuracy: 46.19 %, Test Accuracy: 48.14 %
Epoch 25, Train Accuracy: 47.34 %, Test Accuracy: 49.23 %
Epoch 26, Train Accuracy: 48.55 %, Test Accuracy: 49.86 %
Epoch 27, Train Accuracy: 49.69 %, Test Accuracy: 51.02 %
Epoch 28, Train Accuracy: 50.88 %, Test Accuracy: 52.08 %
Epoch 29, Train Accuracy: 51.75 %, Test Accuracy: 52.75 %
Epoch 30, Train Accuracy: 52.74 %, Test Accuracy: 53.76 %
Epoch 31, Train Accuracy: 53.56 %, Test Accuracy: 54.29 %
Epoch 32, Train Accuracy: 54.31 %, Test Accuracy: 55.28 %
Epoch 33, Train Accuracy: 55.35 %, Test Accuracy: 56.51 %
Epoch 34, Train Accuracy: 55.87 %, Test Accuracy: 57.17 %
Epoch 35, Train Accuracy: 57.00 %, Test Accuracy: 57.72 %
Epoch 36, Train Accuracy: 57.88 %, Test Accuracy: 58.46 %
Epoch 37, Train Accuracy: 58.23 %, Test Accuracy: 59.03 %
Epoch 38, Train Accuracy: 59.30 %, Test Accuracy: 60.19 %
Epoch 39, Train Accuracy: 59.96 %, Test Accuracy: 60.83 %
Epoch 40, Train Accuracy: 60.62 %, Test Accuracy: 61.45 %
Epoch 41, Train Accuracy: 61.29 %, Test Accuracy: 62.01 %
Epoch 42, Train Accuracy: 62.04 %, Test Accuracy: 62.69 %
Epoch 43, Train Accuracy: 62.53 %, Test Accuracy: 63.09 %
Epoch 44, Train Accuracy: 63.30 %, Test Accuracy: 63.52 %
Epoch 45, Train Accuracy: 63.88 %, Test Accuracy: 64.09 %
Epoch 46, Train Accuracy: 64.22 %, Test Accuracy: 64.31 %
Epoch 47, Train Accuracy: 64.69 %, Test Accuracy: 65.04 %
Epoch 48, Train Accuracy: 65.58 %, Test Accuracy: 65.49 %
Epoch 49, Train Accuracy: 65.82 %, Test Accuracy: 66.01 %
Epoch 50, Train Accuracy: 66.40 %, Test Accuracy: 66.50 %
Epoch 51, Train Accuracy: 66.76 %, Test Accuracy: 67.12 %
Epoch 52, Train Accuracy: 67.40 %, Test Accuracy: 67.29 %
Epoch 53, Train Accuracy: 67.62 %, Test Accuracy: 67.49 %
Epoch 54, Train Accuracy: 68.26 %, Test Accuracy: 68.01 %
