NODE=[HOST_e223b82d71] | JOB=hz3-c23-s1 4782014
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 300 --stepsize-groups chunk2325 --seed 1 --save-directory cluster/Account1/metaopt/runs/hz3 --run-name hz3-c23-s1
ENV: AUGMENT=1 BETA_CLIP=-30:9.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/hz3/probe_c23_hz3_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.78 %, Test Accuracy: 30.00 %
Epoch 1, Train Accuracy: 34.85 %, Test Accuracy: 39.51 %
Epoch 2, Train Accuracy: 41.76 %, Test Accuracy: 45.17 %
Epoch 3, Train Accuracy: 45.98 %, Test Accuracy: 48.76 %
Epoch 4, Train Accuracy: 50.06 %, Test Accuracy: 52.70 %
Epoch 5, Train Accuracy: 53.84 %, Test Accuracy: 55.80 %
Epoch 6, Train Accuracy: 56.99 %, Test Accuracy: 59.98 %
Epoch 7, Train Accuracy: 60.29 %, Test Accuracy: 61.13 %
Epoch 8, Train Accuracy: 63.15 %, Test Accuracy: 63.52 %
Epoch 9, Train Accuracy: 65.72 %, Test Accuracy: 64.83 %
Epoch 10, Train Accuracy: 68.74 %, Test Accuracy: 69.96 %
Epoch 11, Train Accuracy: 71.30 %, Test Accuracy: 69.50 %
Epoch 12, Train Accuracy: 73.47 %, Test Accuracy: 73.56 %
Epoch 13, Train Accuracy: 75.46 %, Test Accuracy: 74.08 %
Epoch 14, Train Accuracy: 77.33 %, Test Accuracy: 76.03 %
Epoch 15, Train Accuracy: 79.07 %, Test Accuracy: 78.80 %
Epoch 16, Train Accuracy: 80.45 %, Test Accuracy: 75.97 %
Epoch 17, Train Accuracy: 81.40 %, Test Accuracy: 78.81 %
Epoch 18, Train Accuracy: 82.35 %, Test Accuracy: 81.00 %
Epoch 19, Train Accuracy: 83.63 %, Test Accuracy: 82.49 %
Epoch 20, Train Accuracy: 84.29 %, Test Accuracy: 80.37 %
Epoch 21, Train Accuracy: 85.00 %, Test Accuracy: 82.64 %
Epoch 22, Train Accuracy: 85.70 %, Test Accuracy: 82.09 %
Epoch 23, Train Accuracy: 86.53 %, Test Accuracy: 81.14 %
Epoch 24, Train Accuracy: 87.16 %, Test Accuracy: 83.21 %
Epoch 25, Train Accuracy: 87.30 %, Test Accuracy: 85.38 %
Epoch 26, Train Accuracy: 88.10 %, Test Accuracy: 84.30 %
Epoch 27, Train Accuracy: 88.56 %, Test Accuracy: 85.47 %
Epoch 28, Train Accuracy: 88.54 %, Test Accuracy: 87.10 %
Epoch 29, Train Accuracy: 89.47 %, Test Accuracy: 86.68 %
Epoch 30, Train Accuracy: 89.58 %, Test Accuracy: 85.82 %
Epoch 31, Train Accuracy: 90.37 %, Test Accuracy: 87.36 %
Epoch 32, Train Accuracy: 90.64 %, Test Accuracy: 86.94 %
Epoch 33, Train Accuracy: 91.01 %, Test Accuracy: 87.90 %
Epoch 34, Train Accuracy: 91.51 %, Test Accuracy: 88.13 %
Epoch 35, Train Accuracy: 91.63 %, Test Accuracy: 89.22 %
Epoch 36, Train Accuracy: 92.09 %, Test Accuracy: 88.52 %
Epoch 37, Train Accuracy: 92.21 %, Test Accuracy: 87.29 %
Epoch 38, Train Accuracy: 92.45 %, Test Accuracy: 88.32 %
Epoch 39, Train Accuracy: 93.06 %, Test Accuracy: 88.95 %
Epoch 40, Train Accuracy: 92.95 %, Test Accuracy: 88.94 %
Epoch 41, Train Accuracy: 93.03 %, Test Accuracy: 89.84 %
Epoch 42, Train Accuracy: 93.63 %, Test Accuracy: 90.02 %
Epoch 43, Train Accuracy: 93.68 %, Test Accuracy: 88.81 %
Epoch 44, Train Accuracy: 94.08 %, Test Accuracy: 87.50 %
Epoch 45, Train Accuracy: 93.91 %, Test Accuracy: 90.17 %
Epoch 46, Train Accuracy: 94.41 %, Test Accuracy: 90.57 %
