NODE=[HOST_03eb56b6d1] | JOB=hz3-n1d-s1 4782013
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 300 --stepsize-groups nodewise1d --seed 1 --save-directory cluster/Account1/metaopt/runs/hz3 --run-name hz3-n1d-s1
ENV: AUGMENT=1 BETA_CLIP=-30:9.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/hz3/probe_n1d_hz3_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.88 %, Test Accuracy: 29.77 %
Epoch 1, Train Accuracy: 34.83 %, Test Accuracy: 39.54 %
Epoch 2, Train Accuracy: 41.63 %, Test Accuracy: 44.72 %
Epoch 3, Train Accuracy: 45.84 %, Test Accuracy: 48.85 %
Epoch 4, Train Accuracy: 50.03 %, Test Accuracy: 52.57 %
Epoch 5, Train Accuracy: 53.84 %, Test Accuracy: 55.38 %
Epoch 6, Train Accuracy: 56.76 %, Test Accuracy: 58.63 %
Epoch 7, Train Accuracy: 60.16 %, Test Accuracy: 59.58 %
Epoch 8, Train Accuracy: 63.03 %, Test Accuracy: 63.15 %
Epoch 9, Train Accuracy: 65.53 %, Test Accuracy: 67.17 %
Epoch 10, Train Accuracy: 68.44 %, Test Accuracy: 69.22 %
Epoch 11, Train Accuracy: 70.43 %, Test Accuracy: 68.75 %
Epoch 12, Train Accuracy: 72.81 %, Test Accuracy: 73.18 %
Epoch 13, Train Accuracy: 74.85 %, Test Accuracy: 73.30 %
Epoch 14, Train Accuracy: 76.73 %, Test Accuracy: 76.09 %
Epoch 15, Train Accuracy: 78.69 %, Test Accuracy: 78.08 %
Epoch 16, Train Accuracy: 79.77 %, Test Accuracy: 78.44 %
Epoch 17, Train Accuracy: 81.36 %, Test Accuracy: 77.86 %
Epoch 18, Train Accuracy: 82.01 %, Test Accuracy: 79.01 %
Epoch 19, Train Accuracy: 82.90 %, Test Accuracy: 80.54 %
Epoch 20, Train Accuracy: 84.20 %, Test Accuracy: 82.18 %
Epoch 21, Train Accuracy: 84.69 %, Test Accuracy: 80.68 %
Epoch 22, Train Accuracy: 84.92 %, Test Accuracy: 82.92 %
Epoch 23, Train Accuracy: 85.98 %, Test Accuracy: 82.55 %
Epoch 24, Train Accuracy: 86.53 %, Test Accuracy: 84.18 %
Epoch 25, Train Accuracy: 87.19 %, Test Accuracy: 85.39 %
Epoch 26, Train Accuracy: 87.59 %, Test Accuracy: 84.77 %
Epoch 27, Train Accuracy: 88.15 %, Test Accuracy: 84.82 %
Epoch 28, Train Accuracy: 88.33 %, Test Accuracy: 86.21 %
Epoch 29, Train Accuracy: 88.99 %, Test Accuracy: 84.76 %
Epoch 30, Train Accuracy: 89.44 %, Test Accuracy: 85.53 %
Epoch 31, Train Accuracy: 90.05 %, Test Accuracy: 85.53 %
Epoch 32, Train Accuracy: 90.20 %, Test Accuracy: 86.08 %
Epoch 33, Train Accuracy: 90.40 %, Test Accuracy: 86.98 %
Epoch 34, Train Accuracy: 91.04 %, Test Accuracy: 86.91 %
Epoch 35, Train Accuracy: 91.09 %, Test Accuracy: 87.76 %
Epoch 36, Train Accuracy: 91.45 %, Test Accuracy: 87.73 %
Epoch 37, Train Accuracy: 91.38 %, Test Accuracy: 87.91 %
Epoch 38, Train Accuracy: 91.79 %, Test Accuracy: 88.50 %
Epoch 39, Train Accuracy: 92.52 %, Test Accuracy: 87.93 %
Epoch 40, Train Accuracy: 92.40 %, Test Accuracy: 87.24 %
Epoch 41, Train Accuracy: 92.69 %, Test Accuracy: 89.16 %
Epoch 42, Train Accuracy: 92.98 %, Test Accuracy: 89.62 %
Epoch 43, Train Accuracy: 93.27 %, Test Accuracy: 88.70 %
Epoch 44, Train Accuracy: 93.44 %, Test Accuracy: 89.97 %
Epoch 45, Train Accuracy: 93.57 %, Test Accuracy: 89.81 %
Epoch 46, Train Accuracy: 93.52 %, Test Accuracy: 89.53 %
Epoch 47, Train Accuracy: 93.60 %, Test Accuracy: 89.62 %
Epoch 48, Train Accuracy: 94.11 %, Test Accuracy: 88.94 %
