NODE=[HOST_e5f7f0d5f9] | JOB=hz3-node-s3 4782019
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 300 --stepsize-groups nodewise --seed 3 --save-directory cluster/Account1/metaopt/runs/hz3 --run-name hz3-node-s3
ENV: AUGMENT=1 BETA_CLIP=-30:9.0 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account1/metaopt/runs/hz3/probe_node_hz3_s3
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.64 %, Test Accuracy: 30.87 %
Epoch 1, Train Accuracy: 34.91 %, Test Accuracy: 39.20 %
Epoch 2, Train Accuracy: 40.48 %, Test Accuracy: 43.30 %
Epoch 3, Train Accuracy: 44.48 %, Test Accuracy: 47.95 %
Epoch 4, Train Accuracy: 48.46 %, Test Accuracy: 50.33 %
Epoch 5, Train Accuracy: 52.16 %, Test Accuracy: 54.77 %
Epoch 6, Train Accuracy: 55.60 %, Test Accuracy: 59.22 %
Epoch 7, Train Accuracy: 59.13 %, Test Accuracy: 60.33 %
Epoch 8, Train Accuracy: 61.75 %, Test Accuracy: 63.21 %
Epoch 9, Train Accuracy: 64.76 %, Test Accuracy: 65.32 %
Epoch 10, Train Accuracy: 67.09 %, Test Accuracy: 69.35 %
Epoch 11, Train Accuracy: 69.43 %, Test Accuracy: 69.95 %
Epoch 12, Train Accuracy: 71.64 %, Test Accuracy: 71.82 %
Epoch 13, Train Accuracy: 73.67 %, Test Accuracy: 72.49 %
Epoch 14, Train Accuracy: 75.57 %, Test Accuracy: 74.31 %
Epoch 15, Train Accuracy: 77.23 %, Test Accuracy: 75.16 %
Epoch 16, Train Accuracy: 78.38 %, Test Accuracy: 78.67 %
Epoch 17, Train Accuracy: 79.97 %, Test Accuracy: 80.27 %
Epoch 18, Train Accuracy: 81.13 %, Test Accuracy: 79.86 %
Epoch 19, Train Accuracy: 81.88 %, Test Accuracy: 80.47 %
Epoch 20, Train Accuracy: 82.93 %, Test Accuracy: 82.10 %
Epoch 21, Train Accuracy: 83.69 %, Test Accuracy: 81.23 %
Epoch 22, Train Accuracy: 84.43 %, Test Accuracy: 81.82 %
Epoch 23, Train Accuracy: 84.89 %, Test Accuracy: 81.86 %
Epoch 24, Train Accuracy: 85.66 %, Test Accuracy: 83.90 %
Epoch 25, Train Accuracy: 86.54 %, Test Accuracy: 83.14 %
Epoch 26, Train Accuracy: 86.89 %, Test Accuracy: 84.39 %
Epoch 27, Train Accuracy: 86.96 %, Test Accuracy: 84.72 %
Epoch 28, Train Accuracy: 87.86 %, Test Accuracy: 85.13 %
Epoch 29, Train Accuracy: 88.14 %, Test Accuracy: 85.29 %
Epoch 30, Train Accuracy: 88.55 %, Test Accuracy: 84.92 %
Epoch 31, Train Accuracy: 88.98 %, Test Accuracy: 86.91 %
Epoch 32, Train Accuracy: 89.41 %, Test Accuracy: 85.99 %
Epoch 33, Train Accuracy: 89.39 %, Test Accuracy: 88.26 %
