NODE=[HOST_03eb56b6d1] | JOB=hz9-node-1e3-s3 4704502
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups nodewise --seed 3 --save-directory cluster/Account1/metaopt/runs/hz9 --run-name hz9-node-1e3-s3
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.17 %, Test Accuracy: 32.39 %
Epoch 1, Train Accuracy: 37.09 %, Test Accuracy: 43.32 %
Epoch 2, Train Accuracy: 44.94 %, Test Accuracy: 48.86 %
Epoch 3, Train Accuracy: 51.47 %, Test Accuracy: 55.45 %
Epoch 4, Train Accuracy: 58.12 %, Test Accuracy: 62.85 %
Epoch 5, Train Accuracy: 64.10 %, Test Accuracy: 66.92 %
Epoch 6, Train Accuracy: 69.14 %, Test Accuracy: 71.16 %
Epoch 7, Train Accuracy: 73.28 %, Test Accuracy: 73.80 %
Epoch 8, Train Accuracy: 76.23 %, Test Accuracy: 77.45 %
Epoch 9, Train Accuracy: 79.23 %, Test Accuracy: 78.84 %
Epoch 10, Train Accuracy: 80.79 %, Test Accuracy: 80.56 %
Epoch 11, Train Accuracy: 82.67 %, Test Accuracy: 79.32 %
Epoch 12, Train Accuracy: 83.76 %, Test Accuracy: 83.03 %
Epoch 13, Train Accuracy: 85.43 %, Test Accuracy: 83.82 %
Epoch 14, Train Accuracy: 86.60 %, Test Accuracy: 84.19 %
Epoch 15, Train Accuracy: 87.30 %, Test Accuracy: 85.72 %
Epoch 16, Train Accuracy: 88.41 %, Test Accuracy: 86.66 %
Epoch 17, Train Accuracy: 88.86 %, Test Accuracy: 86.78 %
Epoch 18, Train Accuracy: 90.20 %, Test Accuracy: 86.65 %
Epoch 19, Train Accuracy: 90.60 %, Test Accuracy: 86.96 %
Epoch 20, Train Accuracy: 90.72 %, Test Accuracy: 88.27 %
Epoch 21, Train Accuracy: 91.81 %, Test Accuracy: 87.77 %
Epoch 22, Train Accuracy: 92.31 %, Test Accuracy: 88.65 %
Epoch 23, Train Accuracy: 92.86 %, Test Accuracy: 88.81 %
Epoch 24, Train Accuracy: 93.24 %, Test Accuracy: 88.98 %
Epoch 25, Train Accuracy: 93.77 %, Test Accuracy: 88.94 %
Epoch 26, Train Accuracy: 94.11 %, Test Accuracy: 89.46 %
Epoch 27, Train Accuracy: 94.51 %, Test Accuracy: 89.42 %
Epoch 28, Train Accuracy: 94.89 %, Test Accuracy: 89.71 %
Epoch 29, Train Accuracy: 95.49 %, Test Accuracy: 89.79 %
