NODE=[HOST_2f2f29d9e1] | JOB=i3a-1e1-s0 4700632
ARGS: --optimizer AdamW --alpha0 1e-1 --seed 0 --num-epochs 100 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --save-directory cluster/Account1/metaopt/runs/i3 --run-name i3a-1e1-s0
ENV: AUGMENT=1 BETA_CLIP=none HIER=none LAM=na ETA_RATIO=na COS_TOTAL=100000000 COS_WARMUP=0 SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA L4, 23034 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.27 %, Test Accuracy: 20.93 %
Epoch 1, Train Accuracy: 27.38 %, Test Accuracy: 18.98 %
Epoch 2, Train Accuracy: 27.61 %, Test Accuracy: 22.83 %
Epoch 3, Train Accuracy: 28.16 %, Test Accuracy: 20.04 %
Epoch 4, Train Accuracy: 28.49 %, Test Accuracy: 18.18 %
Epoch 5, Train Accuracy: 28.83 %, Test Accuracy: 21.27 %
Epoch 6, Train Accuracy: 28.48 %, Test Accuracy: 11.61 %
Epoch 7, Train Accuracy: 28.49 %, Test Accuracy: 21.80 %
Epoch 8, Train Accuracy: 28.12 %, Test Accuracy: 21.29 %
Epoch 9, Train Accuracy: 28.74 %, Test Accuracy: 14.96 %
Epoch 10, Train Accuracy: 28.65 %, Test Accuracy: 14.59 %
Epoch 11, Train Accuracy: 28.51 %, Test Accuracy: 22.08 %
Epoch 12, Train Accuracy: 28.42 %, Test Accuracy: 25.94 %
Epoch 13, Train Accuracy: 27.79 %, Test Accuracy: 25.50 %
Epoch 14, Train Accuracy: 28.21 %, Test Accuracy: 18.87 %
Epoch 15, Train Accuracy: 28.74 %, Test Accuracy: 10.84 %
Epoch 16, Train Accuracy: 28.50 %, Test Accuracy: 10.86 %
Epoch 17, Train Accuracy: 28.77 %, Test Accuracy: 12.10 %
Epoch 18, Train Accuracy: 28.97 %, Test Accuracy: 12.29 %
Epoch 19, Train Accuracy: 28.71 %, Test Accuracy: 15.34 %
Epoch 20, Train Accuracy: 29.14 %, Test Accuracy: 16.79 %
Epoch 21, Train Accuracy: 28.55 %, Test Accuracy: 22.33 %
Epoch 22, Train Accuracy: 28.77 %, Test Accuracy: 20.61 %
Epoch 23, Train Accuracy: 28.92 %, Test Accuracy: 16.30 %
Epoch 24, Train Accuracy: 28.69 %, Test Accuracy: 25.86 %
Epoch 25, Train Accuracy: 29.15 %, Test Accuracy: 15.40 %
Epoch 26, Train Accuracy: 28.87 %, Test Accuracy: 23.03 %
Epoch 27, Train Accuracy: 28.21 %, Test Accuracy: 30.57 %
Epoch 28, Train Accuracy: 28.96 %, Test Accuracy: 18.31 %
Epoch 29, Train Accuracy: 29.30 %, Test Accuracy: 16.47 %
Epoch 30, Train Accuracy: 28.59 %, Test Accuracy: 19.29 %
Epoch 31, Train Accuracy: 28.57 %, Test Accuracy: 18.30 %
Epoch 32, Train Accuracy: 28.55 %, Test Accuracy: 29.14 %
Epoch 33, Train Accuracy: 29.10 %, Test Accuracy: 17.98 %
Epoch 34, Train Accuracy: 28.32 %, Test Accuracy: 22.98 %
Epoch 35, Train Accuracy: 27.61 %, Test Accuracy: 16.08 %
Epoch 36, Train Accuracy: 27.15 %, Test Accuracy: 20.47 %
