NODE=[HOST_e8d809bd94] | JOB=i3a-1e2-s0 4700630
ARGS: --optimizer AdamW --alpha0 1e-2 --seed 0 --num-epochs 100 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --save-directory cluster/Account1/metaopt/runs/i3 --run-name i3a-1e2-s0
ENV: AUGMENT=1 BETA_CLIP=none HIER=none LAM=na ETA_RATIO=na COS_TOTAL=100000000 COS_WARMUP=0 SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA L4, 23034 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 33.30 %, Test Accuracy: 41.22 %
Epoch 1, Train Accuracy: 50.77 %, Test Accuracy: 56.80 %
Epoch 2, Train Accuracy: 61.93 %, Test Accuracy: 56.67 %
Epoch 3, Train Accuracy: 67.36 %, Test Accuracy: 62.41 %
Epoch 4, Train Accuracy: 71.98 %, Test Accuracy: 68.41 %
Epoch 5, Train Accuracy: 74.44 %, Test Accuracy: 72.12 %
Epoch 6, Train Accuracy: 75.70 %, Test Accuracy: 67.80 %
Epoch 7, Train Accuracy: 76.52 %, Test Accuracy: 62.35 %
Epoch 8, Train Accuracy: 77.29 %, Test Accuracy: 71.53 %
Epoch 9, Train Accuracy: 77.84 %, Test Accuracy: 62.07 %
Epoch 10, Train Accuracy: 78.16 %, Test Accuracy: 64.92 %
Epoch 11, Train Accuracy: 78.51 %, Test Accuracy: 74.80 %
Epoch 12, Train Accuracy: 77.99 %, Test Accuracy: 77.08 %
Epoch 13, Train Accuracy: 78.46 %, Test Accuracy: 73.96 %
Epoch 14, Train Accuracy: 78.81 %, Test Accuracy: 71.86 %
Epoch 15, Train Accuracy: 78.77 %, Test Accuracy: 71.28 %
Epoch 16, Train Accuracy: 78.88 %, Test Accuracy: 73.98 %
Epoch 17, Train Accuracy: 78.82 %, Test Accuracy: 74.10 %
Epoch 18, Train Accuracy: 79.18 %, Test Accuracy: 72.74 %
Epoch 19, Train Accuracy: 79.08 %, Test Accuracy: 69.95 %
Epoch 20, Train Accuracy: 79.20 %, Test Accuracy: 75.64 %
Epoch 21, Train Accuracy: 79.26 %, Test Accuracy: 73.08 %
Epoch 22, Train Accuracy: 79.08 %, Test Accuracy: 74.79 %
Epoch 23, Train Accuracy: 79.50 %, Test Accuracy: 71.79 %
Epoch 24, Train Accuracy: 79.14 %, Test Accuracy: 72.16 %
Epoch 25, Train Accuracy: 79.20 %, Test Accuracy: 61.70 %
Epoch 26, Train Accuracy: 79.09 %, Test Accuracy: 65.71 %
Epoch 27, Train Accuracy: 79.18 %, Test Accuracy: 66.94 %
Epoch 28, Train Accuracy: 79.34 %, Test Accuracy: 67.11 %
Epoch 29, Train Accuracy: 79.20 %, Test Accuracy: 75.67 %
Epoch 30, Train Accuracy: 79.40 %, Test Accuracy: 76.96 %
Epoch 31, Train Accuracy: 79.38 %, Test Accuracy: 74.17 %
Epoch 32, Train Accuracy: 79.49 %, Test Accuracy: 56.20 %
Epoch 33, Train Accuracy: 79.59 %, Test Accuracy: 66.27 %
Epoch 34, Train Accuracy: 79.21 %, Test Accuracy: 71.94 %
Epoch 35, Train Accuracy: 79.56 %, Test Accuracy: 71.95 %
Epoch 36, Train Accuracy: 79.49 %, Test Accuracy: 62.22 %
Epoch 37, Train Accuracy: 79.44 %, Test Accuracy: 74.89 %
Epoch 38, Train Accuracy: 79.16 %, Test Accuracy: 64.32 %
Epoch 39, Train Accuracy: 79.41 %, Test Accuracy: 75.34 %
Epoch 40, Train Accuracy: 79.66 %, Test Accuracy: 72.64 %
Epoch 41, Train Accuracy: 79.37 %, Test Accuracy: 66.34 %
Epoch 42, Train Accuracy: 79.53 %, Test Accuracy: 63.23 %
Epoch 43, Train Accuracy: 79.45 %, Test Accuracy: 67.88 %
Epoch 44, Train Accuracy: 79.12 %, Test Accuracy: 72.88 %
Epoch 45, Train Accuracy: 79.25 %, Test Accuracy: 71.94 %
