NODE=[HOST_3c1b003035] | JOB=i3a-1e5-s2 4700650 | AUGMENT=1
ARGS: --optimizer AdamW --alpha0 1e-5 --seed 2 --num-epochs 100 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --save-directory cluster/Account2/metaopt/runs/i3 --run-name i3a-1e5-s2
ENV: AUGMENT=1 BETA_CLIP=none HIER=none LAM=na ETA_RATIO=na COS_TOTAL=100000000 COS_WARMUP=0 SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA GeForce RTX 2080 Ti, 11264 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.98 %, Test Accuracy: 13.32 %
Epoch 1, Train Accuracy: 17.71 %, Test Accuracy: 22.71 %
Epoch 2, Train Accuracy: 28.03 %, Test Accuracy: 32.46 %
Epoch 3, Train Accuracy: 36.06 %, Test Accuracy: 39.39 %
Epoch 4, Train Accuracy: 40.72 %, Test Accuracy: 43.54 %
Epoch 5, Train Accuracy: 44.29 %, Test Accuracy: 46.47 %
Epoch 6, Train Accuracy: 47.40 %, Test Accuracy: 49.40 %
Epoch 7, Train Accuracy: 50.08 %, Test Accuracy: 52.11 %
Epoch 8, Train Accuracy: 52.48 %, Test Accuracy: 54.84 %
Epoch 9, Train Accuracy: 54.72 %, Test Accuracy: 56.25 %
Epoch 10, Train Accuracy: 56.57 %, Test Accuracy: 58.64 %
Epoch 11, Train Accuracy: 58.67 %, Test Accuracy: 59.87 %
Epoch 12, Train Accuracy: 60.32 %, Test Accuracy: 61.82 %
Epoch 13, Train Accuracy: 62.21 %, Test Accuracy: 63.64 %
Epoch 14, Train Accuracy: 63.75 %, Test Accuracy: 64.40 %
Epoch 15, Train Accuracy: 65.16 %, Test Accuracy: 66.36 %
Epoch 16, Train Accuracy: 66.41 %, Test Accuracy: 67.63 %
Epoch 17, Train Accuracy: 67.63 %, Test Accuracy: 68.12 %
Epoch 18, Train Accuracy: 68.50 %, Test Accuracy: 69.18 %
Epoch 19, Train Accuracy: 70.08 %, Test Accuracy: 70.14 %
Epoch 20, Train Accuracy: 71.01 %, Test Accuracy: 71.17 %
Epoch 21, Train Accuracy: 72.44 %, Test Accuracy: 71.65 %
Epoch 22, Train Accuracy: 73.16 %, Test Accuracy: 72.26 %
Epoch 23, Train Accuracy: 74.25 %, Test Accuracy: 72.37 %
Epoch 24, Train Accuracy: 75.17 %, Test Accuracy: 74.44 %
Epoch 25, Train Accuracy: 76.03 %, Test Accuracy: 75.36 %
Epoch 26, Train Accuracy: 76.75 %, Test Accuracy: 74.90 %
Epoch 27, Train Accuracy: 77.83 %, Test Accuracy: 76.34 %
Epoch 28, Train Accuracy: 78.63 %, Test Accuracy: 75.64 %
