NODE=[HOST_b0a55dfb8c] | JOB=i3a-3e4-s2 4700654 | AUGMENT=1
ARGS: --optimizer AdamW --alpha0 3e-4 --seed 2 --num-epochs 100 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --save-directory cluster/Account2/metaopt/runs/i3 --run-name i3a-3e4-s2
ENV: AUGMENT=1 BETA_CLIP=none HIER=none LAM=na ETA_RATIO=na COS_TOTAL=100000000 COS_WARMUP=0 SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA L4, 23034 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 27.70 %, Test Accuracy: 43.09 %
Epoch 1, Train Accuracy: 48.55 %, Test Accuracy: 55.53 %
Epoch 2, Train Accuracy: 58.46 %, Test Accuracy: 63.34 %
Epoch 3, Train Accuracy: 65.05 %, Test Accuracy: 66.25 %
Epoch 4, Train Accuracy: 70.47 %, Test Accuracy: 68.23 %
Epoch 5, Train Accuracy: 74.45 %, Test Accuracy: 75.83 %
Epoch 6, Train Accuracy: 77.59 %, Test Accuracy: 73.08 %
Epoch 7, Train Accuracy: 79.45 %, Test Accuracy: 74.93 %
Epoch 8, Train Accuracy: 81.28 %, Test Accuracy: 81.65 %
Epoch 9, Train Accuracy: 82.68 %, Test Accuracy: 78.99 %
Epoch 10, Train Accuracy: 83.79 %, Test Accuracy: 78.12 %
Epoch 11, Train Accuracy: 85.07 %, Test Accuracy: 77.57 %
Epoch 12, Train Accuracy: 85.55 %, Test Accuracy: 83.99 %
Epoch 13, Train Accuracy: 86.62 %, Test Accuracy: 83.68 %
Epoch 14, Train Accuracy: 87.34 %, Test Accuracy: 85.77 %
Epoch 15, Train Accuracy: 87.69 %, Test Accuracy: 83.23 %
Epoch 16, Train Accuracy: 88.42 %, Test Accuracy: 85.28 %
Epoch 17, Train Accuracy: 88.81 %, Test Accuracy: 83.42 %
Epoch 18, Train Accuracy: 89.39 %, Test Accuracy: 83.47 %
Epoch 19, Train Accuracy: 90.02 %, Test Accuracy: 83.04 %
Epoch 20, Train Accuracy: 90.43 %, Test Accuracy: 86.16 %
Epoch 21, Train Accuracy: 91.22 %, Test Accuracy: 84.88 %
Epoch 22, Train Accuracy: 91.66 %, Test Accuracy: 87.08 %
Epoch 23, Train Accuracy: 92.12 %, Test Accuracy: 88.49 %
Epoch 24, Train Accuracy: 92.66 %, Test Accuracy: 86.54 %
Epoch 25, Train Accuracy: 92.97 %, Test Accuracy: 88.85 %
Epoch 26, Train Accuracy: 93.30 %, Test Accuracy: 88.32 %
Epoch 27, Train Accuracy: 93.67 %, Test Accuracy: 89.09 %
Epoch 28, Train Accuracy: 93.99 %, Test Accuracy: 89.91 %
Epoch 29, Train Accuracy: 94.32 %, Test Accuracy: 88.02 %
Epoch 30, Train Accuracy: 94.56 %, Test Accuracy: 89.61 %
Epoch 31, Train Accuracy: 94.86 %, Test Accuracy: 90.47 %
Epoch 32, Train Accuracy: 95.17 %, Test Accuracy: 88.94 %
Epoch 33, Train Accuracy: 95.41 %, Test Accuracy: 90.94 %
Epoch 34, Train Accuracy: 95.52 %, Test Accuracy: 89.16 %
Epoch 35, Train Accuracy: 95.81 %, Test Accuracy: 90.64 %
Epoch 36, Train Accuracy: 96.07 %, Test Accuracy: 91.18 %
Epoch 37, Train Accuracy: 96.14 %, Test Accuracy: 90.40 %
Epoch 38, Train Accuracy: 96.26 %, Test Accuracy: 90.50 %
Epoch 39, Train Accuracy: 96.49 %, Test Accuracy: 91.25 %
Epoch 40, Train Accuracy: 96.54 %, Test Accuracy: 90.68 %
Epoch 41, Train Accuracy: 96.71 %, Test Accuracy: 91.32 %
Epoch 42, Train Accuracy: 96.74 %, Test Accuracy: 90.72 %
Epoch 43, Train Accuracy: 96.87 %, Test Accuracy: 90.78 %
Epoch 44, Train Accuracy: 97.03 %, Test Accuracy: 90.62 %
Epoch 45, Train Accuracy: 97.24 %, Test Accuracy: 90.91 %
Epoch 46, Train Accuracy: 97.21 %, Test Accuracy: 91.00 %
Epoch 47, Train Accuracy: 97.42 %, Test Accuracy: 91.35 %
Epoch 48, Train Accuracy: 97.43 %, Test Accuracy: 90.91 %
Epoch 49, Train Accuracy: 97.57 %, Test Accuracy: 91.36 %
Epoch 50, Train Accuracy: 97.54 %, Test Accuracy: 91.49 %
Epoch 51, Train Accuracy: 97.47 %, Test Accuracy: 91.80 %
Epoch 52, Train Accuracy: 97.71 %, Test Accuracy: 90.78 %
Epoch 53, Train Accuracy: 97.68 %, Test Accuracy: 91.57 %
