NODE=[HOST_bcfd0fc19c] | JOB=i3a300-1e5-s1 4700676 | AUGMENT=1
ARGS: --optimizer AdamW --alpha0 1e-5 --seed 1 --num-epochs 300 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --save-directory cluster/Account2/metaopt/runs/i3 --run-name i3a300-1e5-s1
ENV: AUGMENT=1 BETA_CLIP=none HIER=none LAM=na ETA_RATIO=na COS_TOTAL=100000000 COS_WARMUP=0 SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA L4, 23034 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.84 %, Test Accuracy: 13.56 %
Epoch 1, Train Accuracy: 19.71 %, Test Accuracy: 22.90 %
Epoch 2, Train Accuracy: 28.26 %, Test Accuracy: 32.25 %
Epoch 3, Train Accuracy: 35.30 %, Test Accuracy: 38.78 %
Epoch 4, Train Accuracy: 39.97 %, Test Accuracy: 43.41 %
Epoch 5, Train Accuracy: 43.99 %, Test Accuracy: 46.06 %
Epoch 6, Train Accuracy: 46.94 %, Test Accuracy: 49.10 %
Epoch 7, Train Accuracy: 49.34 %, Test Accuracy: 52.10 %
Epoch 8, Train Accuracy: 51.56 %, Test Accuracy: 54.08 %
Epoch 9, Train Accuracy: 53.84 %, Test Accuracy: 56.27 %
Epoch 10, Train Accuracy: 55.80 %, Test Accuracy: 57.56 %
Epoch 11, Train Accuracy: 57.42 %, Test Accuracy: 58.78 %
Epoch 12, Train Accuracy: 59.17 %, Test Accuracy: 60.43 %
Epoch 13, Train Accuracy: 60.80 %, Test Accuracy: 61.32 %
Epoch 14, Train Accuracy: 62.18 %, Test Accuracy: 62.10 %
Epoch 15, Train Accuracy: 63.85 %, Test Accuracy: 64.83 %
Epoch 16, Train Accuracy: 65.10 %, Test Accuracy: 65.14 %
Epoch 17, Train Accuracy: 66.47 %, Test Accuracy: 66.36 %
Epoch 18, Train Accuracy: 67.91 %, Test Accuracy: 67.45 %
Epoch 19, Train Accuracy: 68.69 %, Test Accuracy: 66.92 %
Epoch 20, Train Accuracy: 69.88 %, Test Accuracy: 68.92 %
Epoch 21, Train Accuracy: 71.44 %, Test Accuracy: 70.46 %
Epoch 22, Train Accuracy: 72.70 %, Test Accuracy: 70.99 %
Epoch 23, Train Accuracy: 73.47 %, Test Accuracy: 72.04 %
Epoch 24, Train Accuracy: 74.47 %, Test Accuracy: 72.25 %
Epoch 25, Train Accuracy: 75.58 %, Test Accuracy: 74.14 %
Epoch 26, Train Accuracy: 76.05 %, Test Accuracy: 73.86 %
Epoch 27, Train Accuracy: 77.25 %, Test Accuracy: 75.88 %
Epoch 28, Train Accuracy: 77.67 %, Test Accuracy: 75.68 %
Epoch 29, Train Accuracy: 78.42 %, Test Accuracy: 76.35 %
Epoch 30, Train Accuracy: 79.35 %, Test Accuracy: 76.76 %
Epoch 31, Train Accuracy: 79.99 %, Test Accuracy: 77.14 %
Epoch 32, Train Accuracy: 80.38 %, Test Accuracy: 77.59 %
Epoch 33, Train Accuracy: 81.32 %, Test Accuracy: 78.09 %
Epoch 34, Train Accuracy: 81.71 %, Test Accuracy: 78.50 %
Epoch 35, Train Accuracy: 82.24 %, Test Accuracy: 78.61 %
Epoch 36, Train Accuracy: 82.38 %, Test Accuracy: 78.76 %
Epoch 37, Train Accuracy: 83.09 %, Test Accuracy: 79.00 %
Epoch 38, Train Accuracy: 83.58 %, Test Accuracy: 78.90 %
Epoch 39, Train Accuracy: 84.13 %, Test Accuracy: 79.61 %
Epoch 40, Train Accuracy: 84.33 %, Test Accuracy: 79.83 %
Epoch 41, Train Accuracy: 84.86 %, Test Accuracy: 80.11 %
Epoch 42, Train Accuracy: 85.15 %, Test Accuracy: 80.76 %
Epoch 43, Train Accuracy: 85.70 %, Test Accuracy: 80.73 %
Epoch 44, Train Accuracy: 86.37 %, Test Accuracy: 80.90 %
Epoch 45, Train Accuracy: 86.53 %, Test Accuracy: 80.92 %
Epoch 46, Train Accuracy: 86.94 %, Test Accuracy: 81.14 %
Epoch 47, Train Accuracy: 87.23 %, Test Accuracy: 81.77 %
Epoch 48, Train Accuracy: 87.69 %, Test Accuracy: 81.13 %
Epoch 49, Train Accuracy: 87.90 %, Test Accuracy: 81.77 %
Epoch 50, Train Accuracy: 88.04 %, Test Accuracy: 81.38 %
Epoch 51, Train Accuracy: 88.46 %, Test Accuracy: 82.04 %
Epoch 52, Train Accuracy: 88.84 %, Test Accuracy: 81.97 %
Epoch 53, Train Accuracy: 88.83 %, Test Accuracy: 81.72 %
Epoch 54, Train Accuracy: 89.34 %, Test Accuracy: 82.31 %
Epoch 55, Train Accuracy: 89.80 %, Test Accuracy: 82.52 %
Epoch 56, Train Accuracy: 89.95 %, Test Accuracy: 82.25 %
Epoch 57, Train Accuracy: 90.31 %, Test Accuracy: 82.73 %
Epoch 58, Train Accuracy: 90.48 %, Test Accuracy: 82.65 %
Epoch 59, Train Accuracy: 90.75 %, Test Accuracy: 82.20 %
Epoch 60, Train Accuracy: 91.02 %, Test Accuracy: 82.38 %
Epoch 61, Train Accuracy: 91.43 %, Test Accuracy: 82.87 %
Epoch 62, Train Accuracy: 91.43 %, Test Accuracy: 82.67 %
Epoch 63, Train Accuracy: 91.58 %, Test Accuracy: 82.86 %
Epoch 64, Train Accuracy: 92.13 %, Test Accuracy: 82.74 %
Epoch 65, Train Accuracy: 92.18 %, Test Accuracy: 82.92 %
Epoch 66, Train Accuracy: 92.33 %, Test Accuracy: 83.48 %
Epoch 67, Train Accuracy: 92.56 %, Test Accuracy: 83.28 %
Epoch 68, Train Accuracy: 92.79 %, Test Accuracy: 82.83 %
Epoch 69, Train Accuracy: 93.03 %, Test Accuracy: 83.08 %
Epoch 70, Train Accuracy: 93.25 %, Test Accuracy: 82.97 %
Epoch 71, Train Accuracy: 93.38 %, Test Accuracy: 83.08 %
Epoch 72, Train Accuracy: 93.70 %, Test Accuracy: 82.84 %
Epoch 73, Train Accuracy: 93.77 %, Test Accuracy: 83.62 %
Epoch 74, Train Accuracy: 94.13 %, Test Accuracy: 83.41 %
Epoch 75, Train Accuracy: 93.95 %, Test Accuracy: 83.54 %
Epoch 76, Train Accuracy: 94.35 %, Test Accuracy: 83.46 %
Epoch 77, Train Accuracy: 94.47 %, Test Accuracy: 83.49 %
Epoch 78, Train Accuracy: 94.60 %, Test Accuracy: 83.87 %
Epoch 79, Train Accuracy: 94.85 %, Test Accuracy: 84.04 %
Epoch 80, Train Accuracy: 94.89 %, Test Accuracy: 83.77 %
Epoch 81, Train Accuracy: 95.21 %, Test Accuracy: 83.52 %
Epoch 82, Train Accuracy: 95.32 %, Test Accuracy: 83.49 %
Epoch 83, Train Accuracy: 95.51 %, Test Accuracy: 84.04 %
Epoch 84, Train Accuracy: 95.45 %, Test Accuracy: 84.00 %
Epoch 85, Train Accuracy: 95.68 %, Test Accuracy: 83.84 %
Epoch 86, Train Accuracy: 95.90 %, Test Accuracy: 84.49 %
Epoch 87, Train Accuracy: 95.73 %, Test Accuracy: 83.90 %
Epoch 88, Train Accuracy: 95.84 %, Test Accuracy: 84.46 %
Epoch 89, Train Accuracy: 96.18 %, Test Accuracy: 83.97 %
Epoch 90, Train Accuracy: 96.21 %, Test Accuracy: 84.07 %
Epoch 91, Train Accuracy: 96.40 %, Test Accuracy: 83.80 %
Epoch 92, Train Accuracy: 96.47 %, Test Accuracy: 84.09 %
Epoch 93, Train Accuracy: 96.45 %, Test Accuracy: 84.43 %
Epoch 94, Train Accuracy: 96.71 %, Test Accuracy: 84.20 %
Epoch 95, Train Accuracy: 96.59 %, Test Accuracy: 83.85 %
Epoch 96, Train Accuracy: 96.72 %, Test Accuracy: 84.06 %
Epoch 97, Train Accuracy: 97.07 %, Test Accuracy: 84.54 %
Epoch 98, Train Accuracy: 96.98 %, Test Accuracy: 84.00 %
Epoch 99, Train Accuracy: 97.07 %, Test Accuracy: 84.55 %
Epoch 100, Train Accuracy: 97.02 %, Test Accuracy: 84.86 %
Epoch 101, Train Accuracy: 97.27 %, Test Accuracy: 84.35 %
Epoch 102, Train Accuracy: 97.24 %, Test Accuracy: 84.53 %
Epoch 103, Train Accuracy: 97.24 %, Test Accuracy: 84.16 %
Epoch 104, Train Accuracy: 97.54 %, Test Accuracy: 84.65 %
Epoch 105, Train Accuracy: 97.46 %, Test Accuracy: 84.74 %
Epoch 106, Train Accuracy: 97.50 %, Test Accuracy: 84.80 %
Epoch 107, Train Accuracy: 97.70 %, Test Accuracy: 85.11 %
Epoch 108, Train Accuracy: 97.59 %, Test Accuracy: 84.66 %
Epoch 109, Train Accuracy: 97.59 %, Test Accuracy: 84.51 %
Epoch 110, Train Accuracy: 97.74 %, Test Accuracy: 85.19 %
Epoch 111, Train Accuracy: 97.97 %, Test Accuracy: 84.45 %
