NODE=[HOST_e223b82d71] | JOB=i3b-1e5-s1 4700637
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --alpha0 1e-5 --stepsize-groups resnet18_blocks --seed 1 --save-directory cluster/Account1/metaopt/runs/i3 --run-name i3b-1e5-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA L4, 23034 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 48.31 %, Test Accuracy: 58.26 %
Epoch 1, Train Accuracy: 65.15 %, Test Accuracy: 68.62 %
Epoch 2, Train Accuracy: 73.70 %, Test Accuracy: 75.82 %
Epoch 3, Train Accuracy: 78.23 %, Test Accuracy: 78.38 %
Epoch 4, Train Accuracy: 81.46 %, Test Accuracy: 80.46 %
Epoch 5, Train Accuracy: 83.24 %, Test Accuracy: 81.81 %
Epoch 6, Train Accuracy: 85.28 %, Test Accuracy: 82.43 %
Epoch 7, Train Accuracy: 86.45 %, Test Accuracy: 85.29 %
Epoch 8, Train Accuracy: 88.00 %, Test Accuracy: 81.38 %
Epoch 9, Train Accuracy: 88.49 %, Test Accuracy: 86.12 %
Epoch 10, Train Accuracy: 89.61 %, Test Accuracy: 85.54 %
Epoch 11, Train Accuracy: 90.51 %, Test Accuracy: 87.24 %
Epoch 12, Train Accuracy: 91.25 %, Test Accuracy: 86.66 %
Epoch 13, Train Accuracy: 91.84 %, Test Accuracy: 87.69 %
Epoch 14, Train Accuracy: 92.41 %, Test Accuracy: 87.53 %
Epoch 15, Train Accuracy: 92.88 %, Test Accuracy: 88.48 %
Epoch 16, Train Accuracy: 93.55 %, Test Accuracy: 88.87 %
Epoch 17, Train Accuracy: 93.88 %, Test Accuracy: 88.80 %
Epoch 18, Train Accuracy: 94.24 %, Test Accuracy: 89.29 %
Epoch 19, Train Accuracy: 94.54 %, Test Accuracy: 87.58 %
Epoch 20, Train Accuracy: 95.06 %, Test Accuracy: 89.12 %
Epoch 21, Train Accuracy: 95.36 %, Test Accuracy: 89.60 %
Epoch 22, Train Accuracy: 95.50 %, Test Accuracy: 88.76 %
Epoch 23, Train Accuracy: 95.69 %, Test Accuracy: 88.89 %
Epoch 24, Train Accuracy: 96.06 %, Test Accuracy: 89.72 %
Epoch 25, Train Accuracy: 96.26 %, Test Accuracy: 88.72 %
Epoch 26, Train Accuracy: 96.54 %, Test Accuracy: 89.22 %
Epoch 27, Train Accuracy: 96.66 %, Test Accuracy: 90.29 %
Epoch 28, Train Accuracy: 96.75 %, Test Accuracy: 90.49 %
Epoch 29, Train Accuracy: 97.00 %, Test Accuracy: 89.83 %
Epoch 30, Train Accuracy: 97.40 %, Test Accuracy: 90.16 %
Epoch 31, Train Accuracy: 97.36 %, Test Accuracy: 90.38 %
Epoch 32, Train Accuracy: 97.61 %, Test Accuracy: 90.19 %
Epoch 33, Train Accuracy: 97.83 %, Test Accuracy: 90.85 %
Epoch 34, Train Accuracy: 97.81 %, Test Accuracy: 90.70 %
Epoch 35, Train Accuracy: 97.85 %, Test Accuracy: 90.28 %
Epoch 36, Train Accuracy: 97.87 %, Test Accuracy: 90.38 %
Epoch 37, Train Accuracy: 98.12 %, Test Accuracy: 89.56 %
Epoch 38, Train Accuracy: 98.17 %, Test Accuracy: 90.35 %
Epoch 39, Train Accuracy: 98.29 %, Test Accuracy: 89.66 %
Epoch 40, Train Accuracy: 98.21 %, Test Accuracy: 91.03 %
Epoch 41, Train Accuracy: 98.50 %, Test Accuracy: 90.02 %
Epoch 42, Train Accuracy: 98.52 %, Test Accuracy: 90.61 %
Epoch 43, Train Accuracy: 98.58 %, Test Accuracy: 91.04 %
Epoch 44, Train Accuracy: 98.65 %, Test Accuracy: 90.92 %
Epoch 45, Train Accuracy: 98.71 %, Test Accuracy: 90.80 %
Epoch 46, Train Accuracy: 98.86 %, Test Accuracy: 91.17 %
Epoch 47, Train Accuracy: 98.63 %, Test Accuracy: 90.83 %
Epoch 48, Train Accuracy: 98.93 %, Test Accuracy: 90.96 %
Epoch 49, Train Accuracy: 98.89 %, Test Accuracy: 90.80 %
Epoch 50, Train Accuracy: 98.96 %, Test Accuracy: 90.90 %
Epoch 51, Train Accuracy: 99.02 %, Test Accuracy: 90.88 %
Epoch 52, Train Accuracy: 99.06 %, Test Accuracy: 90.68 %
Epoch 53, Train Accuracy: 99.08 %, Test Accuracy: 91.07 %
