NODE=[HOST_03eb56b6d1] | JOB=i3b-1e6-s1 4700635
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --alpha0 1e-6 --stepsize-groups resnet18_blocks --seed 1 --save-directory cluster/Account1/metaopt/runs/i3 --run-name i3b-1e6-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA L4, 23034 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 41.49 %, Test Accuracy: 51.88 %
Epoch 1, Train Accuracy: 60.67 %, Test Accuracy: 65.99 %
Epoch 2, Train Accuracy: 70.61 %, Test Accuracy: 70.99 %
Epoch 3, Train Accuracy: 76.53 %, Test Accuracy: 77.72 %
Epoch 4, Train Accuracy: 79.97 %, Test Accuracy: 80.09 %
Epoch 5, Train Accuracy: 82.08 %, Test Accuracy: 80.52 %
Epoch 6, Train Accuracy: 84.43 %, Test Accuracy: 83.07 %
Epoch 7, Train Accuracy: 85.96 %, Test Accuracy: 84.25 %
Epoch 8, Train Accuracy: 87.17 %, Test Accuracy: 80.67 %
Epoch 9, Train Accuracy: 88.18 %, Test Accuracy: 86.51 %
Epoch 10, Train Accuracy: 89.21 %, Test Accuracy: 86.28 %
Epoch 11, Train Accuracy: 90.12 %, Test Accuracy: 87.07 %
Epoch 12, Train Accuracy: 90.68 %, Test Accuracy: 86.93 %
Epoch 13, Train Accuracy: 91.46 %, Test Accuracy: 87.88 %
Epoch 14, Train Accuracy: 92.07 %, Test Accuracy: 87.61 %
Epoch 15, Train Accuracy: 92.61 %, Test Accuracy: 88.47 %
Epoch 16, Train Accuracy: 93.00 %, Test Accuracy: 89.16 %
Epoch 17, Train Accuracy: 93.62 %, Test Accuracy: 88.86 %
Epoch 18, Train Accuracy: 94.01 %, Test Accuracy: 88.88 %
Epoch 19, Train Accuracy: 94.48 %, Test Accuracy: 88.22 %
Epoch 20, Train Accuracy: 94.70 %, Test Accuracy: 88.56 %
Epoch 21, Train Accuracy: 95.26 %, Test Accuracy: 89.61 %
Epoch 22, Train Accuracy: 95.36 %, Test Accuracy: 89.45 %
Epoch 23, Train Accuracy: 95.61 %, Test Accuracy: 89.15 %
Epoch 24, Train Accuracy: 95.93 %, Test Accuracy: 89.55 %
Epoch 25, Train Accuracy: 96.15 %, Test Accuracy: 90.30 %
Epoch 26, Train Accuracy: 96.71 %, Test Accuracy: 88.41 %
Epoch 27, Train Accuracy: 96.53 %, Test Accuracy: 89.96 %
Epoch 28, Train Accuracy: 96.59 %, Test Accuracy: 90.27 %
Epoch 29, Train Accuracy: 97.10 %, Test Accuracy: 89.76 %
Epoch 30, Train Accuracy: 97.34 %, Test Accuracy: 89.87 %
Epoch 31, Train Accuracy: 97.25 %, Test Accuracy: 89.94 %
Epoch 32, Train Accuracy: 97.25 %, Test Accuracy: 90.21 %
Epoch 33, Train Accuracy: 97.66 %, Test Accuracy: 89.99 %
Epoch 34, Train Accuracy: 97.82 %, Test Accuracy: 89.54 %
Epoch 35, Train Accuracy: 97.86 %, Test Accuracy: 89.85 %
Epoch 36, Train Accuracy: 97.99 %, Test Accuracy: 90.19 %
Epoch 37, Train Accuracy: 98.20 %, Test Accuracy: 89.45 %
Epoch 38, Train Accuracy: 98.25 %, Test Accuracy: 89.78 %
Epoch 39, Train Accuracy: 98.25 %, Test Accuracy: 89.97 %
Epoch 40, Train Accuracy: 98.55 %, Test Accuracy: 90.05 %
Epoch 41, Train Accuracy: 98.44 %, Test Accuracy: 90.12 %
Epoch 42, Train Accuracy: 98.50 %, Test Accuracy: 90.73 %
Epoch 43, Train Accuracy: 98.62 %, Test Accuracy: 90.75 %
Epoch 44, Train Accuracy: 98.52 %, Test Accuracy: 90.54 %
Epoch 45, Train Accuracy: 98.77 %, Test Accuracy: 90.84 %
Epoch 46, Train Accuracy: 98.71 %, Test Accuracy: 90.62 %
Epoch 47, Train Accuracy: 98.84 %, Test Accuracy: 90.92 %
Epoch 48, Train Accuracy: 98.81 %, Test Accuracy: 90.28 %
Epoch 49, Train Accuracy: 98.93 %, Test Accuracy: 90.70 %
Epoch 50, Train Accuracy: 98.97 %, Test Accuracy: 90.68 %
Epoch 51, Train Accuracy: 98.99 %, Test Accuracy: 90.55 %
Epoch 52, Train Accuracy: 98.94 %, Test Accuracy: 90.16 %
Epoch 53, Train Accuracy: 99.13 %, Test Accuracy: 90.46 %
Epoch 54, Train Accuracy: 98.95 %, Test Accuracy: 90.39 %
Epoch 55, Train Accuracy: 99.15 %, Test Accuracy: 90.86 %
Epoch 56, Train Accuracy: 99.01 %, Test Accuracy: 91.14 %
Epoch 57, Train Accuracy: 99.29 %, Test Accuracy: 90.85 %
Epoch 58, Train Accuracy: 99.19 %, Test Accuracy: 90.66 %
Epoch 59, Train Accuracy: 99.28 %, Test Accuracy: 91.08 %
Epoch 60, Train Accuracy: 99.17 %, Test Accuracy: 91.08 %
Epoch 61, Train Accuracy: 99.26 %, Test Accuracy: 90.67 %
Epoch 62, Train Accuracy: 99.26 %, Test Accuracy: 90.80 %
Epoch 63, Train Accuracy: 99.32 %, Test Accuracy: 89.52 %
Epoch 64, Train Accuracy: 99.19 %, Test Accuracy: 91.09 %
Epoch 65, Train Accuracy: 99.39 %, Test Accuracy: 91.25 %
Epoch 66, Train Accuracy: 99.30 %, Test Accuracy: 90.40 %
Epoch 67, Train Accuracy: 99.26 %, Test Accuracy: 90.83 %
Epoch 68, Train Accuracy: 99.44 %, Test Accuracy: 91.09 %
Epoch 69, Train Accuracy: 99.40 %, Test Accuracy: 90.85 %
Epoch 70, Train Accuracy: 99.33 %, Test Accuracy: 91.25 %
Epoch 71, Train Accuracy: 99.41 %, Test Accuracy: 91.11 %
Epoch 72, Train Accuracy: 99.46 %, Test Accuracy: 90.84 %
Epoch 73, Train Accuracy: 99.39 %, Test Accuracy: 91.10 %
Epoch 74, Train Accuracy: 99.39 %, Test Accuracy: 91.27 %
Epoch 75, Train Accuracy: 99.50 %, Test Accuracy: 90.93 %
Epoch 76, Train Accuracy: 99.51 %, Test Accuracy: 90.99 %
Epoch 77, Train Accuracy: 99.48 %, Test Accuracy: 91.58 %
Epoch 78, Train Accuracy: 99.46 %, Test Accuracy: 90.75 %
Epoch 79, Train Accuracy: 99.53 %, Test Accuracy: 91.32 %
Epoch 80, Train Accuracy: 99.43 %, Test Accuracy: 91.48 %
Epoch 81, Train Accuracy: 99.61 %, Test Accuracy: 91.21 %
