NODE=[HOST_bcfd0fc19c] | JOB=i3b-3e4-s1 4700641
ARGS: --optimizer HF --alg-base AdamW --normalizer-param-base 0.999 --momentum-param-base 0.9 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --meta-stepsize 1e-3 --gamma 1 --NN-name ResNet18 --dataset CIFAR10 --num-epochs 100 --batch-size 100 --max-time 999:00:00 --alpha0 3e-4 --stepsize-groups resnet18_blocks --seed 1 --save-directory cluster/Account1/metaopt/runs/i3 --run-name i3b-3e4-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA L4, 23034 MiB

args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 45.10 %, Test Accuracy: 55.69 %
Epoch 1, Train Accuracy: 64.55 %, Test Accuracy: 67.81 %
Epoch 2, Train Accuracy: 73.09 %, Test Accuracy: 74.04 %
Epoch 3, Train Accuracy: 77.90 %, Test Accuracy: 79.45 %
Epoch 4, Train Accuracy: 80.60 %, Test Accuracy: 80.22 %
Epoch 5, Train Accuracy: 82.39 %, Test Accuracy: 81.71 %
Epoch 6, Train Accuracy: 83.97 %, Test Accuracy: 81.83 %
Epoch 7, Train Accuracy: 85.12 %, Test Accuracy: 81.43 %
Epoch 8, Train Accuracy: 85.81 %, Test Accuracy: 81.01 %
Epoch 9, Train Accuracy: 86.50 %, Test Accuracy: 83.63 %
Epoch 10, Train Accuracy: 87.36 %, Test Accuracy: 83.59 %
Epoch 11, Train Accuracy: 88.18 %, Test Accuracy: 85.93 %
Epoch 12, Train Accuracy: 88.70 %, Test Accuracy: 85.48 %
Epoch 13, Train Accuracy: 89.11 %, Test Accuracy: 86.86 %
Epoch 14, Train Accuracy: 90.05 %, Test Accuracy: 84.37 %
Epoch 15, Train Accuracy: 90.32 %, Test Accuracy: 88.22 %
Epoch 16, Train Accuracy: 91.04 %, Test Accuracy: 88.72 %
Epoch 17, Train Accuracy: 91.85 %, Test Accuracy: 88.48 %
Epoch 18, Train Accuracy: 92.51 %, Test Accuracy: 88.74 %
Epoch 19, Train Accuracy: 93.33 %, Test Accuracy: 88.29 %
Epoch 20, Train Accuracy: 93.78 %, Test Accuracy: 89.27 %
Epoch 21, Train Accuracy: 94.25 %, Test Accuracy: 89.69 %
Epoch 22, Train Accuracy: 95.01 %, Test Accuracy: 90.05 %
Epoch 23, Train Accuracy: 95.54 %, Test Accuracy: 90.58 %
Epoch 24, Train Accuracy: 96.01 %, Test Accuracy: 90.81 %
Epoch 25, Train Accuracy: 96.35 %, Test Accuracy: 90.68 %
Epoch 26, Train Accuracy: 96.74 %, Test Accuracy: 90.86 %
Epoch 27, Train Accuracy: 96.94 %, Test Accuracy: 91.31 %
Epoch 28, Train Accuracy: 97.48 %, Test Accuracy: 91.53 %
Epoch 29, Train Accuracy: 97.68 %, Test Accuracy: 91.11 %
Epoch 30, Train Accuracy: 98.03 %, Test Accuracy: 91.40 %
Epoch 31, Train Accuracy: 98.03 %, Test Accuracy: 91.69 %
Epoch 32, Train Accuracy: 98.06 %, Test Accuracy: 91.94 %
Epoch 33, Train Accuracy: 98.56 %, Test Accuracy: 92.20 %
Epoch 34, Train Accuracy: 98.64 %, Test Accuracy: 91.76 %
Epoch 35, Train Accuracy: 98.84 %, Test Accuracy: 92.16 %
Epoch 36, Train Accuracy: 98.88 %, Test Accuracy: 92.06 %
Epoch 37, Train Accuracy: 98.87 %, Test Accuracy: 91.70 %
Epoch 38, Train Accuracy: 99.00 %, Test Accuracy: 91.76 %
Epoch 39, Train Accuracy: 99.07 %, Test Accuracy: 92.39 %
Epoch 40, Train Accuracy: 99.21 %, Test Accuracy: 92.38 %
Epoch 41, Train Accuracy: 99.27 %, Test Accuracy: 92.60 %
Epoch 42, Train Accuracy: 99.24 %, Test Accuracy: 92.16 %
Epoch 43, Train Accuracy: 99.29 %, Test Accuracy: 92.51 %
Epoch 44, Train Accuracy: 99.30 %, Test Accuracy: 92.23 %
Epoch 45, Train Accuracy: 99.45 %, Test Accuracy: 92.51 %
Epoch 46, Train Accuracy: 99.61 %, Test Accuracy: 93.04 %
Epoch 47, Train Accuracy: 99.55 %, Test Accuracy: 93.08 %
Epoch 48, Train Accuracy: 99.58 %, Test Accuracy: 92.99 %
Epoch 49, Train Accuracy: 99.66 %, Test Accuracy: 92.73 %
Epoch 50, Train Accuracy: 99.66 %, Test Accuracy: 92.70 %
Epoch 51, Train Accuracy: 99.68 %, Test Accuracy: 92.88 %
Epoch 52, Train Accuracy: 99.77 %, Test Accuracy: 93.15 %
Epoch 53, Train Accuracy: 99.75 %, Test Accuracy: 92.74 %
Epoch 54, Train Accuracy: 99.73 %, Test Accuracy: 93.19 %
Epoch 55, Train Accuracy: 99.71 %, Test Accuracy: 92.79 %
Epoch 56, Train Accuracy: 99.72 %, Test Accuracy: 92.82 %
Epoch 57, Train Accuracy: 99.79 %, Test Accuracy: 93.31 %
Epoch 58, Train Accuracy: 99.79 %, Test Accuracy: 93.15 %
Epoch 59, Train Accuracy: 99.81 %, Test Accuracy: 93.08 %
Epoch 60, Train Accuracy: 99.86 %, Test Accuracy: 92.92 %
Epoch 61, Train Accuracy: 99.82 %, Test Accuracy: 92.94 %
Epoch 62, Train Accuracy: 99.85 %, Test Accuracy: 92.84 %
Epoch 63, Train Accuracy: 99.84 %, Test Accuracy: 93.21 %
Epoch 64, Train Accuracy: 99.82 %, Test Accuracy: 93.07 %
Epoch 65, Train Accuracy: 99.79 %, Test Accuracy: 92.80 %
