NODE=[HOST_3c1b003035] | JOB=i3c-1e6-s1 4700695
ARGS: --optimizer AdamW --alpha0 1e-6 --seed 1 --num-epochs 100 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --save-directory cluster/Account1/metaopt/runs/i3c --run-name i3c-1e6-s1
ENV: AUGMENT=1 BETA_CLIP=none HIER=none LAM=na ETA_RATIO=na COS_TOTAL=50000 COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=0 PROBE_DIR=none
NVIDIA GeForce RTX 2080 Ti, 11264 MiB
Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.72 %, Test Accuracy: 9.96 %
Epoch 1, Train Accuracy: 10.17 %, Test Accuracy: 10.36 %
Epoch 2, Train Accuracy: 12.03 %, Test Accuracy: 13.08 %
Epoch 3, Train Accuracy: 15.79 %, Test Accuracy: 16.93 %
Epoch 4, Train Accuracy: 19.24 %, Test Accuracy: 19.26 %
Epoch 5, Train Accuracy: 21.98 %, Test Accuracy: 22.11 %
Epoch 6, Train Accuracy: 24.68 %, Test Accuracy: 24.79 %
Epoch 7, Train Accuracy: 27.47 %, Test Accuracy: 28.28 %
Epoch 8, Train Accuracy: 30.16 %, Test Accuracy: 31.19 %
Epoch 9, Train Accuracy: 32.41 %, Test Accuracy: 33.52 %
Epoch 10, Train Accuracy: 34.41 %, Test Accuracy: 35.66 %
Epoch 11, Train Accuracy: 35.97 %, Test Accuracy: 37.97 %
Epoch 12, Train Accuracy: 37.52 %, Test Accuracy: 39.80 %
Epoch 13, Train Accuracy: 39.29 %, Test Accuracy: 41.01 %
Epoch 14, Train Accuracy: 40.82 %, Test Accuracy: 42.78 %
Epoch 15, Train Accuracy: 41.89 %, Test Accuracy: 43.69 %
Epoch 16, Train Accuracy: 43.24 %, Test Accuracy: 45.23 %
Epoch 17, Train Accuracy: 44.10 %, Test Accuracy: 45.71 %
Epoch 18, Train Accuracy: 44.87 %, Test Accuracy: 46.66 %
Epoch 19, Train Accuracy: 46.12 %, Test Accuracy: 47.73 %
Epoch 20, Train Accuracy: 47.08 %, Test Accuracy: 48.29 %
Epoch 21, Train Accuracy: 47.91 %, Test Accuracy: 48.67 %
Epoch 22, Train Accuracy: 48.63 %, Test Accuracy: 49.80 %
Epoch 23, Train Accuracy: 49.16 %, Test Accuracy: 50.67 %
Epoch 24, Train Accuracy: 49.88 %, Test Accuracy: 51.11 %
Epoch 25, Train Accuracy: 50.42 %, Test Accuracy: 51.91 %
Epoch 26, Train Accuracy: 50.93 %, Test Accuracy: 52.37 %
Epoch 27, Train Accuracy: 51.34 %, Test Accuracy: 52.72 %
Epoch 28, Train Accuracy: 51.85 %, Test Accuracy: 53.36 %
Epoch 29, Train Accuracy: 52.53 %, Test Accuracy: 53.78 %
Epoch 30, Train Accuracy: 52.90 %, Test Accuracy: 54.49 %
Epoch 31, Train Accuracy: 53.49 %, Test Accuracy: 54.81 %
Epoch 32, Train Accuracy: 53.85 %, Test Accuracy: 55.28 %
Epoch 33, Train Accuracy: 54.34 %, Test Accuracy: 55.63 %
Epoch 34, Train Accuracy: 54.69 %, Test Accuracy: 56.14 %
Epoch 35, Train Accuracy: 55.27 %, Test Accuracy: 56.39 %
Epoch 36, Train Accuracy: 55.39 %, Test Accuracy: 56.61 %
Epoch 37, Train Accuracy: 55.67 %, Test Accuracy: 56.77 %
Epoch 38, Train Accuracy: 55.97 %, Test Accuracy: 57.42 %
Epoch 39, Train Accuracy: 56.41 %, Test Accuracy: 57.53 %
Epoch 40, Train Accuracy: 56.54 %, Test Accuracy: 57.76 %
Epoch 41, Train Accuracy: 56.73 %, Test Accuracy: 57.83 %
Epoch 42, Train Accuracy: 56.84 %, Test Accuracy: 58.22 %
Epoch 43, Train Accuracy: 57.58 %, Test Accuracy: 58.17 %
Epoch 44, Train Accuracy: 57.71 %, Test Accuracy: 58.59 %
Epoch 45, Train Accuracy: 57.94 %, Test Accuracy: 58.95 %
Epoch 46, Train Accuracy: 58.05 %, Test Accuracy: 59.13 %
Epoch 47, Train Accuracy: 58.28 %, Test Accuracy: 59.17 %
Epoch 48, Train Accuracy: 58.64 %, Test Accuracy: 59.65 %
Epoch 49, Train Accuracy: 58.98 %, Test Accuracy: 59.89 %
Epoch 50, Train Accuracy: 58.97 %, Test Accuracy: 59.93 %
Epoch 51, Train Accuracy: 59.36 %, Test Accuracy: 60.22 %
Epoch 52, Train Accuracy: 59.53 %, Test Accuracy: 60.28 %
Epoch 53, Train Accuracy: 59.57 %, Test Accuracy: 60.36 %
Epoch 54, Train Accuracy: 59.71 %, Test Accuracy: 60.54 %
Epoch 55, Train Accuracy: 60.09 %, Test Accuracy: 60.58 %
Epoch 56, Train Accuracy: 59.96 %, Test Accuracy: 60.85 %
Epoch 57, Train Accuracy: 60.25 %, Test Accuracy: 60.98 %
Epoch 58, Train Accuracy: 60.31 %, Test Accuracy: 60.86 %
Epoch 59, Train Accuracy: 60.68 %, Test Accuracy: 61.37 %
Epoch 60, Train Accuracy: 60.82 %, Test Accuracy: 61.36 %
Epoch 61, Train Accuracy: 60.87 %, Test Accuracy: 61.45 %
Epoch 62, Train Accuracy: 61.12 %, Test Accuracy: 61.53 %
Epoch 63, Train Accuracy: 61.07 %, Test Accuracy: 61.38 %
Epoch 64, Train Accuracy: 61.28 %, Test Accuracy: 61.95 %
Epoch 65, Train Accuracy: 61.29 %, Test Accuracy: 61.82 %
Epoch 66, Train Accuracy: 61.38 %, Test Accuracy: 61.96 %
Epoch 67, Train Accuracy: 61.57 %, Test Accuracy: 62.11 %
Epoch 68, Train Accuracy: 61.62 %, Test Accuracy: 62.14 %
Epoch 69, Train Accuracy: 61.36 %, Test Accuracy: 62.14 %
Epoch 70, Train Accuracy: 61.88 %, Test Accuracy: 62.37 %
Epoch 71, Train Accuracy: 61.81 %, Test Accuracy: 62.37 %
Epoch 72, Train Accuracy: 62.02 %, Test Accuracy: 62.20 %
Epoch 73, Train Accuracy: 62.04 %, Test Accuracy: 62.25 %
Epoch 74, Train Accuracy: 61.85 %, Test Accuracy: 62.14 %
Epoch 75, Train Accuracy: 61.92 %, Test Accuracy: 62.50 %
Epoch 76, Train Accuracy: 62.04 %, Test Accuracy: 62.50 %
Epoch 77, Train Accuracy: 61.93 %, Test Accuracy: 62.63 %
Epoch 78, Train Accuracy: 62.25 %, Test Accuracy: 62.48 %
