NODE=[HOST_e8d809bd94] | JOB=kb-c10-r003-s1 4685572
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups resnet18_blocks --seed 1 --save-directory cluster/Account1/metaopt/runs/kb6 --run-name kb-c10-r003-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=0 ETA_RATIO=0.03 COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.53 %, Test Accuracy: 30.59 %
Epoch 1, Train Accuracy: 37.22 %, Test Accuracy: 42.57 %
Epoch 2, Train Accuracy: 45.37 %, Test Accuracy: 48.77 %
Epoch 3, Train Accuracy: 51.82 %, Test Accuracy: 54.50 %
Epoch 4, Train Accuracy: 57.77 %, Test Accuracy: 59.99 %
Epoch 5, Train Accuracy: 63.13 %, Test Accuracy: 65.36 %
Epoch 6, Train Accuracy: 66.99 %, Test Accuracy: 67.62 %
Epoch 7, Train Accuracy: 70.93 %, Test Accuracy: 70.07 %
Epoch 8, Train Accuracy: 74.04 %, Test Accuracy: 75.48 %
Epoch 9, Train Accuracy: 77.16 %, Test Accuracy: 75.28 %
Epoch 10, Train Accuracy: 78.98 %, Test Accuracy: 79.80 %
Epoch 11, Train Accuracy: 80.82 %, Test Accuracy: 80.69 %
Epoch 12, Train Accuracy: 82.61 %, Test Accuracy: 81.31 %
Epoch 13, Train Accuracy: 83.70 %, Test Accuracy: 82.34 %
Epoch 14, Train Accuracy: 85.00 %, Test Accuracy: 83.62 %
Epoch 15, Train Accuracy: 85.99 %, Test Accuracy: 84.56 %
Epoch 16, Train Accuracy: 86.84 %, Test Accuracy: 85.17 %
Epoch 17, Train Accuracy: 87.38 %, Test Accuracy: 83.41 %
Epoch 18, Train Accuracy: 87.77 %, Test Accuracy: 85.09 %
Epoch 19, Train Accuracy: 88.92 %, Test Accuracy: 85.29 %
Epoch 20, Train Accuracy: 89.08 %, Test Accuracy: 86.04 %
Epoch 21, Train Accuracy: 89.77 %, Test Accuracy: 87.50 %
Epoch 22, Train Accuracy: 90.29 %, Test Accuracy: 87.51 %
Epoch 23, Train Accuracy: 90.82 %, Test Accuracy: 87.75 %
Epoch 24, Train Accuracy: 91.40 %, Test Accuracy: 88.50 %
Epoch 25, Train Accuracy: 91.71 %, Test Accuracy: 88.17 %
Epoch 26, Train Accuracy: 92.33 %, Test Accuracy: 88.67 %
Epoch 27, Train Accuracy: 92.62 %, Test Accuracy: 88.19 %
Epoch 28, Train Accuracy: 93.03 %, Test Accuracy: 89.49 %
Epoch 29, Train Accuracy: 93.45 %, Test Accuracy: 88.98 %
Epoch 30, Train Accuracy: 93.92 %, Test Accuracy: 89.74 %
Epoch 31, Train Accuracy: 94.19 %, Test Accuracy: 89.61 %
Epoch 32, Train Accuracy: 94.46 %, Test Accuracy: 89.98 %
Epoch 33, Train Accuracy: 94.88 %, Test Accuracy: 89.98 %
Epoch 34, Train Accuracy: 95.25 %, Test Accuracy: 89.48 %
Epoch 35, Train Accuracy: 95.26 %, Test Accuracy: 90.26 %
Epoch 36, Train Accuracy: 95.68 %, Test Accuracy: 90.41 %
Epoch 37, Train Accuracy: 95.80 %, Test Accuracy: 89.99 %
Epoch 38, Train Accuracy: 95.84 %, Test Accuracy: 90.05 %
Epoch 39, Train Accuracy: 96.12 %, Test Accuracy: 89.98 %
Epoch 40, Train Accuracy: 96.27 %, Test Accuracy: 90.77 %
Epoch 41, Train Accuracy: 96.66 %, Test Accuracy: 90.86 %
Epoch 42, Train Accuracy: 96.64 %, Test Accuracy: 90.52 %
Epoch 43, Train Accuracy: 96.95 %, Test Accuracy: 90.74 %
Epoch 44, Train Accuracy: 97.02 %, Test Accuracy: 90.62 %
Epoch 45, Train Accuracy: 97.05 %, Test Accuracy: 90.87 %
Epoch 46, Train Accuracy: 97.33 %, Test Accuracy: 91.04 %
Epoch 47, Train Accuracy: 97.27 %, Test Accuracy: 90.81 %
Epoch 48, Train Accuracy: 97.63 %, Test Accuracy: 90.13 %
Epoch 49, Train Accuracy: 97.69 %, Test Accuracy: 91.08 %
Epoch 50, Train Accuracy: 98.02 %, Test Accuracy: 91.00 %
Epoch 51, Train Accuracy: 97.81 %, Test Accuracy: 91.07 %
Epoch 52, Train Accuracy: 98.02 %, Test Accuracy: 91.27 %
Epoch 53, Train Accuracy: 98.05 %, Test Accuracy: 91.10 %
Epoch 54, Train Accuracy: 98.20 %, Test Accuracy: 90.77 %
Epoch 55, Train Accuracy: 98.38 %, Test Accuracy: 91.17 %
Epoch 56, Train Accuracy: 98.24 %, Test Accuracy: 90.32 %
Epoch 57, Train Accuracy: 98.42 %, Test Accuracy: 91.40 %
Epoch 58, Train Accuracy: 98.35 %, Test Accuracy: 91.14 %
Epoch 59, Train Accuracy: 98.64 %, Test Accuracy: 90.99 %
Epoch 60, Train Accuracy: 98.64 %, Test Accuracy: 91.69 %
Epoch 61, Train Accuracy: 98.60 %, Test Accuracy: 91.21 %
Epoch 62, Train Accuracy: 98.74 %, Test Accuracy: 91.27 %
Epoch 63, Train Accuracy: 98.73 %, Test Accuracy: 91.18 %
Epoch 64, Train Accuracy: 98.78 %, Test Accuracy: 91.44 %
Epoch 65, Train Accuracy: 98.92 %, Test Accuracy: 91.60 %
Epoch 66, Train Accuracy: 99.02 %, Test Accuracy: 91.55 %
Epoch 67, Train Accuracy: 99.01 %, Test Accuracy: 91.54 %
Epoch 68, Train Accuracy: 99.05 %, Test Accuracy: 91.36 %
Epoch 69, Train Accuracy: 99.10 %, Test Accuracy: 91.51 %
Epoch 70, Train Accuracy: 99.05 %, Test Accuracy: 91.29 %
Epoch 71, Train Accuracy: 99.14 %, Test Accuracy: 91.52 %
Epoch 72, Train Accuracy: 99.22 %, Test Accuracy: 91.90 %
Epoch 73, Train Accuracy: 99.29 %, Test Accuracy: 91.92 %
Epoch 74, Train Accuracy: 99.28 %, Test Accuracy: 91.57 %
Epoch 75, Train Accuracy: 99.33 %, Test Accuracy: 91.46 %
Epoch 76, Train Accuracy: 99.30 %, Test Accuracy: 91.65 %
Epoch 77, Train Accuracy: 99.38 %, Test Accuracy: 91.51 %
Epoch 78, Train Accuracy: 99.31 %, Test Accuracy: 91.85 %
Epoch 79, Train Accuracy: 99.39 %, Test Accuracy: 91.59 %
Epoch 80, Train Accuracy: 99.43 %, Test Accuracy: 91.68 %
Epoch 81, Train Accuracy: 99.49 %, Test Accuracy: 91.69 %
Epoch 82, Train Accuracy: 99.48 %, Test Accuracy: 91.81 %
Epoch 83, Train Accuracy: 99.52 %, Test Accuracy: 91.73 %
Epoch 84, Train Accuracy: 99.58 %, Test Accuracy: 91.58 %
Epoch 85, Train Accuracy: 99.57 %, Test Accuracy: 91.47 %
Epoch 86, Train Accuracy: 99.57 %, Test Accuracy: 91.82 %
Epoch 87, Train Accuracy: 99.50 %, Test Accuracy: 91.82 %
Epoch 88, Train Accuracy: 99.58 %, Test Accuracy: 91.66 %
Epoch 89, Train Accuracy: 99.58 %, Test Accuracy: 91.84 %
Epoch 90, Train Accuracy: 99.62 %, Test Accuracy: 91.80 %
Epoch 91, Train Accuracy: 99.64 %, Test Accuracy: 91.86 %
Epoch 92, Train Accuracy: 99.61 %, Test Accuracy: 91.88 %
Epoch 93, Train Accuracy: 99.66 %, Test Accuracy: 92.02 %
Epoch 94, Train Accuracy: 99.68 %, Test Accuracy: 91.86 %
Epoch 95, Train Accuracy: 99.65 %, Test Accuracy: 91.69 %
Epoch 96, Train Accuracy: 99.65 %, Test Accuracy: 91.82 %
Epoch 97, Train Accuracy: 99.70 %, Test Accuracy: 91.88 %
Epoch 98, Train Accuracy: 99.69 %, Test Accuracy: 91.81 %
Epoch 99, Train Accuracy: 99.69 %, Test Accuracy: 91.84 %
42  minutes
RUN_DONE
