NODE=[HOST_bcfd0fc19c] | JOB=kb-c100-r0-s0 4685563
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups resnet18_blocks --seed 0 --save-directory cluster/Account1/metaopt/runs/kb6 --run-name kb-c100-r0-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=0 ETA_RATIO=0 COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.12 %, Test Accuracy: 5.74 %
Epoch 1, Train Accuracy: 7.46 %, Test Accuracy: 9.40 %
Epoch 2, Train Accuracy: 10.17 %, Test Accuracy: 11.40 %
Epoch 3, Train Accuracy: 12.39 %, Test Accuracy: 12.54 %
Epoch 4, Train Accuracy: 14.44 %, Test Accuracy: 15.45 %
Epoch 5, Train Accuracy: 15.75 %, Test Accuracy: 16.85 %
Epoch 6, Train Accuracy: 17.08 %, Test Accuracy: 18.38 %
Epoch 7, Train Accuracy: 18.48 %, Test Accuracy: 18.60 %
Epoch 8, Train Accuracy: 19.69 %, Test Accuracy: 19.27 %
Epoch 9, Train Accuracy: 20.49 %, Test Accuracy: 21.48 %
Epoch 10, Train Accuracy: 21.52 %, Test Accuracy: 21.72 %
Epoch 11, Train Accuracy: 22.45 %, Test Accuracy: 23.50 %
Epoch 12, Train Accuracy: 23.25 %, Test Accuracy: 23.31 %
Epoch 13, Train Accuracy: 23.77 %, Test Accuracy: 23.96 %
Epoch 14, Train Accuracy: 24.51 %, Test Accuracy: 24.50 %
Epoch 15, Train Accuracy: 24.72 %, Test Accuracy: 24.67 %
Epoch 16, Train Accuracy: 25.17 %, Test Accuracy: 25.17 %
Epoch 17, Train Accuracy: 25.48 %, Test Accuracy: 25.19 %
Epoch 18, Train Accuracy: 25.70 %, Test Accuracy: 25.78 %
Epoch 19, Train Accuracy: 26.29 %, Test Accuracy: 26.33 %
Epoch 20, Train Accuracy: 26.44 %, Test Accuracy: 26.18 %
Epoch 21, Train Accuracy: 26.86 %, Test Accuracy: 26.27 %
Epoch 22, Train Accuracy: 27.23 %, Test Accuracy: 27.15 %
Epoch 23, Train Accuracy: 27.33 %, Test Accuracy: 26.45 %
Epoch 24, Train Accuracy: 27.34 %, Test Accuracy: 26.93 %
Epoch 25, Train Accuracy: 27.64 %, Test Accuracy: 27.25 %
Epoch 26, Train Accuracy: 27.71 %, Test Accuracy: 26.96 %
Epoch 27, Train Accuracy: 27.85 %, Test Accuracy: 26.68 %
Epoch 28, Train Accuracy: 28.01 %, Test Accuracy: 26.61 %
Epoch 29, Train Accuracy: 28.07 %, Test Accuracy: 27.07 %
Epoch 30, Train Accuracy: 28.15 %, Test Accuracy: 27.20 %
Epoch 31, Train Accuracy: 27.94 %, Test Accuracy: 27.26 %
Epoch 32, Train Accuracy: 28.16 %, Test Accuracy: 27.21 %
Epoch 33, Train Accuracy: 28.31 %, Test Accuracy: 27.59 %
Epoch 34, Train Accuracy: 28.47 %, Test Accuracy: 27.69 %
Epoch 35, Train Accuracy: 28.45 %, Test Accuracy: 27.42 %
Epoch 36, Train Accuracy: 28.62 %, Test Accuracy: 27.12 %
Epoch 37, Train Accuracy: 28.72 %, Test Accuracy: 27.50 %
Epoch 38, Train Accuracy: 28.70 %, Test Accuracy: 27.68 %
Epoch 39, Train Accuracy: 28.79 %, Test Accuracy: 27.82 %
Epoch 40, Train Accuracy: 28.87 %, Test Accuracy: 27.19 %
Epoch 41, Train Accuracy: 29.07 %, Test Accuracy: 27.69 %
Epoch 42, Train Accuracy: 29.02 %, Test Accuracy: 27.51 %
Epoch 43, Train Accuracy: 29.11 %, Test Accuracy: 27.69 %
Epoch 44, Train Accuracy: 29.21 %, Test Accuracy: 27.67 %
Epoch 45, Train Accuracy: 29.17 %, Test Accuracy: 27.51 %
Epoch 46, Train Accuracy: 29.10 %, Test Accuracy: 27.54 %
Epoch 47, Train Accuracy: 29.17 %, Test Accuracy: 27.79 %
Epoch 48, Train Accuracy: 29.29 %, Test Accuracy: 27.68 %
Epoch 49, Train Accuracy: 29.20 %, Test Accuracy: 27.45 %
Epoch 50, Train Accuracy: 29.23 %, Test Accuracy: 27.58 %
Epoch 51, Train Accuracy: 29.40 %, Test Accuracy: 27.52 %
Epoch 52, Train Accuracy: 29.38 %, Test Accuracy: 27.24 %
Epoch 53, Train Accuracy: 29.28 %, Test Accuracy: 27.62 %
Epoch 54, Train Accuracy: 29.36 %, Test Accuracy: 27.61 %
