NODE=[HOST_e8d809bd94] | JOB=kb-c100-r003-s0 4685569
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups resnet18_blocks --seed 0 --save-directory cluster/Account1/metaopt/runs/kb6 --run-name kb-c100-r003-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=0 ETA_RATIO=0.03 COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 3.14 %, Test Accuracy: 5.79 %
Epoch 1, Train Accuracy: 7.46 %, Test Accuracy: 9.39 %
Epoch 2, Train Accuracy: 10.16 %, Test Accuracy: 11.46 %
Epoch 3, Train Accuracy: 12.53 %, Test Accuracy: 12.97 %
Epoch 4, Train Accuracy: 14.51 %, Test Accuracy: 15.38 %
Epoch 5, Train Accuracy: 15.70 %, Test Accuracy: 17.02 %
Epoch 6, Train Accuracy: 17.03 %, Test Accuracy: 17.58 %
Epoch 7, Train Accuracy: 18.39 %, Test Accuracy: 18.88 %
Epoch 8, Train Accuracy: 19.85 %, Test Accuracy: 20.04 %
Epoch 9, Train Accuracy: 21.08 %, Test Accuracy: 21.09 %
Epoch 10, Train Accuracy: 21.95 %, Test Accuracy: 23.37 %
Epoch 11, Train Accuracy: 22.81 %, Test Accuracy: 23.76 %
Epoch 12, Train Accuracy: 23.68 %, Test Accuracy: 24.01 %
Epoch 13, Train Accuracy: 24.04 %, Test Accuracy: 24.23 %
Epoch 14, Train Accuracy: 25.19 %, Test Accuracy: 24.46 %
Epoch 15, Train Accuracy: 25.36 %, Test Accuracy: 25.24 %
Epoch 16, Train Accuracy: 26.26 %, Test Accuracy: 26.36 %
Epoch 17, Train Accuracy: 26.76 %, Test Accuracy: 26.17 %
Epoch 18, Train Accuracy: 27.02 %, Test Accuracy: 26.92 %
Epoch 19, Train Accuracy: 27.47 %, Test Accuracy: 27.36 %
Epoch 20, Train Accuracy: 27.60 %, Test Accuracy: 27.49 %
Epoch 21, Train Accuracy: 27.92 %, Test Accuracy: 26.99 %
Epoch 22, Train Accuracy: 28.34 %, Test Accuracy: 28.05 %
Epoch 23, Train Accuracy: 28.38 %, Test Accuracy: 27.65 %
Epoch 24, Train Accuracy: 28.57 %, Test Accuracy: 28.09 %
Epoch 25, Train Accuracy: 28.83 %, Test Accuracy: 27.93 %
Epoch 26, Train Accuracy: 28.92 %, Test Accuracy: 27.85 %
Epoch 27, Train Accuracy: 29.08 %, Test Accuracy: 27.90 %
Epoch 28, Train Accuracy: 29.25 %, Test Accuracy: 28.09 %
Epoch 29, Train Accuracy: 29.36 %, Test Accuracy: 27.94 %
Epoch 30, Train Accuracy: 29.49 %, Test Accuracy: 28.30 %
Epoch 31, Train Accuracy: 29.56 %, Test Accuracy: 28.61 %
Epoch 32, Train Accuracy: 29.84 %, Test Accuracy: 28.15 %
Epoch 33, Train Accuracy: 29.82 %, Test Accuracy: 28.77 %
Epoch 34, Train Accuracy: 29.96 %, Test Accuracy: 28.80 %
Epoch 35, Train Accuracy: 30.08 %, Test Accuracy: 28.40 %
Epoch 36, Train Accuracy: 30.11 %, Test Accuracy: 28.61 %
Epoch 37, Train Accuracy: 30.40 %, Test Accuracy: 28.54 %
Epoch 38, Train Accuracy: 30.43 %, Test Accuracy: 28.78 %
Epoch 39, Train Accuracy: 30.62 %, Test Accuracy: 29.29 %
Epoch 40, Train Accuracy: 30.66 %, Test Accuracy: 28.66 %
Epoch 41, Train Accuracy: 30.58 %, Test Accuracy: 29.13 %
Epoch 42, Train Accuracy: 30.87 %, Test Accuracy: 28.88 %
Epoch 43, Train Accuracy: 30.77 %, Test Accuracy: 29.04 %
Epoch 44, Train Accuracy: 30.90 %, Test Accuracy: 29.20 %
Epoch 45, Train Accuracy: 30.80 %, Test Accuracy: 29.14 %
Epoch 46, Train Accuracy: 31.13 %, Test Accuracy: 28.94 %
Epoch 47, Train Accuracy: 31.14 %, Test Accuracy: 29.28 %
Epoch 48, Train Accuracy: 31.19 %, Test Accuracy: 29.37 %
Epoch 49, Train Accuracy: 31.21 %, Test Accuracy: 29.17 %
Epoch 50, Train Accuracy: 31.22 %, Test Accuracy: 29.39 %
Epoch 51, Train Accuracy: 31.26 %, Test Accuracy: 29.60 %
Epoch 52, Train Accuracy: 31.35 %, Test Accuracy: 29.36 %
Epoch 53, Train Accuracy: 31.40 %, Test Accuracy: 29.57 %
Epoch 54, Train Accuracy: 31.42 %, Test Accuracy: 29.48 %
Epoch 55, Train Accuracy: 31.51 %, Test Accuracy: 29.22 %
Epoch 56, Train Accuracy: 31.51 %, Test Accuracy: 29.22 %
Epoch 57, Train Accuracy: 31.54 %, Test Accuracy: 29.48 %
Epoch 58, Train Accuracy: 31.63 %, Test Accuracy: 29.40 %
Epoch 59, Train Accuracy: 31.51 %, Test Accuracy: 29.63 %
Epoch 60, Train Accuracy: 31.57 %, Test Accuracy: 29.46 %
Epoch 61, Train Accuracy: 31.65 %, Test Accuracy: 29.29 %
Epoch 62, Train Accuracy: 31.68 %, Test Accuracy: 29.30 %
Epoch 63, Train Accuracy: 31.49 %, Test Accuracy: 29.34 %
Epoch 64, Train Accuracy: 31.54 %, Test Accuracy: 29.32 %
Epoch 65, Train Accuracy: 31.64 %, Test Accuracy: 29.48 %
Epoch 66, Train Accuracy: 31.51 %, Test Accuracy: 29.53 %
Epoch 67, Train Accuracy: 31.65 %, Test Accuracy: 29.50 %
Epoch 68, Train Accuracy: 31.61 %, Test Accuracy: 29.19 %
Epoch 69, Train Accuracy: 31.68 %, Test Accuracy: 29.43 %
Epoch 70, Train Accuracy: 31.69 %, Test Accuracy: 29.73 %
Epoch 71, Train Accuracy: 31.57 %, Test Accuracy: 29.53 %
Epoch 72, Train Accuracy: 31.77 %, Test Accuracy: 29.34 %
Epoch 73, Train Accuracy: 31.64 %, Test Accuracy: 29.41 %
Epoch 74, Train Accuracy: 31.78 %, Test Accuracy: 29.12 %
Epoch 75, Train Accuracy: 31.63 %, Test Accuracy: 29.50 %
Epoch 76, Train Accuracy: 31.60 %, Test Accuracy: 29.21 %
Epoch 77, Train Accuracy: 31.84 %, Test Accuracy: 29.44 %
Epoch 78, Train Accuracy: 31.81 %, Test Accuracy: 29.03 %
Epoch 79, Train Accuracy: 31.86 %, Test Accuracy: 29.41 %
Epoch 80, Train Accuracy: 31.77 %, Test Accuracy: 29.47 %
Epoch 81, Train Accuracy: 31.72 %, Test Accuracy: 29.41 %
Epoch 82, Train Accuracy: 31.75 %, Test Accuracy: 29.33 %
