NODE=[HOST_bcfd0fc19c] | JOB=kb-c100-r007-s2 4685579
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR100 --NN-name ResNet18_c100 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups resnet18_blocks --seed 2 --save-directory cluster/Account1/metaopt/runs/kb6 --run-name kb-c100-r007-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=0 ETA_RATIO=0.07 COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 2.88 %, Test Accuracy: 5.99 %
Epoch 1, Train Accuracy: 7.19 %, Test Accuracy: 9.17 %
Epoch 2, Train Accuracy: 10.63 %, Test Accuracy: 11.98 %
Epoch 3, Train Accuracy: 13.17 %, Test Accuracy: 14.03 %
Epoch 4, Train Accuracy: 15.23 %, Test Accuracy: 16.16 %
Epoch 5, Train Accuracy: 16.72 %, Test Accuracy: 17.10 %
Epoch 6, Train Accuracy: 18.04 %, Test Accuracy: 19.28 %
Epoch 7, Train Accuracy: 19.65 %, Test Accuracy: 20.14 %
Epoch 8, Train Accuracy: 20.53 %, Test Accuracy: 22.26 %
Epoch 9, Train Accuracy: 21.26 %, Test Accuracy: 21.31 %
Epoch 10, Train Accuracy: 22.75 %, Test Accuracy: 23.80 %
Epoch 11, Train Accuracy: 23.28 %, Test Accuracy: 23.73 %
Epoch 12, Train Accuracy: 24.55 %, Test Accuracy: 25.51 %
Epoch 13, Train Accuracy: 25.02 %, Test Accuracy: 25.50 %
Epoch 14, Train Accuracy: 26.10 %, Test Accuracy: 26.23 %
Epoch 15, Train Accuracy: 26.83 %, Test Accuracy: 27.23 %
Epoch 16, Train Accuracy: 27.57 %, Test Accuracy: 27.92 %
Epoch 17, Train Accuracy: 27.96 %, Test Accuracy: 27.41 %
Epoch 18, Train Accuracy: 28.43 %, Test Accuracy: 28.42 %
Epoch 19, Train Accuracy: 29.00 %, Test Accuracy: 28.83 %
Epoch 20, Train Accuracy: 29.42 %, Test Accuracy: 29.32 %
Epoch 21, Train Accuracy: 30.10 %, Test Accuracy: 29.10 %
Epoch 22, Train Accuracy: 30.31 %, Test Accuracy: 29.06 %
Epoch 23, Train Accuracy: 30.55 %, Test Accuracy: 29.82 %
Epoch 24, Train Accuracy: 31.10 %, Test Accuracy: 30.53 %
Epoch 25, Train Accuracy: 31.36 %, Test Accuracy: 30.61 %
Epoch 26, Train Accuracy: 31.76 %, Test Accuracy: 30.94 %
Epoch 27, Train Accuracy: 32.10 %, Test Accuracy: 31.01 %
Epoch 28, Train Accuracy: 32.34 %, Test Accuracy: 31.45 %
Epoch 29, Train Accuracy: 32.87 %, Test Accuracy: 31.54 %
Epoch 30, Train Accuracy: 32.88 %, Test Accuracy: 31.79 %
Epoch 31, Train Accuracy: 33.24 %, Test Accuracy: 31.82 %
Epoch 32, Train Accuracy: 33.52 %, Test Accuracy: 31.64 %
Epoch 33, Train Accuracy: 33.68 %, Test Accuracy: 32.40 %
Epoch 34, Train Accuracy: 33.99 %, Test Accuracy: 32.54 %
Epoch 35, Train Accuracy: 34.44 %, Test Accuracy: 32.80 %
Epoch 36, Train Accuracy: 34.67 %, Test Accuracy: 32.59 %
Epoch 37, Train Accuracy: 34.79 %, Test Accuracy: 33.50 %
Epoch 38, Train Accuracy: 35.06 %, Test Accuracy: 33.18 %
Epoch 39, Train Accuracy: 35.42 %, Test Accuracy: 33.05 %
Epoch 40, Train Accuracy: 35.43 %, Test Accuracy: 33.66 %
Epoch 41, Train Accuracy: 35.84 %, Test Accuracy: 33.48 %
Epoch 42, Train Accuracy: 35.97 %, Test Accuracy: 33.93 %
Epoch 43, Train Accuracy: 36.35 %, Test Accuracy: 34.06 %
Epoch 44, Train Accuracy: 36.46 %, Test Accuracy: 34.57 %
Epoch 45, Train Accuracy: 36.66 %, Test Accuracy: 34.31 %
Epoch 46, Train Accuracy: 36.84 %, Test Accuracy: 34.54 %
Epoch 47, Train Accuracy: 37.03 %, Test Accuracy: 34.72 %
Epoch 48, Train Accuracy: 37.40 %, Test Accuracy: 34.54 %
Epoch 49, Train Accuracy: 37.36 %, Test Accuracy: 34.55 %
Epoch 50, Train Accuracy: 37.53 %, Test Accuracy: 35.27 %
Epoch 51, Train Accuracy: 37.70 %, Test Accuracy: 35.54 %
Epoch 52, Train Accuracy: 38.00 %, Test Accuracy: 35.49 %
Epoch 53, Train Accuracy: 37.97 %, Test Accuracy: 35.48 %
Epoch 54, Train Accuracy: 38.31 %, Test Accuracy: 35.54 %
Epoch 55, Train Accuracy: 38.34 %, Test Accuracy: 35.57 %
Epoch 56, Train Accuracy: 38.48 %, Test Accuracy: 36.10 %
Epoch 57, Train Accuracy: 38.63 %, Test Accuracy: 35.51 %
Epoch 58, Train Accuracy: 38.67 %, Test Accuracy: 35.49 %
Epoch 59, Train Accuracy: 38.83 %, Test Accuracy: 36.05 %
Epoch 60, Train Accuracy: 38.76 %, Test Accuracy: 36.13 %
Epoch 61, Train Accuracy: 38.84 %, Test Accuracy: 36.60 %
Epoch 62, Train Accuracy: 39.36 %, Test Accuracy: 36.19 %
Epoch 63, Train Accuracy: 39.21 %, Test Accuracy: 36.32 %
Epoch 64, Train Accuracy: 39.47 %, Test Accuracy: 36.38 %
Epoch 65, Train Accuracy: 39.43 %, Test Accuracy: 36.51 %
Epoch 66, Train Accuracy: 39.47 %, Test Accuracy: 36.55 %
Epoch 67, Train Accuracy: 39.60 %, Test Accuracy: 36.64 %
Epoch 68, Train Accuracy: 39.69 %, Test Accuracy: 36.39 %
Epoch 69, Train Accuracy: 39.65 %, Test Accuracy: 36.52 %
Epoch 70, Train Accuracy: 39.72 %, Test Accuracy: 36.67 %
Epoch 71, Train Accuracy: 39.87 %, Test Accuracy: 36.58 %
Epoch 72, Train Accuracy: 39.83 %, Test Accuracy: 36.76 %
Epoch 73, Train Accuracy: 39.99 %, Test Accuracy: 36.92 %
Epoch 74, Train Accuracy: 39.99 %, Test Accuracy: 36.94 %
Epoch 75, Train Accuracy: 40.01 %, Test Accuracy: 36.99 %
Epoch 76, Train Accuracy: 40.16 %, Test Accuracy: 37.01 %
Epoch 77, Train Accuracy: 40.07 %, Test Accuracy: 36.97 %
Epoch 78, Train Accuracy: 40.34 %, Test Accuracy: 36.94 %
Epoch 79, Train Accuracy: 40.09 %, Test Accuracy: 36.49 %
Epoch 80, Train Accuracy: 40.18 %, Test Accuracy: 36.92 %
Epoch 81, Train Accuracy: 40.31 %, Test Accuracy: 37.05 %
Epoch 82, Train Accuracy: 40.37 %, Test Accuracy: 36.94 %
Epoch 83, Train Accuracy: 40.34 %, Test Accuracy: 37.27 %
Epoch 84, Train Accuracy: 40.24 %, Test Accuracy: 36.85 %
Epoch 85, Train Accuracy: 40.51 %, Test Accuracy: 36.98 %
Epoch 86, Train Accuracy: 40.52 %, Test Accuracy: 36.99 %
Epoch 87, Train Accuracy: 40.30 %, Test Accuracy: 37.18 %
Epoch 88, Train Accuracy: 40.53 %, Test Accuracy: 36.97 %
Epoch 89, Train Accuracy: 40.68 %, Test Accuracy: 37.23 %
Epoch 90, Train Accuracy: 40.61 %, Test Accuracy: 37.11 %
Epoch 91, Train Accuracy: 40.53 %, Test Accuracy: 37.13 %
Epoch 92, Train Accuracy: 40.60 %, Test Accuracy: 36.91 %
Epoch 93, Train Accuracy: 40.76 %, Test Accuracy: 37.29 %
Epoch 94, Train Accuracy: 40.72 %, Test Accuracy: 37.15 %
Epoch 95, Train Accuracy: 40.73 %, Test Accuracy: 37.10 %
Epoch 96, Train Accuracy: 40.77 %, Test Accuracy: 37.17 %
Epoch 97, Train Accuracy: 40.84 %, Test Accuracy: 36.97 %
Epoch 98, Train Accuracy: 40.61 %, Test Accuracy: 37.26 %
Epoch 99, Train Accuracy: 40.69 %, Test Accuracy: 37.34 %
42  minutes
RUN_DONE
