NODE=[HOST_e223b82d71] | JOB=kt2-ww-a1e-6-s0 4700577
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups weightwise --seed 0 --save-directory cluster/Account1/metaopt/runs/kt2 --run-name kt2_ww_a1e-6_s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=25 PROBE_DIR=cluster/Account1/metaopt/runs/kt2/probe_ww_a1e-6_s0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.80 %, Test Accuracy: 12.87 %
Epoch 1, Train Accuracy: 12.76 %, Test Accuracy: 12.96 %
Epoch 2, Train Accuracy: 13.03 %, Test Accuracy: 13.20 %
Epoch 3, Train Accuracy: 13.51 %, Test Accuracy: 13.53 %
Epoch 4, Train Accuracy: 13.72 %, Test Accuracy: 13.74 %
Epoch 5, Train Accuracy: 14.58 %, Test Accuracy: 14.50 %
Epoch 6, Train Accuracy: 15.74 %, Test Accuracy: 15.28 %
Epoch 7, Train Accuracy: 17.23 %, Test Accuracy: 17.06 %
Epoch 8, Train Accuracy: 19.27 %, Test Accuracy: 18.88 %
Epoch 9, Train Accuracy: 21.07 %, Test Accuracy: 20.77 %
Epoch 10, Train Accuracy: 23.32 %, Test Accuracy: 23.79 %
Epoch 11, Train Accuracy: 25.89 %, Test Accuracy: 26.06 %
Epoch 12, Train Accuracy: 27.98 %, Test Accuracy: 28.03 %
Epoch 13, Train Accuracy: 30.08 %, Test Accuracy: 30.70 %
Epoch 14, Train Accuracy: 32.07 %, Test Accuracy: 33.24 %
Epoch 15, Train Accuracy: 33.79 %, Test Accuracy: 35.39 %
Epoch 16, Train Accuracy: 35.19 %, Test Accuracy: 37.89 %
Epoch 17, Train Accuracy: 36.86 %, Test Accuracy: 39.61 %
Epoch 18, Train Accuracy: 38.71 %, Test Accuracy: 41.06 %
