NODE=[HOST_2f2f29d9e1] | JOB=lsm1-A-r0-s2 4891001 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account2/metaopt/runs/lsm1 --run-name lsm1-A-r0-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/lsm1/probe_A_0_lsm1_s2 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 


args_meta includes unnecessary attributes {'Lion_beta2'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.03 %, Test Accuracy: 10.20 %
Epoch 1, Train Accuracy: 11.34 %, Test Accuracy: 17.44 %
Epoch 2, Train Accuracy: 27.08 %, Test Accuracy: 36.55 %
Epoch 3, Train Accuracy: 44.04 %, Test Accuracy: 50.26 %
Epoch 4, Train Accuracy: 54.84 %, Test Accuracy: 57.49 %
Epoch 5, Train Accuracy: 62.91 %, Test Accuracy: 60.58 %
Epoch 6, Train Accuracy: 67.49 %, Test Accuracy: 68.67 %
Epoch 7, Train Accuracy: 70.78 %, Test Accuracy: 71.22 %
Epoch 8, Train Accuracy: 72.83 %, Test Accuracy: 71.44 %
Epoch 9, Train Accuracy: 73.85 %, Test Accuracy: 67.98 %
Epoch 10, Train Accuracy: 74.99 %, Test Accuracy: 75.03 %
Epoch 11, Train Accuracy: 77.65 %, Test Accuracy: 81.40 %
Epoch 12, Train Accuracy: 82.78 %, Test Accuracy: 84.74 %
Epoch 13, Train Accuracy: 86.30 %, Test Accuracy: 87.03 %
Epoch 14, Train Accuracy: 87.74 %, Test Accuracy: 87.88 %
Epoch 15, Train Accuracy: 88.64 %, Test Accuracy: 88.32 %
Epoch 16, Train Accuracy: 89.22 %, Test Accuracy: 88.21 %
Epoch 17, Train Accuracy: 89.47 %, Test Accuracy: 88.53 %
Epoch 18, Train Accuracy: 89.70 %, Test Accuracy: 88.38 %
Epoch 19, Train Accuracy: 90.20 %, Test Accuracy: 88.73 %
Epoch 20, Train Accuracy: 90.37 %, Test Accuracy: 89.08 %
Epoch 21, Train Accuracy: 90.87 %, Test Accuracy: 89.27 %
Epoch 22, Train Accuracy: 90.98 %, Test Accuracy: 89.69 %
Epoch 23, Train Accuracy: 91.40 %, Test Accuracy: 89.05 %
Epoch 24, Train Accuracy: 91.50 %, Test Accuracy: 89.37 %
Epoch 25, Train Accuracy: 91.73 %, Test Accuracy: 89.31 %
Epoch 26, Train Accuracy: 91.96 %, Test Accuracy: 89.74 %
Epoch 27, Train Accuracy: 92.18 %, Test Accuracy: 89.42 %
Epoch 28, Train Accuracy: 92.45 %, Test Accuracy: 90.06 %
Epoch 29, Train Accuracy: 92.77 %, Test Accuracy: 90.06 %
Epoch 30, Train Accuracy: 93.02 %, Test Accuracy: 89.94 %
Epoch 31, Train Accuracy: 92.79 %, Test Accuracy: 90.12 %
Epoch 32, Train Accuracy: 93.19 %, Test Accuracy: 90.23 %
Epoch 33, Train Accuracy: 93.34 %, Test Accuracy: 89.96 %
Epoch 34, Train Accuracy: 93.62 %, Test Accuracy: 90.59 %
Epoch 35, Train Accuracy: 93.67 %, Test Accuracy: 90.07 %
Epoch 36, Train Accuracy: 93.71 %, Test Accuracy: 90.41 %
Epoch 37, Train Accuracy: 93.80 %, Test Accuracy: 90.15 %
Epoch 38, Train Accuracy: 93.76 %, Test Accuracy: 90.52 %
Epoch 39, Train Accuracy: 94.15 %, Test Accuracy: 90.28 %
Epoch 40, Train Accuracy: 94.11 %, Test Accuracy: 90.15 %
Epoch 41, Train Accuracy: 94.17 %, Test Accuracy: 90.74 %
Epoch 42, Train Accuracy: 94.41 %, Test Accuracy: 89.99 %
Epoch 43, Train Accuracy: 94.40 %, Test Accuracy: 90.37 %
Epoch 44, Train Accuracy: 94.58 %, Test Accuracy: 90.41 %
Epoch 45, Train Accuracy: 94.70 %, Test Accuracy: 90.77 %
Epoch 46, Train Accuracy: 94.93 %, Test Accuracy: 90.47 %
Epoch 47, Train Accuracy: 94.79 %, Test Accuracy: 90.35 %
Epoch 48, Train Accuracy: 94.89 %, Test Accuracy: 90.59 %
Epoch 49, Train Accuracy: 95.06 %, Test Accuracy: 90.48 %
Epoch 50, Train Accuracy: 94.94 %, Test Accuracy: 90.91 %
Epoch 51, Train Accuracy: 95.24 %, Test Accuracy: 90.52 %
Epoch 52, Train Accuracy: 95.21 %, Test Accuracy: 91.08 %
Epoch 53, Train Accuracy: 95.20 %, Test Accuracy: 90.53 %
Epoch 54, Train Accuracy: 95.45 %, Test Accuracy: 90.64 %
Epoch 55, Train Accuracy: 95.39 %, Test Accuracy: 90.51 %
Epoch 56, Train Accuracy: 95.56 %, Test Accuracy: 90.82 %
Epoch 57, Train Accuracy: 95.44 %, Test Accuracy: 90.96 %
Epoch 58, Train Accuracy: 95.68 %, Test Accuracy: 90.84 %
Epoch 59, Train Accuracy: 95.78 %, Test Accuracy: 91.13 %
Epoch 60, Train Accuracy: 95.96 %, Test Accuracy: 91.30 %
Epoch 61, Train Accuracy: 95.86 %, Test Accuracy: 91.18 %
Epoch 62, Train Accuracy: 95.90 %, Test Accuracy: 90.77 %
Epoch 63, Train Accuracy: 95.96 %, Test Accuracy: 90.96 %
Epoch 64, Train Accuracy: 96.00 %, Test Accuracy: 90.89 %
Epoch 65, Train Accuracy: 96.24 %, Test Accuracy: 91.04 %
Epoch 66, Train Accuracy: 96.24 %, Test Accuracy: 90.52 %
Epoch 67, Train Accuracy: 96.16 %, Test Accuracy: 90.63 %
Epoch 68, Train Accuracy: 96.23 %, Test Accuracy: 90.94 %
Epoch 69, Train Accuracy: 96.20 %, Test Accuracy: 91.02 %
Epoch 70, Train Accuracy: 96.32 %, Test Accuracy: 90.64 %
Epoch 71, Train Accuracy: 96.36 %, Test Accuracy: 90.76 %
Epoch 72, Train Accuracy: 96.48 %, Test Accuracy: 90.79 %
Epoch 73, Train Accuracy: 96.50 %, Test Accuracy: 91.36 %
Epoch 74, Train Accuracy: 96.52 %, Test Accuracy: 90.90 %
Epoch 75, Train Accuracy: 96.51 %, Test Accuracy: 90.80 %
Epoch 76, Train Accuracy: 96.62 %, Test Accuracy: 90.94 %
Epoch 77, Train Accuracy: 96.73 %, Test Accuracy: 91.03 %
Epoch 78, Train Accuracy: 96.61 %, Test Accuracy: 91.41 %
Epoch 79, Train Accuracy: 96.78 %, Test Accuracy: 90.79 %
Epoch 80, Train Accuracy: 96.85 %, Test Accuracy: 90.65 %
Epoch 81, Train Accuracy: 96.76 %, Test Accuracy: 91.18 %
Epoch 82, Train Accuracy: 96.85 %, Test Accuracy: 90.94 %
Epoch 83, Train Accuracy: 97.03 %, Test Accuracy: 91.18 %
Epoch 84, Train Accuracy: 96.87 %, Test Accuracy: 90.95 %
Epoch 85, Train Accuracy: 97.02 %, Test Accuracy: 91.05 %
Epoch 86, Train Accuracy: 97.07 %, Test Accuracy: 91.29 %
Epoch 87, Train Accuracy: 97.08 %, Test Accuracy: 90.89 %
Epoch 88, Train Accuracy: 97.07 %, Test Accuracy: 91.45 %
Epoch 89, Train Accuracy: 97.10 %, Test Accuracy: 91.08 %
Epoch 90, Train Accuracy: 97.04 %, Test Accuracy: 91.02 %
Epoch 91, Train Accuracy: 97.20 %, Test Accuracy: 91.33 %
Epoch 92, Train Accuracy: 97.20 %, Test Accuracy: 91.03 %
Epoch 93, Train Accuracy: 97.14 %, Test Accuracy: 91.14 %
Epoch 94, Train Accuracy: 97.38 %, Test Accuracy: 90.89 %
Epoch 95, Train Accuracy: 97.38 %, Test Accuracy: 91.03 %
Epoch 96, Train Accuracy: 97.25 %, Test Accuracy: 91.41 %
Epoch 97, Train Accuracy: 97.36 %, Test Accuracy: 90.82 %
Epoch 98, Train Accuracy: 97.38 %, Test Accuracy: 91.10 %
Epoch 99, Train Accuracy: 97.51 %, Test Accuracy: 91.09 %
37  minutes
RUN_DONE
