NODE=[HOST_f0845cc956] | JOB=lsm1-L-r1-s1 4891000 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account2/metaopt/runs/lsm1 --run-name lsm1-L-r1-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=1 COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/lsm1/probe_L_1_lsm1_s1 EB_RHO=na EB_LOG=0
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.65 %, Test Accuracy: 9.82 %
Epoch 1, Train Accuracy: 9.51 %, Test Accuracy: 9.86 %
Epoch 2, Train Accuracy: 9.52 %, Test Accuracy: 9.82 %
Epoch 3, Train Accuracy: 9.70 %, Test Accuracy: 9.88 %
Epoch 4, Train Accuracy: 10.08 %, Test Accuracy: 10.36 %
Epoch 5, Train Accuracy: 11.21 %, Test Accuracy: 12.16 %
Epoch 6, Train Accuracy: 14.01 %, Test Accuracy: 15.63 %
Epoch 7, Train Accuracy: 17.23 %, Test Accuracy: 20.61 %
Epoch 8, Train Accuracy: 20.29 %, Test Accuracy: 22.05 %
Epoch 9, Train Accuracy: 22.80 %, Test Accuracy: 24.34 %
Epoch 10, Train Accuracy: 25.74 %, Test Accuracy: 26.82 %
Epoch 11, Train Accuracy: 29.55 %, Test Accuracy: 32.60 %
Epoch 12, Train Accuracy: 34.06 %, Test Accuracy: 37.48 %
Epoch 13, Train Accuracy: 39.58 %, Test Accuracy: 43.09 %
Epoch 14, Train Accuracy: 44.61 %, Test Accuracy: 48.77 %
Epoch 15, Train Accuracy: 50.02 %, Test Accuracy: 53.47 %
Epoch 16, Train Accuracy: 56.12 %, Test Accuracy: 57.97 %
Epoch 17, Train Accuracy: 61.49 %, Test Accuracy: 64.67 %
Epoch 18, Train Accuracy: 68.09 %, Test Accuracy: 69.11 %
Epoch 19, Train Accuracy: 72.25 %, Test Accuracy: 75.98 %
Epoch 20, Train Accuracy: 76.41 %, Test Accuracy: 77.72 %
Epoch 21, Train Accuracy: 78.79 %, Test Accuracy: 78.99 %
Epoch 22, Train Accuracy: 80.88 %, Test Accuracy: 80.57 %
Epoch 23, Train Accuracy: 82.26 %, Test Accuracy: 80.95 %
Epoch 24, Train Accuracy: 83.99 %, Test Accuracy: 83.13 %
Epoch 25, Train Accuracy: 85.17 %, Test Accuracy: 83.13 %
Epoch 26, Train Accuracy: 86.29 %, Test Accuracy: 83.41 %
Epoch 27, Train Accuracy: 86.81 %, Test Accuracy: 84.08 %
Epoch 28, Train Accuracy: 88.11 %, Test Accuracy: 85.53 %
Epoch 29, Train Accuracy: 88.41 %, Test Accuracy: 85.50 %
Epoch 30, Train Accuracy: 89.84 %, Test Accuracy: 85.60 %
Epoch 31, Train Accuracy: 90.16 %, Test Accuracy: 86.31 %
Epoch 32, Train Accuracy: 90.86 %, Test Accuracy: 87.48 %
Epoch 33, Train Accuracy: 91.50 %, Test Accuracy: 87.54 %
Epoch 34, Train Accuracy: 91.81 %, Test Accuracy: 87.45 %
Epoch 35, Train Accuracy: 92.48 %, Test Accuracy: 88.71 %
Epoch 36, Train Accuracy: 92.89 %, Test Accuracy: 87.72 %
Epoch 37, Train Accuracy: 93.27 %, Test Accuracy: 87.60 %
Epoch 38, Train Accuracy: 93.84 %, Test Accuracy: 88.59 %
Epoch 39, Train Accuracy: 94.41 %, Test Accuracy: 88.47 %
Epoch 40, Train Accuracy: 94.56 %, Test Accuracy: 88.70 %
Epoch 41, Train Accuracy: 94.72 %, Test Accuracy: 88.61 %
Epoch 42, Train Accuracy: 95.01 %, Test Accuracy: 89.39 %
Epoch 43, Train Accuracy: 95.49 %, Test Accuracy: 89.18 %
Epoch 44, Train Accuracy: 95.74 %, Test Accuracy: 89.32 %
Epoch 45, Train Accuracy: 95.91 %, Test Accuracy: 88.99 %
Epoch 46, Train Accuracy: 96.48 %, Test Accuracy: 89.53 %
Epoch 47, Train Accuracy: 96.54 %, Test Accuracy: 88.96 %
Epoch 48, Train Accuracy: 96.65 %, Test Accuracy: 88.24 %
Epoch 49, Train Accuracy: 96.88 %, Test Accuracy: 89.07 %
Epoch 50, Train Accuracy: 97.11 %, Test Accuracy: 88.68 %
Epoch 51, Train Accuracy: 96.96 %, Test Accuracy: 89.87 %
Epoch 52, Train Accuracy: 97.57 %, Test Accuracy: 89.94 %
Epoch 53, Train Accuracy: 97.50 %, Test Accuracy: 89.74 %
Epoch 54, Train Accuracy: 97.78 %, Test Accuracy: 89.87 %
Epoch 55, Train Accuracy: 98.10 %, Test Accuracy: 89.95 %
Epoch 56, Train Accuracy: 97.93 %, Test Accuracy: 89.68 %
Epoch 57, Train Accuracy: 97.87 %, Test Accuracy: 89.91 %
Epoch 58, Train Accuracy: 98.08 %, Test Accuracy: 90.28 %
Epoch 59, Train Accuracy: 98.32 %, Test Accuracy: 89.10 %
Epoch 60, Train Accuracy: 98.31 %, Test Accuracy: 90.54 %
Epoch 61, Train Accuracy: 98.45 %, Test Accuracy: 89.97 %
Epoch 62, Train Accuracy: 98.51 %, Test Accuracy: 90.10 %
Epoch 63, Train Accuracy: 98.59 %, Test Accuracy: 89.87 %
Epoch 64, Train Accuracy: 98.68 %, Test Accuracy: 90.73 %
Epoch 65, Train Accuracy: 98.78 %, Test Accuracy: 90.73 %
Epoch 66, Train Accuracy: 99.18 %, Test Accuracy: 90.64 %
Epoch 67, Train Accuracy: 98.79 %, Test Accuracy: 90.14 %
Epoch 68, Train Accuracy: 98.93 %, Test Accuracy: 90.47 %
Epoch 69, Train Accuracy: 99.05 %, Test Accuracy: 90.48 %
Epoch 70, Train Accuracy: 99.11 %, Test Accuracy: 90.16 %
Epoch 71, Train Accuracy: 98.99 %, Test Accuracy: 90.33 %
Epoch 72, Train Accuracy: 99.08 %, Test Accuracy: 90.97 %
Epoch 73, Train Accuracy: 99.27 %, Test Accuracy: 90.65 %
Epoch 74, Train Accuracy: 99.31 %, Test Accuracy: 90.62 %
Epoch 75, Train Accuracy: 99.26 %, Test Accuracy: 90.69 %
Epoch 76, Train Accuracy: 99.30 %, Test Accuracy: 91.01 %
Epoch 77, Train Accuracy: 99.27 %, Test Accuracy: 91.03 %
Epoch 78, Train Accuracy: 99.37 %, Test Accuracy: 90.74 %
Epoch 79, Train Accuracy: 99.43 %, Test Accuracy: 90.62 %
Epoch 80, Train Accuracy: 99.35 %, Test Accuracy: 91.00 %
Epoch 81, Train Accuracy: 99.48 %, Test Accuracy: 90.95 %
Epoch 82, Train Accuracy: 99.44 %, Test Accuracy: 91.06 %
Epoch 83, Train Accuracy: 99.42 %, Test Accuracy: 91.07 %
Epoch 84, Train Accuracy: 99.47 %, Test Accuracy: 90.95 %
Epoch 85, Train Accuracy: 99.60 %, Test Accuracy: 90.69 %
Epoch 86, Train Accuracy: 99.42 %, Test Accuracy: 90.86 %
Epoch 87, Train Accuracy: 99.42 %, Test Accuracy: 90.85 %
Epoch 88, Train Accuracy: 99.48 %, Test Accuracy: 91.21 %
Epoch 89, Train Accuracy: 99.59 %, Test Accuracy: 90.97 %
Epoch 90, Train Accuracy: 99.62 %, Test Accuracy: 91.23 %
Epoch 91, Train Accuracy: 99.75 %, Test Accuracy: 91.16 %
Epoch 92, Train Accuracy: 99.58 %, Test Accuracy: 90.54 %
Epoch 93, Train Accuracy: 99.53 %, Test Accuracy: 91.15 %
Epoch 94, Train Accuracy: 99.57 %, Test Accuracy: 91.22 %
Epoch 95, Train Accuracy: 99.63 %, Test Accuracy: 91.14 %
Epoch 96, Train Accuracy: 99.63 %, Test Accuracy: 91.24 %
Epoch 97, Train Accuracy: 99.73 %, Test Accuracy: 90.77 %
Epoch 98, Train Accuracy: 99.70 %, Test Accuracy: 90.88 %
Epoch 99, Train Accuracy: 99.76 %, Test Accuracy: 91.27 %
35  minutes
RUN_DONE
