NODE=[HOST_bcfd0fc19c] | JOB=m1a3-r02-s1 4683578
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/m1a3 --run-name m1a3-r02-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.2 COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.50 %, Test Accuracy: 30.63 %
Epoch 1, Train Accuracy: 37.17 %, Test Accuracy: 42.43 %
Epoch 2, Train Accuracy: 45.36 %, Test Accuracy: 47.95 %
Epoch 3, Train Accuracy: 51.98 %, Test Accuracy: 55.07 %
Epoch 4, Train Accuracy: 58.64 %, Test Accuracy: 61.02 %
Epoch 5, Train Accuracy: 64.37 %, Test Accuracy: 65.15 %
Epoch 6, Train Accuracy: 69.09 %, Test Accuracy: 69.50 %
Epoch 7, Train Accuracy: 73.71 %, Test Accuracy: 74.92 %
Epoch 8, Train Accuracy: 76.22 %, Test Accuracy: 77.14 %
Epoch 9, Train Accuracy: 79.32 %, Test Accuracy: 79.55 %
Epoch 10, Train Accuracy: 81.15 %, Test Accuracy: 81.36 %
Epoch 11, Train Accuracy: 83.10 %, Test Accuracy: 81.38 %
Epoch 12, Train Accuracy: 84.20 %, Test Accuracy: 82.39 %
Epoch 13, Train Accuracy: 85.67 %, Test Accuracy: 84.37 %
Epoch 14, Train Accuracy: 87.18 %, Test Accuracy: 86.05 %
Epoch 15, Train Accuracy: 88.50 %, Test Accuracy: 86.97 %
Epoch 16, Train Accuracy: 89.61 %, Test Accuracy: 87.24 %
Epoch 17, Train Accuracy: 91.05 %, Test Accuracy: 88.66 %
Epoch 18, Train Accuracy: 91.63 %, Test Accuracy: 88.17 %
Epoch 19, Train Accuracy: 92.96 %, Test Accuracy: 89.63 %
Epoch 20, Train Accuracy: 93.65 %, Test Accuracy: 90.23 %
Epoch 21, Train Accuracy: 94.16 %, Test Accuracy: 90.40 %
Epoch 22, Train Accuracy: 94.65 %, Test Accuracy: 90.68 %
Epoch 23, Train Accuracy: 95.04 %, Test Accuracy: 90.54 %
Epoch 24, Train Accuracy: 95.48 %, Test Accuracy: 90.81 %
Epoch 25, Train Accuracy: 95.75 %, Test Accuracy: 90.98 %
Epoch 26, Train Accuracy: 96.09 %, Test Accuracy: 90.24 %
Epoch 27, Train Accuracy: 96.24 %, Test Accuracy: 90.91 %
Epoch 28, Train Accuracy: 96.61 %, Test Accuracy: 91.18 %
Epoch 29, Train Accuracy: 96.66 %, Test Accuracy: 91.23 %
Epoch 30, Train Accuracy: 96.99 %, Test Accuracy: 90.84 %
Epoch 31, Train Accuracy: 97.22 %, Test Accuracy: 91.21 %
Epoch 32, Train Accuracy: 97.59 %, Test Accuracy: 91.45 %
Epoch 33, Train Accuracy: 97.61 %, Test Accuracy: 90.91 %
Epoch 34, Train Accuracy: 97.64 %, Test Accuracy: 91.42 %
Epoch 35, Train Accuracy: 98.02 %, Test Accuracy: 91.56 %
Epoch 36, Train Accuracy: 98.12 %, Test Accuracy: 91.18 %
Epoch 37, Train Accuracy: 98.26 %, Test Accuracy: 91.19 %
Epoch 38, Train Accuracy: 98.34 %, Test Accuracy: 91.53 %
Epoch 39, Train Accuracy: 98.38 %, Test Accuracy: 91.73 %
Epoch 40, Train Accuracy: 98.65 %, Test Accuracy: 91.67 %
Epoch 41, Train Accuracy: 98.75 %, Test Accuracy: 91.94 %
Epoch 42, Train Accuracy: 98.85 %, Test Accuracy: 91.72 %
Epoch 43, Train Accuracy: 98.93 %, Test Accuracy: 91.38 %
Epoch 44, Train Accuracy: 98.85 %, Test Accuracy: 91.79 %
Epoch 45, Train Accuracy: 99.01 %, Test Accuracy: 91.86 %
Epoch 46, Train Accuracy: 99.13 %, Test Accuracy: 91.91 %
Epoch 47, Train Accuracy: 99.01 %, Test Accuracy: 91.80 %
Epoch 48, Train Accuracy: 99.18 %, Test Accuracy: 91.96 %
Epoch 49, Train Accuracy: 99.26 %, Test Accuracy: 92.34 %
Epoch 50, Train Accuracy: 99.29 %, Test Accuracy: 92.16 %
Epoch 51, Train Accuracy: 99.28 %, Test Accuracy: 91.76 %
Epoch 52, Train Accuracy: 99.39 %, Test Accuracy: 92.22 %
Epoch 53, Train Accuracy: 99.41 %, Test Accuracy: 91.70 %
Epoch 54, Train Accuracy: 99.37 %, Test Accuracy: 91.95 %
Epoch 55, Train Accuracy: 99.42 %, Test Accuracy: 92.20 %
Epoch 56, Train Accuracy: 99.55 %, Test Accuracy: 92.13 %
Epoch 57, Train Accuracy: 99.48 %, Test Accuracy: 92.00 %
Epoch 58, Train Accuracy: 99.48 %, Test Accuracy: 91.87 %
Epoch 59, Train Accuracy: 99.56 %, Test Accuracy: 91.75 %
Epoch 60, Train Accuracy: 99.59 %, Test Accuracy: 92.07 %
Epoch 61, Train Accuracy: 99.56 %, Test Accuracy: 92.23 %
Epoch 62, Train Accuracy: 99.47 %, Test Accuracy: 92.10 %
Epoch 63, Train Accuracy: 99.53 %, Test Accuracy: 92.04 %
Epoch 64, Train Accuracy: 99.64 %, Test Accuracy: 92.36 %
Epoch 65, Train Accuracy: 99.59 %, Test Accuracy: 91.93 %
Epoch 66, Train Accuracy: 99.65 %, Test Accuracy: 92.06 %
Epoch 67, Train Accuracy: 99.60 %, Test Accuracy: 92.01 %
Epoch 68, Train Accuracy: 99.67 %, Test Accuracy: 91.73 %
Epoch 69, Train Accuracy: 99.64 %, Test Accuracy: 92.05 %
Epoch 70, Train Accuracy: 99.63 %, Test Accuracy: 92.17 %
Epoch 71, Train Accuracy: 99.69 %, Test Accuracy: 92.09 %
Epoch 72, Train Accuracy: 99.68 %, Test Accuracy: 92.23 %
Epoch 73, Train Accuracy: 99.71 %, Test Accuracy: 92.35 %
Epoch 74, Train Accuracy: 99.74 %, Test Accuracy: 92.38 %
Epoch 75, Train Accuracy: 99.72 %, Test Accuracy: 92.12 %
Epoch 76, Train Accuracy: 99.77 %, Test Accuracy: 92.14 %
Epoch 77, Train Accuracy: 99.66 %, Test Accuracy: 92.08 %
Epoch 78, Train Accuracy: 99.71 %, Test Accuracy: 92.19 %
Epoch 79, Train Accuracy: 99.75 %, Test Accuracy: 91.84 %
Epoch 80, Train Accuracy: 99.76 %, Test Accuracy: 92.04 %
Epoch 81, Train Accuracy: 99.81 %, Test Accuracy: 92.38 %
Epoch 82, Train Accuracy: 99.72 %, Test Accuracy: 92.10 %
Epoch 83, Train Accuracy: 99.74 %, Test Accuracy: 92.16 %
Epoch 84, Train Accuracy: 99.77 %, Test Accuracy: 92.05 %
Epoch 85, Train Accuracy: 99.70 %, Test Accuracy: 92.08 %
Epoch 86, Train Accuracy: 99.72 %, Test Accuracy: 91.76 %
Epoch 87, Train Accuracy: 99.76 %, Test Accuracy: 92.18 %
Epoch 88, Train Accuracy: 99.78 %, Test Accuracy: 92.04 %
Epoch 89, Train Accuracy: 99.81 %, Test Accuracy: 91.88 %
Epoch 90, Train Accuracy: 99.82 %, Test Accuracy: 92.16 %
Epoch 91, Train Accuracy: 99.77 %, Test Accuracy: 92.20 %
Epoch 92, Train Accuracy: 99.80 %, Test Accuracy: 92.02 %
Epoch 93, Train Accuracy: 99.78 %, Test Accuracy: 92.00 %
Epoch 94, Train Accuracy: 99.79 %, Test Accuracy: 92.29 %
Epoch 95, Train Accuracy: 99.80 %, Test Accuracy: 92.26 %
Epoch 96, Train Accuracy: 99.77 %, Test Accuracy: 91.85 %
Epoch 97, Train Accuracy: 99.74 %, Test Accuracy: 92.34 %
Epoch 98, Train Accuracy: 99.76 %, Test Accuracy: 92.00 %
Epoch 99, Train Accuracy: 99.80 %, Test Accuracy: 92.23 %
31  minutes
RUN_DONE
