NODE=[HOST_e8d809bd94] | JOB=m1a3-r04-s0 4683580
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 0 --save-directory cluster/Account1/metaopt/runs/m1a3 --run-name m1a3-r04-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.4 COS_TOTAL=default COS_WARMUP=default
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.63 %, Test Accuracy: 32.06 %
Epoch 1, Train Accuracy: 36.24 %, Test Accuracy: 40.76 %
Epoch 2, Train Accuracy: 44.12 %, Test Accuracy: 48.43 %
Epoch 3, Train Accuracy: 52.63 %, Test Accuracy: 56.38 %
Epoch 4, Train Accuracy: 60.03 %, Test Accuracy: 63.26 %
Epoch 5, Train Accuracy: 66.42 %, Test Accuracy: 66.43 %
Epoch 6, Train Accuracy: 72.15 %, Test Accuracy: 74.51 %
Epoch 7, Train Accuracy: 75.60 %, Test Accuracy: 76.41 %
Epoch 8, Train Accuracy: 79.19 %, Test Accuracy: 78.16 %
Epoch 9, Train Accuracy: 81.56 %, Test Accuracy: 81.91 %
Epoch 10, Train Accuracy: 83.54 %, Test Accuracy: 81.66 %
Epoch 11, Train Accuracy: 85.03 %, Test Accuracy: 83.66 %
Epoch 12, Train Accuracy: 86.38 %, Test Accuracy: 85.02 %
Epoch 13, Train Accuracy: 87.69 %, Test Accuracy: 85.08 %
Epoch 14, Train Accuracy: 88.58 %, Test Accuracy: 86.59 %
Epoch 15, Train Accuracy: 89.55 %, Test Accuracy: 86.39 %
Epoch 16, Train Accuracy: 90.32 %, Test Accuracy: 86.34 %
Epoch 17, Train Accuracy: 90.96 %, Test Accuracy: 87.72 %
Epoch 18, Train Accuracy: 91.69 %, Test Accuracy: 87.76 %
Epoch 19, Train Accuracy: 92.02 %, Test Accuracy: 88.26 %
Epoch 20, Train Accuracy: 92.82 %, Test Accuracy: 88.23 %
Epoch 21, Train Accuracy: 93.30 %, Test Accuracy: 88.99 %
Epoch 22, Train Accuracy: 93.56 %, Test Accuracy: 88.85 %
Epoch 23, Train Accuracy: 94.08 %, Test Accuracy: 88.80 %
Epoch 24, Train Accuracy: 94.25 %, Test Accuracy: 89.19 %
Epoch 25, Train Accuracy: 94.88 %, Test Accuracy: 89.30 %
Epoch 26, Train Accuracy: 95.16 %, Test Accuracy: 89.58 %
Epoch 27, Train Accuracy: 95.21 %, Test Accuracy: 89.43 %
Epoch 28, Train Accuracy: 95.79 %, Test Accuracy: 89.63 %
Epoch 29, Train Accuracy: 95.89 %, Test Accuracy: 89.27 %
Epoch 30, Train Accuracy: 96.11 %, Test Accuracy: 90.34 %
Epoch 31, Train Accuracy: 96.56 %, Test Accuracy: 89.77 %
Epoch 32, Train Accuracy: 96.85 %, Test Accuracy: 89.40 %
Epoch 33, Train Accuracy: 96.92 %, Test Accuracy: 89.92 %
Epoch 34, Train Accuracy: 96.97 %, Test Accuracy: 90.21 %
Epoch 35, Train Accuracy: 97.51 %, Test Accuracy: 89.55 %
Epoch 36, Train Accuracy: 97.30 %, Test Accuracy: 90.04 %
Epoch 37, Train Accuracy: 97.58 %, Test Accuracy: 90.16 %
Epoch 38, Train Accuracy: 97.86 %, Test Accuracy: 90.30 %
Epoch 39, Train Accuracy: 97.89 %, Test Accuracy: 90.19 %
Epoch 40, Train Accuracy: 97.91 %, Test Accuracy: 90.47 %
Epoch 41, Train Accuracy: 98.06 %, Test Accuracy: 90.51 %
Epoch 42, Train Accuracy: 98.06 %, Test Accuracy: 89.94 %
Epoch 43, Train Accuracy: 98.13 %, Test Accuracy: 90.55 %
Epoch 44, Train Accuracy: 98.42 %, Test Accuracy: 90.65 %
Epoch 45, Train Accuracy: 98.45 %, Test Accuracy: 90.04 %
Epoch 46, Train Accuracy: 98.63 %, Test Accuracy: 90.82 %
Epoch 47, Train Accuracy: 98.57 %, Test Accuracy: 89.90 %
Epoch 48, Train Accuracy: 98.52 %, Test Accuracy: 90.48 %
Epoch 49, Train Accuracy: 98.79 %, Test Accuracy: 90.89 %
Epoch 50, Train Accuracy: 98.85 %, Test Accuracy: 90.77 %
Epoch 51, Train Accuracy: 99.04 %, Test Accuracy: 91.10 %
Epoch 52, Train Accuracy: 99.18 %, Test Accuracy: 90.68 %
Epoch 53, Train Accuracy: 99.07 %, Test Accuracy: 90.56 %
Epoch 54, Train Accuracy: 99.10 %, Test Accuracy: 89.91 %
Epoch 55, Train Accuracy: 99.17 %, Test Accuracy: 91.04 %
Epoch 56, Train Accuracy: 99.21 %, Test Accuracy: 90.54 %
Epoch 57, Train Accuracy: 99.26 %, Test Accuracy: 91.08 %
Epoch 58, Train Accuracy: 99.23 %, Test Accuracy: 90.71 %
