NODE=[HOST_03eb56b6d1] | JOB=ml2-adam-ch-s1 4837240 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Adam --normalizer-param-meta 0.999 --momentum-param-meta 0.9 --weight-decay-meta 0 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk777 --seed 1 --save-directory cluster/Account2/metaopt/runs/ml2 --run-name ml2-adam-ch-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/ml2/probe_adam_ch_ml2_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 


args_meta includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.91 %, Test Accuracy: 29.83 %
Epoch 1, Train Accuracy: 34.79 %, Test Accuracy: 39.44 %
Epoch 2, Train Accuracy: 41.59 %, Test Accuracy: 44.67 %
Epoch 3, Train Accuracy: 45.91 %, Test Accuracy: 48.94 %
Epoch 4, Train Accuracy: 49.95 %, Test Accuracy: 52.38 %
Epoch 5, Train Accuracy: 53.63 %, Test Accuracy: 55.14 %
Epoch 6, Train Accuracy: 56.32 %, Test Accuracy: 57.58 %
Epoch 7, Train Accuracy: 59.71 %, Test Accuracy: 61.00 %
Epoch 8, Train Accuracy: 63.05 %, Test Accuracy: 64.22 %
Epoch 9, Train Accuracy: 65.23 %, Test Accuracy: 64.09 %
Epoch 10, Train Accuracy: 67.85 %, Test Accuracy: 69.17 %
Epoch 11, Train Accuracy: 70.07 %, Test Accuracy: 68.74 %
Epoch 12, Train Accuracy: 71.92 %, Test Accuracy: 72.68 %
Epoch 13, Train Accuracy: 74.08 %, Test Accuracy: 74.28 %
Epoch 14, Train Accuracy: 76.20 %, Test Accuracy: 75.63 %
Epoch 15, Train Accuracy: 77.90 %, Test Accuracy: 77.23 %
Epoch 16, Train Accuracy: 79.30 %, Test Accuracy: 79.22 %
Epoch 17, Train Accuracy: 80.94 %, Test Accuracy: 77.15 %
Epoch 18, Train Accuracy: 81.54 %, Test Accuracy: 79.18 %
Epoch 19, Train Accuracy: 82.75 %, Test Accuracy: 81.01 %
Epoch 20, Train Accuracy: 83.81 %, Test Accuracy: 81.32 %
