NODE=[HOST_7ad9659165] | JOB=ml2-rms-ch-s0 4837236 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta RMSProp --normalizer-param-meta 0.999 --weight-decay-meta 0 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups chunk777 --seed 0 --save-directory cluster/Account2/metaopt/runs/ml2 --run-name ml2-rms-ch-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/ml2/probe_rms_ch_ml2_s0
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 


args_meta includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.03 %, Test Accuracy: 29.74 %
Epoch 1, Train Accuracy: 34.08 %, Test Accuracy: 37.95 %
Epoch 2, Train Accuracy: 39.28 %, Test Accuracy: 42.49 %
Epoch 3, Train Accuracy: 43.79 %, Test Accuracy: 46.37 %
Epoch 4, Train Accuracy: 47.67 %, Test Accuracy: 51.04 %
Epoch 5, Train Accuracy: 52.04 %, Test Accuracy: 54.58 %
Epoch 6, Train Accuracy: 55.56 %, Test Accuracy: 58.07 %
Epoch 7, Train Accuracy: 58.90 %, Test Accuracy: 59.76 %
Epoch 8, Train Accuracy: 62.27 %, Test Accuracy: 63.86 %
Epoch 9, Train Accuracy: 64.64 %, Test Accuracy: 65.79 %
Epoch 10, Train Accuracy: 67.07 %, Test Accuracy: 67.11 %
Epoch 11, Train Accuracy: 69.71 %, Test Accuracy: 70.95 %
Epoch 12, Train Accuracy: 71.59 %, Test Accuracy: 70.25 %
Epoch 13, Train Accuracy: 74.06 %, Test Accuracy: 74.69 %
Epoch 14, Train Accuracy: 75.73 %, Test Accuracy: 76.84 %
Epoch 15, Train Accuracy: 77.91 %, Test Accuracy: 76.41 %
Epoch 16, Train Accuracy: 79.42 %, Test Accuracy: 77.06 %
Epoch 17, Train Accuracy: 80.07 %, Test Accuracy: 79.99 %
Epoch 18, Train Accuracy: 81.64 %, Test Accuracy: 80.78 %
Epoch 19, Train Accuracy: 82.57 %, Test Accuracy: 81.54 %
Epoch 20, Train Accuracy: 83.74 %, Test Accuracy: 82.42 %
