NODE=[HOST_e8d809bd94] | JOB=ml2-rms-n1d-s1 4837245 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta RMSProp --normalizer-param-meta 0.999 --weight-decay-meta 0 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups nodewise1d --seed 1 --save-directory cluster/Account2/metaopt/runs/ml2 --run-name ml2-rms-n1d-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/ml2/probe_rms_n1d_ml2_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 


args_meta includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 20.85 %, Test Accuracy: 29.80 %
Epoch 1, Train Accuracy: 34.82 %, Test Accuracy: 39.59 %
Epoch 2, Train Accuracy: 41.46 %, Test Accuracy: 44.71 %
Epoch 3, Train Accuracy: 45.73 %, Test Accuracy: 48.65 %
Epoch 4, Train Accuracy: 49.88 %, Test Accuracy: 52.31 %
Epoch 5, Train Accuracy: 53.60 %, Test Accuracy: 54.89 %
Epoch 6, Train Accuracy: 56.59 %, Test Accuracy: 58.59 %
Epoch 7, Train Accuracy: 59.91 %, Test Accuracy: 60.51 %
Epoch 8, Train Accuracy: 62.93 %, Test Accuracy: 63.08 %
Epoch 9, Train Accuracy: 65.22 %, Test Accuracy: 65.19 %
Epoch 10, Train Accuracy: 68.48 %, Test Accuracy: 70.13 %
Epoch 11, Train Accuracy: 70.65 %, Test Accuracy: 70.11 %
Epoch 12, Train Accuracy: 72.92 %, Test Accuracy: 73.32 %
Epoch 13, Train Accuracy: 74.92 %, Test Accuracy: 74.56 %
Epoch 14, Train Accuracy: 76.54 %, Test Accuracy: 75.80 %
Epoch 15, Train Accuracy: 78.51 %, Test Accuracy: 77.02 %
Epoch 16, Train Accuracy: 79.99 %, Test Accuracy: 76.92 %
Epoch 17, Train Accuracy: 81.19 %, Test Accuracy: 78.78 %
Epoch 18, Train Accuracy: 81.90 %, Test Accuracy: 80.21 %
Epoch 19, Train Accuracy: 82.95 %, Test Accuracy: 81.67 %
Epoch 20, Train Accuracy: 84.21 %, Test Accuracy: 82.26 %
Epoch 21, Train Accuracy: 84.39 %, Test Accuracy: 83.41 %
Epoch 22, Train Accuracy: 85.44 %, Test Accuracy: 83.22 %
Epoch 23, Train Accuracy: 86.04 %, Test Accuracy: 83.08 %
Epoch 24, Train Accuracy: 86.44 %, Test Accuracy: 82.21 %
Epoch 25, Train Accuracy: 87.03 %, Test Accuracy: 85.36 %
Epoch 26, Train Accuracy: 87.59 %, Test Accuracy: 85.33 %
Epoch 27, Train Accuracy: 87.71 %, Test Accuracy: 85.11 %
Epoch 28, Train Accuracy: 88.43 %, Test Accuracy: 84.11 %
Epoch 29, Train Accuracy: 88.90 %, Test Accuracy: 87.29 %
Epoch 30, Train Accuracy: 89.43 %, Test Accuracy: 86.98 %
Epoch 31, Train Accuracy: 90.00 %, Test Accuracy: 86.47 %
Epoch 32, Train Accuracy: 89.81 %, Test Accuracy: 84.78 %
Epoch 33, Train Accuracy: 90.34 %, Test Accuracy: 86.65 %
Epoch 34, Train Accuracy: 91.15 %, Test Accuracy: 87.38 %
Epoch 35, Train Accuracy: 91.25 %, Test Accuracy: 88.02 %
Epoch 36, Train Accuracy: 91.36 %, Test Accuracy: 88.32 %
Epoch 37, Train Accuracy: 91.80 %, Test Accuracy: 88.05 %
Epoch 38, Train Accuracy: 92.07 %, Test Accuracy: 89.09 %
Epoch 39, Train Accuracy: 92.38 %, Test Accuracy: 89.00 %
Epoch 40, Train Accuracy: 92.22 %, Test Accuracy: 88.17 %
Epoch 41, Train Accuracy: 92.61 %, Test Accuracy: 89.05 %
Epoch 42, Train Accuracy: 92.90 %, Test Accuracy: 89.51 %
Epoch 43, Train Accuracy: 93.26 %, Test Accuracy: 88.58 %
Epoch 44, Train Accuracy: 93.54 %, Test Accuracy: 89.27 %
Epoch 45, Train Accuracy: 93.50 %, Test Accuracy: 88.65 %
Epoch 46, Train Accuracy: 93.75 %, Test Accuracy: 89.82 %
Epoch 47, Train Accuracy: 94.19 %, Test Accuracy: 90.46 %
Epoch 48, Train Accuracy: 94.12 %, Test Accuracy: 87.77 %
Epoch 49, Train Accuracy: 94.40 %, Test Accuracy: 89.35 %
Epoch 50, Train Accuracy: 94.58 %, Test Accuracy: 89.90 %
Epoch 51, Train Accuracy: 94.91 %, Test Accuracy: 89.35 %
Epoch 52, Train Accuracy: 95.30 %, Test Accuracy: 89.76 %
Epoch 53, Train Accuracy: 95.37 %, Test Accuracy: 90.57 %
Epoch 54, Train Accuracy: 95.35 %, Test Accuracy: 89.67 %
Epoch 55, Train Accuracy: 95.94 %, Test Accuracy: 90.73 %
Epoch 56, Train Accuracy: 95.74 %, Test Accuracy: 90.23 %
Epoch 57, Train Accuracy: 95.79 %, Test Accuracy: 89.15 %
Epoch 58, Train Accuracy: 96.29 %, Test Accuracy: 90.30 %
Epoch 59, Train Accuracy: 96.16 %, Test Accuracy: 90.44 %
Epoch 60, Train Accuracy: 96.16 %, Test Accuracy: 91.60 %
Epoch 61, Train Accuracy: 96.43 %, Test Accuracy: 90.47 %
Epoch 62, Train Accuracy: 97.01 %, Test Accuracy: 91.96 %
Epoch 63, Train Accuracy: 96.92 %, Test Accuracy: 90.83 %
Epoch 64, Train Accuracy: 96.96 %, Test Accuracy: 91.72 %
Epoch 65, Train Accuracy: 97.15 %, Test Accuracy: 91.82 %
Epoch 66, Train Accuracy: 97.28 %, Test Accuracy: 91.63 %
Epoch 67, Train Accuracy: 97.09 %, Test Accuracy: 91.99 %
Epoch 68, Train Accuracy: 97.27 %, Test Accuracy: 91.78 %
Epoch 69, Train Accuracy: 97.52 %, Test Accuracy: 91.37 %
Epoch 70, Train Accuracy: 97.52 %, Test Accuracy: 91.76 %
Epoch 71, Train Accuracy: 97.66 %, Test Accuracy: 91.95 %
Epoch 72, Train Accuracy: 97.66 %, Test Accuracy: 92.30 %
Epoch 73, Train Accuracy: 97.81 %, Test Accuracy: 91.79 %
Epoch 74, Train Accuracy: 97.81 %, Test Accuracy: 91.59 %
Epoch 75, Train Accuracy: 97.81 %, Test Accuracy: 91.52 %
Epoch 76, Train Accuracy: 97.96 %, Test Accuracy: 91.93 %
Epoch 77, Train Accuracy: 97.96 %, Test Accuracy: 92.42 %
Epoch 78, Train Accuracy: 98.28 %, Test Accuracy: 92.00 %
Epoch 79, Train Accuracy: 98.11 %, Test Accuracy: 92.15 %
Epoch 80, Train Accuracy: 98.21 %, Test Accuracy: 91.59 %
Epoch 81, Train Accuracy: 98.37 %, Test Accuracy: 92.23 %
Epoch 82, Train Accuracy: 98.38 %, Test Accuracy: 92.17 %
Epoch 83, Train Accuracy: 98.56 %, Test Accuracy: 91.59 %
Epoch 84, Train Accuracy: 98.59 %, Test Accuracy: 92.08 %
Epoch 85, Train Accuracy: 98.54 %, Test Accuracy: 92.54 %
Epoch 86, Train Accuracy: 98.70 %, Test Accuracy: 92.54 %
Epoch 87, Train Accuracy: 98.79 %, Test Accuracy: 92.55 %
Epoch 88, Train Accuracy: 98.52 %, Test Accuracy: 92.36 %
Epoch 89, Train Accuracy: 98.73 %, Test Accuracy: 91.98 %
Epoch 90, Train Accuracy: 98.69 %, Test Accuracy: 92.14 %
Epoch 91, Train Accuracy: 98.89 %, Test Accuracy: 92.61 %
Epoch 92, Train Accuracy: 98.98 %, Test Accuracy: 92.78 %
Epoch 93, Train Accuracy: 98.75 %, Test Accuracy: 92.65 %
Epoch 94, Train Accuracy: 99.00 %, Test Accuracy: 92.52 %
Epoch 95, Train Accuracy: 99.06 %, Test Accuracy: 92.61 %
Epoch 96, Train Accuracy: 98.95 %, Test Accuracy: 92.36 %
Epoch 97, Train Accuracy: 98.87 %, Test Accuracy: 92.48 %
Epoch 98, Train Accuracy: 98.97 %, Test Accuracy: 92.59 %
Epoch 99, Train Accuracy: 99.19 %, Test Accuracy: 92.68 %
50  minutes
RUN_DONE
