NODE=[HOST_6dc36997e3] | JOB=ml5-blk6-m2-s1 4702090 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-2 --alpha0 1e-3 --num-epochs 20 --stepsize-groups resnet18_blocks --seed 1 --save-directory cluster/Account2/metaopt/runs/ml5 --run-name ml5-blk6-m2-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/ml5/probe_blk6_m2_s1
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 29.48 %, Test Accuracy: 46.90 %
Epoch 1, Train Accuracy: 49.70 %, Test Accuracy: 53.90 %
Epoch 2, Train Accuracy: 57.60 %, Test Accuracy: 59.33 %
Epoch 3, Train Accuracy: 63.34 %, Test Accuracy: 66.02 %
Epoch 4, Train Accuracy: 68.69 %, Test Accuracy: 69.63 %
Epoch 5, Train Accuracy: 72.41 %, Test Accuracy: 73.78 %
Epoch 6, Train Accuracy: 75.61 %, Test Accuracy: 74.67 %
Epoch 7, Train Accuracy: 78.10 %, Test Accuracy: 78.62 %
Epoch 8, Train Accuracy: 80.16 %, Test Accuracy: 77.77 %
Epoch 9, Train Accuracy: 81.54 %, Test Accuracy: 80.98 %
Epoch 10, Train Accuracy: 83.24 %, Test Accuracy: 82.43 %
Epoch 11, Train Accuracy: 84.57 %, Test Accuracy: 83.21 %
Epoch 12, Train Accuracy: 85.67 %, Test Accuracy: 83.78 %
Epoch 13, Train Accuracy: 86.50 %, Test Accuracy: 84.37 %
Epoch 14, Train Accuracy: 87.38 %, Test Accuracy: 85.85 %
Epoch 15, Train Accuracy: 88.54 %, Test Accuracy: 85.94 %
Epoch 16, Train Accuracy: 89.54 %, Test Accuracy: 86.91 %
Epoch 17, Train Accuracy: 90.50 %, Test Accuracy: 87.79 %
Epoch 18, Train Accuracy: 91.17 %, Test Accuracy: 87.63 %
Epoch 19, Train Accuracy: 91.97 %, Test Accuracy: 88.76 %
10  minutes
RUN_DONE
