NODE=[HOST_e8d809bd94] | JOB=ml5-blk6-m3-s1 4702087 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 20 --stepsize-groups resnet18_blocks --seed 1 --save-directory cluster/Account2/metaopt/runs/ml5 --run-name ml5-blk6-m3-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na COS_TOTAL=default COS_WARMUP=default SCHED=none SCHED_TOTAL=none SCHED_WARMUP=none SCHED_MIN=none PROBE=5 PROBE_DIR=cluster/Account2/metaopt/runs/ml5/probe_blk6_m3_s1
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.69 %, Test Accuracy: 31.69 %
Epoch 1, Train Accuracy: 37.86 %, Test Accuracy: 44.39 %
Epoch 2, Train Accuracy: 46.77 %, Test Accuracy: 50.67 %
Epoch 3, Train Accuracy: 54.34 %, Test Accuracy: 57.78 %
Epoch 4, Train Accuracy: 61.47 %, Test Accuracy: 62.44 %
Epoch 5, Train Accuracy: 67.31 %, Test Accuracy: 69.05 %
Epoch 6, Train Accuracy: 71.66 %, Test Accuracy: 70.02 %
Epoch 7, Train Accuracy: 75.30 %, Test Accuracy: 75.10 %
Epoch 8, Train Accuracy: 77.76 %, Test Accuracy: 77.76 %
Epoch 9, Train Accuracy: 79.77 %, Test Accuracy: 78.94 %
Epoch 10, Train Accuracy: 81.49 %, Test Accuracy: 81.04 %
Epoch 11, Train Accuracy: 82.95 %, Test Accuracy: 82.13 %
Epoch 12, Train Accuracy: 84.18 %, Test Accuracy: 82.99 %
Epoch 13, Train Accuracy: 85.36 %, Test Accuracy: 83.70 %
Epoch 14, Train Accuracy: 86.11 %, Test Accuracy: 83.93 %
Epoch 15, Train Accuracy: 87.10 %, Test Accuracy: 85.19 %
Epoch 16, Train Accuracy: 87.86 %, Test Accuracy: 84.57 %
Epoch 17, Train Accuracy: 88.73 %, Test Accuracy: 85.50 %
Epoch 18, Train Accuracy: 89.28 %, Test Accuracy: 86.48 %
Epoch 19, Train Accuracy: 89.89 %, Test Accuracy: 87.18 %
10  minutes
RUN_DONE
