NODE=[HOST_2739ecbbce] | JOB=ms-layA-1e4-s2 4687178 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-4 --alpha0 1e-3 --num-epochs 100 --stepsize-groups layerwise --seed 2 --save-directory cluster/Account2/metaopt/runs/ms --run-name ms-layA-1e4-s2
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA GeForce RTX 2080 Ti, 11264 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 21.47 %, Test Accuracy: 29.63 %
Epoch 1, Train Accuracy: 34.71 %, Test Accuracy: 39.23 %
Epoch 2, Train Accuracy: 41.24 %, Test Accuracy: 44.79 %
Epoch 3, Train Accuracy: 45.95 %, Test Accuracy: 48.47 %
Epoch 4, Train Accuracy: 50.35 %, Test Accuracy: 52.97 %
Epoch 5, Train Accuracy: 54.15 %, Test Accuracy: 56.15 %
Epoch 6, Train Accuracy: 57.31 %, Test Accuracy: 59.43 %
Epoch 7, Train Accuracy: 60.86 %, Test Accuracy: 61.86 %
Epoch 8, Train Accuracy: 63.74 %, Test Accuracy: 63.76 %
Epoch 9, Train Accuracy: 66.56 %, Test Accuracy: 64.58 %
Epoch 10, Train Accuracy: 69.17 %, Test Accuracy: 68.44 %
Epoch 11, Train Accuracy: 71.48 %, Test Accuracy: 72.06 %
Epoch 12, Train Accuracy: 73.72 %, Test Accuracy: 72.95 %
Epoch 13, Train Accuracy: 75.53 %, Test Accuracy: 76.40 %
Epoch 14, Train Accuracy: 77.91 %, Test Accuracy: 77.06 %
Epoch 15, Train Accuracy: 79.30 %, Test Accuracy: 78.93 %
Epoch 16, Train Accuracy: 80.66 %, Test Accuracy: 79.80 %
Epoch 17, Train Accuracy: 82.22 %, Test Accuracy: 81.86 %
Epoch 18, Train Accuracy: 83.24 %, Test Accuracy: 82.67 %
Epoch 19, Train Accuracy: 84.22 %, Test Accuracy: 82.56 %
Epoch 20, Train Accuracy: 85.02 %, Test Accuracy: 82.10 %
Epoch 21, Train Accuracy: 85.49 %, Test Accuracy: 84.61 %
Epoch 22, Train Accuracy: 86.56 %, Test Accuracy: 82.68 %
Epoch 23, Train Accuracy: 86.83 %, Test Accuracy: 83.71 %
Epoch 24, Train Accuracy: 88.31 %, Test Accuracy: 86.46 %
Epoch 25, Train Accuracy: 88.63 %, Test Accuracy: 85.76 %
Epoch 26, Train Accuracy: 89.07 %, Test Accuracy: 86.78 %
Epoch 27, Train Accuracy: 89.57 %, Test Accuracy: 84.96 %
Epoch 28, Train Accuracy: 90.19 %, Test Accuracy: 88.04 %
Epoch 29, Train Accuracy: 90.80 %, Test Accuracy: 88.12 %
Epoch 30, Train Accuracy: 91.42 %, Test Accuracy: 87.72 %
Epoch 31, Train Accuracy: 91.66 %, Test Accuracy: 88.54 %
Epoch 32, Train Accuracy: 91.88 %, Test Accuracy: 87.76 %
Epoch 33, Train Accuracy: 92.61 %, Test Accuracy: 88.29 %
Epoch 34, Train Accuracy: 92.66 %, Test Accuracy: 89.37 %
Epoch 35, Train Accuracy: 92.96 %, Test Accuracy: 89.20 %
Epoch 36, Train Accuracy: 93.49 %, Test Accuracy: 88.95 %
Epoch 37, Train Accuracy: 93.93 %, Test Accuracy: 89.32 %
Epoch 38, Train Accuracy: 94.16 %, Test Accuracy: 89.05 %
Epoch 39, Train Accuracy: 94.60 %, Test Accuracy: 89.94 %
Epoch 40, Train Accuracy: 94.69 %, Test Accuracy: 89.12 %
Epoch 41, Train Accuracy: 94.99 %, Test Accuracy: 90.17 %
Epoch 42, Train Accuracy: 95.21 %, Test Accuracy: 90.17 %
Epoch 43, Train Accuracy: 95.72 %, Test Accuracy: 90.88 %
Epoch 44, Train Accuracy: 96.14 %, Test Accuracy: 90.30 %
Epoch 45, Train Accuracy: 95.88 %, Test Accuracy: 90.54 %
Epoch 46, Train Accuracy: 96.15 %, Test Accuracy: 90.88 %
Epoch 47, Train Accuracy: 96.49 %, Test Accuracy: 90.92 %
Epoch 48, Train Accuracy: 96.76 %, Test Accuracy: 91.33 %
Epoch 49, Train Accuracy: 97.09 %, Test Accuracy: 91.08 %
Epoch 50, Train Accuracy: 97.08 %, Test Accuracy: 91.23 %
Epoch 51, Train Accuracy: 97.41 %, Test Accuracy: 90.91 %
Epoch 52, Train Accuracy: 97.29 %, Test Accuracy: 91.21 %
Epoch 53, Train Accuracy: 97.66 %, Test Accuracy: 90.98 %
Epoch 54, Train Accuracy: 97.88 %, Test Accuracy: 91.44 %
Epoch 55, Train Accuracy: 98.08 %, Test Accuracy: 91.30 %
Epoch 56, Train Accuracy: 98.25 %, Test Accuracy: 91.65 %
Epoch 57, Train Accuracy: 98.23 %, Test Accuracy: 91.87 %
Epoch 58, Train Accuracy: 98.34 %, Test Accuracy: 91.44 %
Epoch 59, Train Accuracy: 98.56 %, Test Accuracy: 91.89 %
Epoch 60, Train Accuracy: 98.69 %, Test Accuracy: 92.03 %
Epoch 61, Train Accuracy: 98.72 %, Test Accuracy: 91.96 %
Epoch 62, Train Accuracy: 98.73 %, Test Accuracy: 92.09 %
Epoch 63, Train Accuracy: 98.85 %, Test Accuracy: 92.49 %
Epoch 64, Train Accuracy: 98.77 %, Test Accuracy: 92.28 %
Epoch 65, Train Accuracy: 98.89 %, Test Accuracy: 92.38 %
Epoch 66, Train Accuracy: 98.88 %, Test Accuracy: 92.14 %
Epoch 67, Train Accuracy: 98.95 %, Test Accuracy: 92.10 %
Epoch 68, Train Accuracy: 99.23 %, Test Accuracy: 92.36 %
Epoch 69, Train Accuracy: 99.23 %, Test Accuracy: 92.43 %
Epoch 70, Train Accuracy: 99.24 %, Test Accuracy: 92.56 %
Epoch 71, Train Accuracy: 99.22 %, Test Accuracy: 92.72 %
Epoch 72, Train Accuracy: 99.41 %, Test Accuracy: 92.53 %
Epoch 73, Train Accuracy: 99.38 %, Test Accuracy: 92.65 %
Epoch 74, Train Accuracy: 99.33 %, Test Accuracy: 92.50 %
Epoch 75, Train Accuracy: 99.33 %, Test Accuracy: 92.43 %
Epoch 76, Train Accuracy: 99.39 %, Test Accuracy: 92.71 %
Epoch 77, Train Accuracy: 99.47 %, Test Accuracy: 92.38 %
