NODE=[HOST_ae9488be04] | JOB=ms-scal-3e5-s0 4687126 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 3e-5 --alpha0 1e-6 --num-epochs 100 --stepsize-groups scalar --seed 0 --save-directory cluster/Account2/metaopt/runs/ms --run-name ms-scal-3e5-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA A100 80GB PCIe, 81920 MiB
NVIDIA A100 80GB PCIe, 81920 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 12.79 %, Test Accuracy: 12.82 %
Epoch 1, Train Accuracy: 12.72 %, Test Accuracy: 12.87 %
Epoch 2, Train Accuracy: 12.86 %, Test Accuracy: 12.94 %
Epoch 3, Train Accuracy: 13.09 %, Test Accuracy: 13.12 %
Epoch 4, Train Accuracy: 12.97 %, Test Accuracy: 13.04 %
Epoch 5, Train Accuracy: 13.07 %, Test Accuracy: 13.29 %
Epoch 6, Train Accuracy: 13.23 %, Test Accuracy: 13.05 %
Epoch 7, Train Accuracy: 13.27 %, Test Accuracy: 13.31 %
Epoch 8, Train Accuracy: 13.29 %, Test Accuracy: 13.25 %
Epoch 9, Train Accuracy: 13.37 %, Test Accuracy: 13.17 %
Epoch 10, Train Accuracy: 13.34 %, Test Accuracy: 13.35 %
Epoch 11, Train Accuracy: 13.51 %, Test Accuracy: 13.39 %
Epoch 12, Train Accuracy: 13.54 %, Test Accuracy: 13.52 %
Epoch 13, Train Accuracy: 13.68 %, Test Accuracy: 13.53 %
Epoch 14, Train Accuracy: 13.62 %, Test Accuracy: 13.52 %
Epoch 15, Train Accuracy: 13.68 %, Test Accuracy: 13.42 %
Epoch 16, Train Accuracy: 13.66 %, Test Accuracy: 13.54 %
Epoch 17, Train Accuracy: 13.86 %, Test Accuracy: 13.60 %
Epoch 18, Train Accuracy: 13.85 %, Test Accuracy: 13.56 %
Epoch 19, Train Accuracy: 13.93 %, Test Accuracy: 13.78 %
Epoch 20, Train Accuracy: 14.09 %, Test Accuracy: 13.82 %
Epoch 21, Train Accuracy: 14.18 %, Test Accuracy: 13.77 %
Epoch 22, Train Accuracy: 14.28 %, Test Accuracy: 13.85 %
Epoch 23, Train Accuracy: 14.60 %, Test Accuracy: 13.85 %
Epoch 24, Train Accuracy: 14.46 %, Test Accuracy: 13.89 %
Epoch 25, Train Accuracy: 14.70 %, Test Accuracy: 13.98 %
Epoch 26, Train Accuracy: 14.62 %, Test Accuracy: 13.96 %
Epoch 27, Train Accuracy: 14.64 %, Test Accuracy: 14.16 %
Epoch 28, Train Accuracy: 14.87 %, Test Accuracy: 14.31 %
Epoch 29, Train Accuracy: 15.07 %, Test Accuracy: 14.24 %
Epoch 30, Train Accuracy: 15.08 %, Test Accuracy: 14.36 %
Epoch 31, Train Accuracy: 15.33 %, Test Accuracy: 14.39 %
Epoch 32, Train Accuracy: 15.48 %, Test Accuracy: 14.34 %
Epoch 33, Train Accuracy: 15.39 %, Test Accuracy: 14.63 %
Epoch 34, Train Accuracy: 15.51 %, Test Accuracy: 14.68 %
Epoch 35, Train Accuracy: 15.80 %, Test Accuracy: 14.81 %
Epoch 36, Train Accuracy: 15.69 %, Test Accuracy: 14.95 %
Epoch 37, Train Accuracy: 15.68 %, Test Accuracy: 14.87 %
Epoch 38, Train Accuracy: 15.91 %, Test Accuracy: 15.10 %
Epoch 39, Train Accuracy: 16.05 %, Test Accuracy: 15.21 %
Epoch 40, Train Accuracy: 16.24 %, Test Accuracy: 15.41 %
Epoch 41, Train Accuracy: 16.33 %, Test Accuracy: 15.37 %
Epoch 42, Train Accuracy: 16.28 %, Test Accuracy: 15.46 %
Epoch 43, Train Accuracy: 16.35 %, Test Accuracy: 15.49 %
Epoch 44, Train Accuracy: 16.55 %, Test Accuracy: 15.56 %
Epoch 45, Train Accuracy: 16.61 %, Test Accuracy: 15.47 %
Epoch 46, Train Accuracy: 16.67 %, Test Accuracy: 15.81 %
Epoch 47, Train Accuracy: 16.96 %, Test Accuracy: 15.96 %
Epoch 48, Train Accuracy: 17.13 %, Test Accuracy: 16.05 %
Epoch 49, Train Accuracy: 17.19 %, Test Accuracy: 16.03 %
Epoch 50, Train Accuracy: 17.20 %, Test Accuracy: 16.12 %
Epoch 51, Train Accuracy: 17.32 %, Test Accuracy: 16.26 %
Epoch 52, Train Accuracy: 17.47 %, Test Accuracy: 16.18 %
