NODE=[HOST_bcfd0fc19c] | JOB=ms-scalA-1e3-s0 4687146 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-3 --num-epochs 100 --stepsize-groups scalar --seed 0 --save-directory cluster/Account2/metaopt/runs/ms --run-name ms-scalA-1e3-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 23.75 %, Test Accuracy: 32.75 %
Epoch 1, Train Accuracy: 36.64 %, Test Accuracy: 41.61 %
Epoch 2, Train Accuracy: 44.99 %, Test Accuracy: 50.45 %
Epoch 3, Train Accuracy: 53.72 %, Test Accuracy: 56.33 %
Epoch 4, Train Accuracy: 61.56 %, Test Accuracy: 64.58 %
Epoch 5, Train Accuracy: 67.51 %, Test Accuracy: 68.98 %
Epoch 6, Train Accuracy: 71.89 %, Test Accuracy: 73.49 %
Epoch 7, Train Accuracy: 74.56 %, Test Accuracy: 75.44 %
Epoch 8, Train Accuracy: 76.56 %, Test Accuracy: 76.82 %
Epoch 9, Train Accuracy: 78.05 %, Test Accuracy: 78.33 %
Epoch 10, Train Accuracy: 79.48 %, Test Accuracy: 78.93 %
Epoch 11, Train Accuracy: 80.48 %, Test Accuracy: 80.92 %
Epoch 12, Train Accuracy: 81.55 %, Test Accuracy: 81.09 %
Epoch 13, Train Accuracy: 82.45 %, Test Accuracy: 81.98 %
Epoch 14, Train Accuracy: 83.40 %, Test Accuracy: 82.20 %
Epoch 15, Train Accuracy: 84.01 %, Test Accuracy: 82.91 %
Epoch 16, Train Accuracy: 84.55 %, Test Accuracy: 83.11 %
Epoch 17, Train Accuracy: 84.83 %, Test Accuracy: 83.67 %
