NODE=[HOST_f0845cc956] | JOB=msa-nodeeq-s0 4687236 | AUGMENT=1
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --dataset CIFAR10 --NN-name ResNet18 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1.520e-5 --alpha0 1e-3 --num-epochs 100 --stepsize-groups scalar --seed 0 --save-directory cluster/Account2/metaopt/runs/msa --run-name msa-nodeeq-s0
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=none LAM=na ETA_RATIO=na
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account2/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 22.99 %, Test Accuracy: 29.53 %
Epoch 1, Train Accuracy: 33.86 %, Test Accuracy: 37.88 %
Epoch 2, Train Accuracy: 39.08 %, Test Accuracy: 42.19 %
Epoch 3, Train Accuracy: 43.12 %, Test Accuracy: 45.66 %
Epoch 4, Train Accuracy: 46.57 %, Test Accuracy: 49.79 %
Epoch 5, Train Accuracy: 50.38 %, Test Accuracy: 53.20 %
Epoch 6, Train Accuracy: 53.91 %, Test Accuracy: 56.04 %
Epoch 7, Train Accuracy: 57.14 %, Test Accuracy: 58.41 %
Epoch 8, Train Accuracy: 59.99 %, Test Accuracy: 61.05 %
Epoch 9, Train Accuracy: 61.72 %, Test Accuracy: 62.40 %
Epoch 10, Train Accuracy: 64.27 %, Test Accuracy: 65.20 %
Epoch 11, Train Accuracy: 66.11 %, Test Accuracy: 67.40 %
Epoch 12, Train Accuracy: 67.71 %, Test Accuracy: 68.75 %
Epoch 13, Train Accuracy: 69.49 %, Test Accuracy: 69.63 %
Epoch 14, Train Accuracy: 71.13 %, Test Accuracy: 71.55 %
Epoch 15, Train Accuracy: 73.02 %, Test Accuracy: 71.22 %
Epoch 16, Train Accuracy: 74.45 %, Test Accuracy: 73.58 %
Epoch 17, Train Accuracy: 76.05 %, Test Accuracy: 75.34 %
Epoch 18, Train Accuracy: 77.47 %, Test Accuracy: 76.81 %
Epoch 19, Train Accuracy: 78.10 %, Test Accuracy: 74.16 %
Epoch 20, Train Accuracy: 79.44 %, Test Accuracy: 78.72 %
Epoch 21, Train Accuracy: 81.13 %, Test Accuracy: 79.32 %
Epoch 22, Train Accuracy: 81.25 %, Test Accuracy: 81.65 %
Epoch 23, Train Accuracy: 82.45 %, Test Accuracy: 79.97 %
Epoch 24, Train Accuracy: 82.95 %, Test Accuracy: 81.21 %
Epoch 25, Train Accuracy: 83.93 %, Test Accuracy: 83.03 %
Epoch 26, Train Accuracy: 84.96 %, Test Accuracy: 83.64 %
Epoch 27, Train Accuracy: 85.20 %, Test Accuracy: 84.14 %
Epoch 28, Train Accuracy: 85.40 %, Test Accuracy: 82.92 %
Epoch 29, Train Accuracy: 86.13 %, Test Accuracy: 84.29 %
Epoch 30, Train Accuracy: 87.16 %, Test Accuracy: 85.26 %
Epoch 31, Train Accuracy: 87.43 %, Test Accuracy: 85.49 %
Epoch 32, Train Accuracy: 87.02 %, Test Accuracy: 83.61 %
Epoch 33, Train Accuracy: 87.80 %, Test Accuracy: 85.81 %
Epoch 34, Train Accuracy: 88.34 %, Test Accuracy: 85.21 %
Epoch 35, Train Accuracy: 88.68 %, Test Accuracy: 84.65 %
Epoch 36, Train Accuracy: 88.64 %, Test Accuracy: 85.41 %
Epoch 37, Train Accuracy: 89.11 %, Test Accuracy: 86.81 %
Epoch 38, Train Accuracy: 89.88 %, Test Accuracy: 86.42 %
Epoch 39, Train Accuracy: 89.63 %, Test Accuracy: 87.38 %
Epoch 40, Train Accuracy: 89.99 %, Test Accuracy: 87.41 %
Epoch 41, Train Accuracy: 90.17 %, Test Accuracy: 87.62 %
Epoch 42, Train Accuracy: 90.52 %, Test Accuracy: 87.23 %
Epoch 43, Train Accuracy: 90.55 %, Test Accuracy: 86.55 %
Epoch 44, Train Accuracy: 90.90 %, Test Accuracy: 87.36 %
Epoch 45, Train Accuracy: 91.37 %, Test Accuracy: 87.47 %
Epoch 46, Train Accuracy: 91.31 %, Test Accuracy: 87.04 %
Epoch 47, Train Accuracy: 91.76 %, Test Accuracy: 88.36 %
Epoch 48, Train Accuracy: 91.90 %, Test Accuracy: 88.08 %
Epoch 49, Train Accuracy: 92.08 %, Test Accuracy: 89.13 %
