NODE=[HOST_b0a55dfb8c] | JOB=mx-add-r006-s1 4682879
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 1 --save-directory cluster/Account1/metaopt/runs/mx --run-name mx-add-r006-s1
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 9.65 %, Test Accuracy: 9.82 %
Epoch 1, Train Accuracy: 9.51 %, Test Accuracy: 9.85 %
Epoch 2, Train Accuracy: 9.50 %, Test Accuracy: 9.81 %
Epoch 3, Train Accuracy: 9.70 %, Test Accuracy: 9.82 %
Epoch 4, Train Accuracy: 9.84 %, Test Accuracy: 9.91 %
Epoch 5, Train Accuracy: 10.45 %, Test Accuracy: 11.02 %
Epoch 6, Train Accuracy: 12.37 %, Test Accuracy: 13.13 %
Epoch 7, Train Accuracy: 14.62 %, Test Accuracy: 16.48 %
Epoch 8, Train Accuracy: 17.81 %, Test Accuracy: 20.61 %
Epoch 9, Train Accuracy: 20.40 %, Test Accuracy: 22.19 %
Epoch 10, Train Accuracy: 22.40 %, Test Accuracy: 23.80 %
Epoch 11, Train Accuracy: 24.55 %, Test Accuracy: 25.78 %
Epoch 12, Train Accuracy: 27.17 %, Test Accuracy: 28.22 %
Epoch 13, Train Accuracy: 30.70 %, Test Accuracy: 32.57 %
Epoch 14, Train Accuracy: 34.49 %, Test Accuracy: 37.28 %
Epoch 15, Train Accuracy: 38.18 %, Test Accuracy: 41.60 %
Epoch 16, Train Accuracy: 42.43 %, Test Accuracy: 45.28 %
Epoch 17, Train Accuracy: 46.29 %, Test Accuracy: 48.75 %
Epoch 18, Train Accuracy: 50.29 %, Test Accuracy: 53.18 %
Epoch 19, Train Accuracy: 54.65 %, Test Accuracy: 57.32 %
Epoch 20, Train Accuracy: 58.86 %, Test Accuracy: 61.26 %
Epoch 21, Train Accuracy: 63.96 %, Test Accuracy: 61.58 %
Epoch 22, Train Accuracy: 67.77 %, Test Accuracy: 70.11 %
Epoch 23, Train Accuracy: 71.60 %, Test Accuracy: 70.62 %
Epoch 24, Train Accuracy: 74.54 %, Test Accuracy: 75.21 %
Epoch 25, Train Accuracy: 77.99 %, Test Accuracy: 78.11 %
Epoch 26, Train Accuracy: 79.42 %, Test Accuracy: 77.72 %
Epoch 27, Train Accuracy: 80.65 %, Test Accuracy: 77.88 %
Epoch 28, Train Accuracy: 81.94 %, Test Accuracy: 81.52 %
Epoch 29, Train Accuracy: 82.86 %, Test Accuracy: 80.41 %
Epoch 30, Train Accuracy: 83.74 %, Test Accuracy: 79.96 %
Epoch 31, Train Accuracy: 84.65 %, Test Accuracy: 81.92 %
Epoch 32, Train Accuracy: 85.26 %, Test Accuracy: 82.70 %
Epoch 33, Train Accuracy: 86.32 %, Test Accuracy: 84.80 %
