NODE=[HOST_2f2f29d9e1] | JOB=mx-add-r006-s3 4682881
ARGS: --optimizer HF --alg-base SGDm --momentum-param-base 0.99 --weight-decay-base 0.1 --alg-meta Lion --momentum-param-meta 0.99 --Lion-beta2-meta 0.9 --weight-decay-meta 0 --NN-name ResNet18 --dataset CIFAR10 --batch-size 100 --max-time 999:00:00 --gamma 1 --meta-stepsize 1e-3 --alpha0 1e-6 --num-epochs 100 --stepsize-groups layerwise --seed 3 --save-directory cluster/Account1/metaopt/runs/mx --run-name mx-add-r006-s3
ENV: AUGMENT=1 BETA_CLIP=-15:-2.3026 HIER=additive LAM=na ETA_RATIO=0.06
NVIDIA L4, 23034 MiB

args_base includes unnecessary attributes {'normalizer_param'} 

Files already downloaded and verified
Files already downloaded and verified
cluster/Account1/metaopt/envs/mo/lib/python3.10/site-packages/torch/nn/modules/conv.py:459: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  return F.conv2d(input, weight, bias, self.stride,
Epoch 0, Train Accuracy: 10.60 %, Test Accuracy: 10.45 %
Epoch 1, Train Accuracy: 10.72 %, Test Accuracy: 10.51 %
Epoch 2, Train Accuracy: 10.88 %, Test Accuracy: 10.78 %
Epoch 3, Train Accuracy: 11.22 %, Test Accuracy: 11.35 %
Epoch 4, Train Accuracy: 11.88 %, Test Accuracy: 12.77 %
Epoch 5, Train Accuracy: 13.17 %, Test Accuracy: 13.94 %
Epoch 6, Train Accuracy: 14.17 %, Test Accuracy: 16.07 %
Epoch 7, Train Accuracy: 16.17 %, Test Accuracy: 18.48 %
Epoch 8, Train Accuracy: 19.16 %, Test Accuracy: 20.69 %
Epoch 9, Train Accuracy: 21.09 %, Test Accuracy: 21.73 %
Epoch 10, Train Accuracy: 23.38 %, Test Accuracy: 24.00 %
Epoch 11, Train Accuracy: 25.50 %, Test Accuracy: 26.23 %
Epoch 12, Train Accuracy: 27.96 %, Test Accuracy: 29.64 %
Epoch 13, Train Accuracy: 30.84 %, Test Accuracy: 32.86 %
Epoch 14, Train Accuracy: 34.12 %, Test Accuracy: 36.00 %
Epoch 15, Train Accuracy: 36.58 %, Test Accuracy: 39.76 %
Epoch 16, Train Accuracy: 40.22 %, Test Accuracy: 43.08 %
Epoch 17, Train Accuracy: 43.89 %, Test Accuracy: 47.66 %
Epoch 18, Train Accuracy: 47.47 %, Test Accuracy: 50.74 %
Epoch 19, Train Accuracy: 52.01 %, Test Accuracy: 54.50 %
Epoch 20, Train Accuracy: 56.23 %, Test Accuracy: 60.09 %
Epoch 21, Train Accuracy: 61.86 %, Test Accuracy: 64.07 %
Epoch 22, Train Accuracy: 65.29 %, Test Accuracy: 65.97 %
Epoch 23, Train Accuracy: 68.81 %, Test Accuracy: 71.58 %
Epoch 24, Train Accuracy: 73.20 %, Test Accuracy: 73.60 %
